Question,Answer,Category,Crop,Language
फूलगोभी की खेती का परिचय क्या है?,"फूलगोभी (Brassica oleracea var. botrytis) भारत की एक अत्यंत लोकप्रिय शीतकालीन सब्जी है। यह विटामिन सी, ए और खनिजों का प्रमुख स्रोत है।",Crop,Cauliflower,hi
फूलगोभी के लिए उपयुक्त जलवायु?,फूलगोभी के लिए ठंडी और आर्द्र जलवायु अच्छी है। फूल (Curd) बनते समय 15-20°C तापमान आदर्श माना जाता है।,Crop,Cauliflower,hi
फूलगोभी की बुआई का समय?,"अगेती के लिए मई-जून, मध्यम के लिए अगस्त-सितंबर और पछेती के लिए अक्टूबर-नवंबर में नर्सरी तैयार की जाती है।",Crop,Cauliflower,hi
फूलगोभी की प्रति एकड़ बीज दर?,अगेती किस्मों के लिए 200-250 ग्राम और पछेती किस्मों के लिए 150-200 ग्राम प्रति एकड़ बीज पर्याप्त है।,Crop,Cauliflower,hi
फूलगोभी की नर्सरी कैसे तैयार करें?,बीज को ऊँची क्यारियों या प्रो-ट्रे में बोएं। क्यारियों में गोबर की खाद और ट्राइकोडर्मा मिलाएं। 25-30 दिन में पौधे तैयार हो जाते हैं।,Crop,Cauliflower,hi
फूलगोभी के पौधों की रोपाई कब करें?,जब नर्सरी के पौधे 12-15 सेमी ऊंचे हो जाएं और उनमें 4-5 पत्तियां निकल आएं।,Crop,Cauliflower,hi
फूलगोभी में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 50 किग्रा नाइट्रोजन, 30 किग्रा फास्फोरस और 20-25 किग्रा पोटाश की आवश्यकता होती है।",Crop,Cauliflower,hi
फूलगोभी में 'पोटाश' का क्या महत्व है?,"पोटाश फूलों (Curds) को सख्त बनाने, चमक बढ़ाने और पौधों को रोगों से बचाने के लिए बहुत जरूरी है।",Crop,Cauliflower,hi
फूलगोभी में सिंचाई का सही तरीका?,फूलगोभी में नियमित और मध्यम सिंचाई करें। फूल बनते समय नमी की कमी से फूल छोटे रह जाते हैं।,Crop,Cauliflower,hi
फूलगोभी में 'व्हिपटेल' (Whiptail) रोग?,यह मोलिब्डेनम (Molybdenum) की कमी से होता है। पत्तियां पतली और धागे जैसी हो जाती हैं। इसके लिए सोडियम मोलिब्डेट का स्प्रे करें।,Crop,Cauliflower,hi
फूलगोभी में 'बटनिंग' (Buttoning) क्या है?,पौधों का विकास पूरा होने से पहले ही छोटे-छोटे फूल (बटन जैसे) बन जाना। यह नाइट्रोजन की कमी या पछेती रोपाई के कारण होता है।,Crop,Cauliflower,hi
फूलगोभी में 'राइसीनेस' (Riceyness) क्या है?,फूल की सतह खुरदरी और चावल के दानों जैसी दिखने लगती है। यह फूल बनते समय बहुत अधिक तापमान होने के कारण होता है।,Crop,Cauliflower,hi
फूलगोभी का 'डायमंड बैक मोथ' (DBM) कीट?,यह इल्ली पत्तियों को खाकर छलनी कर देती है। इसके नियंत्रण के लिए स्पिनोसाड या बीटी (Bt) आधारित कीटनाशकों का प्रयोग करें।,Crop,Cauliflower,hi
फूलगोभी की कटाई कब करें?,"जब फूल पूरी तरह विकसित, ठोस और सफेद रंग के हों, लेकिन उनके खिलने (Loose होने) से पहले उन्हें काट लें।",Crop,Cauliflower,hi
फूलगोभी की औसत उपज कितनी होती है?,उन्नत किस्मों से 80 से 150 क्विंटल प्रति एकड़ तक उपज प्राप्त की जा सकती है।,Crop,Cauliflower,hi
फूलगोभी की प्रमुख उन्नत किस्में?,"बिहार के लिए पूसा दीपाली (अगेती), पंत शुभ्रा, पूसा हिमज्योति और हाइब्रिड में हाइब्रिड-2 अच्छी किस्में हैं।",Crop,Cauliflower,hi
फूलगोभी के भंडारण और पैकेजिंग?,फलों को ठंडा और हवादार स्थान पर रखें। परिवहन के लिए जालीदार बोरों या क्रेट्स का उपयोग करें ताकि फूल न टूटें।,Crop,Cauliflower,hi
फूलगोभी की खेती में 'मिट्टी चढ़ावा'?,पौधों को मजबूती देने और खरपतवार दबाने के लिए रोपाई के 25-30 दिन बाद हल्की मिट्टी चढ़ाना जरूरी है।,Crop,Cauliflower,hi
फूलगोभी के बाग में 'अंततःफसल'?,"फूलगोभी के साथ मूली, धनिया या पालक जैसी कम समय वाली फसलें उगाई जा सकती हैं।",Crop,Cauliflower,hi
फूलगोभी में 'जिंक सल्फेट' का लाभ?,जिंक की कमी से पौधों की वृद्धि रुक जाती है। 0.5% जिंक सल्फेट का स्प्रे पत्तियों को हरा और स्वस्थ रखता है।,Crop,Cauliflower,hi
फूलगोभी की खेती में सबसे बड़ी चुनौती?,"व्हिपटेल रोग, DBM कीट का हमला और फूल बनते समय तापमान का अचानक बढ़ना।",Crop,Cauliflower,hi
क्या बिहार में फूलगोभी की खेती सफल है?,"हाँ, बिहार के वैशाली, मुजफ्फरपुर और नालंदा जिलों में फूलगोभी की बहुत बड़े पैमाने पर और लाभदायक खेती होती है।",Crop,Cauliflower,hi
फूलगोभी की खेती शुरू करने वाले किसानों के लिए सलाह?,हमेशा मौसम के अनुसार सही किस्म का चुनाव करें और नर्सरी प्रबंधन पर विशेष ध्यान दें।,Crop,Cauliflower,hi
'पूसा दीपाली' किस्म की क्या विशेषता है?,यह एक बहुत ही लोकप्रिय अगेती किस्म है जो सितंबर-अक्टूबर में बाजार में आ जाती है और अच्छी कीमत दिलाती है।,Crop,Cauliflower,hi
फूलगोभी में 'ब्लांचिंग' (Blanching) क्या है?,फूलों को सीधी धूप से बचाने के लिए उन्हें उनकी ही पत्तियों से ढक देना ब्लांचिंग कहलाता है। इससे फूल सफेद और आकर्षक रहते हैं।,Crop,Cauliflower,hi
फूलगोभी के बीजों का उपचार कैसे करें?,बीज को कार्बेन्डाजिम या ट्राइकोडर्मा 2-3 ग्राम प्रति किग्रा बीज की दर से उपचारित करें।,Crop,Cauliflower,hi
फूलगोभी में 'नत्रजन' (Nitrogen) की अधिकता से नुकसान?,फूल बहुत ढीले (Hollow stalk) हो जाते हैं और जल्दी सड़ने की संभावना रहती है।,Crop,Cauliflower,hi
फूलगोभी की खेती में 'पोटाश' की टॉप ड्रेसिंग कब करें?,फूल बनने की शुरुआत (Curd initiation) के समय पोटाश देना बहुत प्रभावी होता है।,Crop,Cauliflower,hi
फूलगोभी के 'अवशेषों' (पत्तियों और डंठल) का उपयोग?,इन्हें काटकर पशुओं को खिलाया जा सकता है या सड़ाकर जैविक खाद बनाई जा सकती है।,Crop,Cauliflower,hi
फूलगोभी में 'मैग्नीशियम' की कमी के लक्षण?,"पुरानी पत्तियां पीली पड़ जाती हैं जबकि उनकी नसें हरी रहती हैं, विकास धीमा हो जाता है।",Crop,Cauliflower,hi
फूलगोभी की 'अगेती' और 'पछेती' किस्मों में अंतर?,"अगेती किस्में गर्मी सहन कर सकती हैं, जबकि पछेती किस्मों को फूल बनने के लिए कड़ाके की ठंड की जरूरत होती है।",Crop,Cauliflower,hi
फूलगोभी में 'फास्फोरस' का महत्व?,"जड़ों के मजबूत विकास और बड़े फूल बनने के लिए फास्फोरस अनिवार्य है, इसे रोपाई के समय दें।",Crop,Cauliflower,hi
फूलगोभी की कटाई के समय 'सावधानी'?,फूलों को 2-3 बाहरी पत्तियों के साथ काटें ताकि वे परिवहन के समय रगड़ और चोट से बचे रहें।,Crop,Cauliflower,hi
फूलगोभी में 'बोरोन' की कमी?,फूलों का रंग भूरा (Brown rot) होना और तने का खोखला होना बोरॉन की कमी का मुख्य संकेत है।,Crop,Cauliflower,hi
फूलगोभी की 'मृदा' का पीएच मान?,6.0 से 7.5 के बीच का पीएच फूलगोभी के लिए सबसे अच्छा है।,Crop,Cauliflower,hi
फूलगोभी में 'आयरन' (लोहा) की कमी?,नई पत्तियां पूरी तरह पीली पड़ जाती हैं। 0.5% फेरस सल्फेट का छिड़काव करें।,Crop,Cauliflower,hi
फूलगोभी की फसल में 'पाले' से बचाव?,पछेती फूलगोभी को पाले से बचाने के लिए हल्की सिंचाई और धुआं करना जरूरी है।,Crop,Cauliflower,hi
फूलगोभी की 'पेड़ी' फसल नहीं ली जा सकती?,"हाँ, फूलगोभी एक बार फल देने के बाद हटा दी जाती है, इसमें पेड़ी फसल नहीं होती।",Crop,Cauliflower,hi
