Question,Answer,Category,Crop,Language
टमाटर की खेती के लिए सबसे उपयुक्त समय क्या है?,"बिहार में टमाटर की रोपाई मुख्य रूप से तीन बार की जा सकती है: जून-जुलाई (खरीफ), अक्टूबर-नवंबर (रबी) और फरवरी-मार्च (जायद)।",Crop,Tomato,hi
टमाटर में 'ब्लासम एंड रॉट' (Blossom End Rot) क्यों होता है?,यह कैल्शियम की कमी और मिट्टी में नमी के असंतुलन के कारण होता है। फल के निचले हिस्से पर काला धब्बा पड़ जाता है।,Crop,Tomato,hi
मिर्च में 'थ्रिप्स' कीट का क्या लक्षण है?,पत्तियां ऊपर की ओर मुड़कर नाव के आकार की हो जाती हैं। इसे रोकने के लिए फिप्रोनिल (Fipronil) 80% WG का छिड़काव करें।,Crop,Chilli,hi
भिंडी में 'पीला मोजेक' (Yellow Vein Mosaic) का नियंत्रण कैसे करें?,यह वायरस सफेद मक्खी द्वारा फैलता है। इसके लिए प्रतिरोधी किस्में लगाएं और सफेद मक्खी के लिए कीटनाशक का प्रयोग करें।,Crop,Okra,hi
प्याज की रोपाई के लिए पौधों की उम्र कितनी होनी चाहिए?,प्याज के पौधों की रोपाई तब करनी चाहिए जब वे 6-8 सप्ताह के हो जाएं या उनकी ऊंचाई 15 सेमी हो जाए।,Crop,Onion,hi
प्याज में 'थ्रिप्स' का प्रबंधन कैसे करें?,प्याज की पत्तियों के बीच में चांदी जैसी चमक दिखने पर फिप्रोनिल या इमिडाक्लोप्रिड का छिड़काव करें।,Crop,Onion,hi
लहसुन की बुआई का सही तरीका क्या है?,लहसुन की कलियों (Cloves) को 10-15 सेमी की दूरी पर और 3-5 सेमी की गहराई पर बोना चाहिए।,Crop,Garlic,hi
फूलगोभी की अगेती खेती कब शुरू करें?,अगेती फूलगोभी के लिए नर्सरी मई-जून में तैयार की जाती है और रोपाई जुलाई में की जाती है।,Crop,Cauliflower,hi
पत्तागोभी (Cabbage) में 'डायमंड बैक मोथ' (DBM) का नियंत्रण कैसे करें?,इसके लिए स्पिनोसाड (Spinosad) या बीटी (Bt) आधारित कीटनाशकों का प्रयोग प्रभावी होता है।,Crop,Cabbage,hi
मटर (Pea) की खेती में बीज उपचार क्यों जरूरी है?,"मटर में जड़ सड़न और उकठा रोग अधिक लगता है, इसलिए बीज को ट्राइकोडर्मा या कार्बेन्डाजिम से जरूर उपचारित करें।",Crop,Pea,hi
आलू में 'मिट्टी चढ़ाना' (Earthing up) कब करें?,"जब आलू के पौधे 15-20 सेमी ऊंचे हो जाएं (लगभग 30-35 दिन बाद), तब उन पर मिट्टी चढ़ानी चाहिए ताकि कंद धूप से बचे रहें।",Crop,Potato,hi
आलू के कंदों का हरा रंग क्यों हो जाता है?,"यदि आलू के कंद मिट्टी से बाहर निकलकर सूरज की रोशनी के संपर्क में आते हैं, तो उनमें 'सोलेनिन' बन जाता है जिससे वे हरे हो जाते हैं।",Crop,Potato,hi
धनिया की खेती में बीज को दो भागों में क्यों तोड़ा जाता है?,धनिया का फल (मरिकार्प) दो बीजों से बना होता है। इसे हल्के से रगड़कर तोड़ने से अंकुरण बेहतर और जल्दी होता है।,Crop,Coriander,hi
हल्दी की बुआई का सही समय क्या है?,हल्दी की बुआई आमतौर पर मई के अंत से जून के अंत तक की जाती है।,Crop,Turmeric,hi
