Question,Answer,Category,Crop,Language
पीएम-किसान (PM-KISAN) योजना क्या है?,यह भारत सरकार की योजना है जिसके तहत पात्र भूमिधारक किसान परिवारों को प्रति वर्ष 6000 रुपये की आर्थिक सहायता दी जाती है।,Government Schemes,General,hi
पीएम-किसान योजना की राशि कैसे मिलती है?,यह राशि 2000 रुपये की तीन समान किस्तों में सीधे किसानों के बैंक खाते (DBT) में भेजी जाती है।,Government Schemes,General,hi
पीएम-किसान (PM-KISAN) सम्मान निधि की पात्रता क्या है?,"पात्रता: 1. सभी भूमिधारक किसान परिवार (पति, पत्नी और नाबालिग बच्चे) जिनके नाम पर खेती योग्य भूमि है। 2. संस्थागत भूमिधारक, संवैधानिक पद धारक (पूर्व/वर्तमान), मंत्री, मेयर, जिला पंचायत अध्यक्ष, सरकारी कर्मचारी (चतुर्थ श्रेणी को छोड़कर), 10,000+ पेंशनभोगी और पेशेवर (डॉक्टर, इंजीनियर, वकील) इस योजना के पात्र नहीं हैं।",Government Schemes,General,hi
प्रधानमंत्री फसल बीमा योजना (PMFBY) के क्या लाभ हैं?,"यह योजना किसानों को प्राकृतिक आपदाओं, कीटों और बीमारियों के कारण फसल नुकसान होने पर वित्तीय सुरक्षा प्रदान करती है।",Government Schemes,General,hi
PMFBY के तहत किसानों को कितना प्रीमियम देना पड़ता है?,"खरीफ फसलों के लिए 2%, रबी के लिए 1.5% और बागवानी/वाणिज्यिक फसलों के लिए 5% प्रीमियम देना होता है।",Government Schemes,General,hi
किसान क्रेडिट कार्ड (KCC) योजना क्या है?,"KCC किसानों को कम ब्याज दर पर खेती, कटाई और रखरखाव के लिए ऋण (Loan) उपलब्ध कराने की एक सरल योजना है।",Government Schemes,General,hi
KCC पर ब्याज की दर क्या है?,"KCC पर ब्याज दर प्रभावी रूप से 4% होती है, यदि किसान समय पर अपना ऋण चुका देता है (3% ब्याज सहायता के बाद)।",Government Schemes,General,hi
मृदा स्वास्थ्य कार्ड (Soil Health Card) योजना का उद्देश्य क्या है?,किसानों को उनकी मिट्टी के पोषक तत्वों की स्थिति बताना और संतुलित उर्वरक प्रयोग की सिफारिश करना ताकि लागत कम हो और पैदावार बढ़े।,Government Schemes,General,hi
कुसुम योजना (PM-KUSUM) क्या है?,यह योजना किसानों को अपने खेतों में सौर पंप (Solar Pump) लगाने और बंजर भूमि पर सौर ऊर्जा संयंत्र स्थापित करने के लिए सब्सिडी प्रदान करती है।,Government Schemes,General,hi
पीएम कृषि सिंचाई योजना (PMKSY) का क्या लाभ है?,इसका मुख्य मंत्र 'प्रति बूंद अधिक फसल' है। इसके तहत ड्रिप और स्प्रिंकलर सिंचाई प्रणालियों पर भारी सब्सिडी दी जाती है।,Government Schemes,General,hi
न्यूनतम समर्थन मूल्य (MSP) क्या है?,"यह वह मूल्य है जिस पर सरकार किसानों से उनकी फसल खरीदने की गारंटी देती है, ताकि बाजार में भाव गिरने पर किसानों को नुकसान न हो।",Government Schemes,General,hi
