Question,Answer,Category,Crop,Language
पशुओं में होने वाली प्रमुख छूत की बीमारियां कौन सी हैं?,"मुख्य बीमारियां हैं: खुरपका-मुंहपका (FMD), गलघोंटू (HS), लंगड़ा बुखार (BQ) और एंथ्रेक्स।",Livestock,Livestock_diseases,hi
खुरपका-मुंहपका (FMD) रोग के लक्षण क्या हैं?,"पशु के मुंह और खुरों में छाले होना, तेज बुखार और अत्यधिक लार टपकना इसके प्रमुख लक्षण हैं।",Livestock,Livestock_diseases,hi
FMD रोग का सबसे प्रभावी बचाव क्या है?,साल में दो बार (बरसात से पहले और बाद में) नियमित टीकाकरण ही इसका एकमात्र प्रभावी बचाव है।,Livestock,Livestock_diseases,hi
गलघोंटू (Hemorrhagic Septicemia) की पहचान?,"पशु के गले में सूजन, सांस लेने में घरघराहट की आवाज और तेज बुखार। यह बरसात के मौसम में अधिक होता है।",Livestock,Livestock_diseases,hi
लंगड़ा बुखार (Black Quarter) क्या है?,यह मुख्य रूप से गाय और भैंस के युवाओं (1-3 साल) में होता है। पशु के पिछले हिस्से में सूजन आती है और वह लंगड़ाने लगता है।,Livestock,Livestock_diseases,hi
पशुओं में 'एंथ्रेक्स' (Anthrax) रोग कितना खतरनाक है?,यह एक जानलेवा बीमारी है जो इंसानों में भी फैल सकती है। इसमें पशु के शरीर के छिद्रों से काला खून निकलता है।,Livestock,Livestock_diseases,hi
थनैला रोग (Mastitis) का कारण क्या है?,थनों में गंदगी और बैक्टीरिया के संक्रमण से थनैला होता है। इससे दूध का रंग बदल जाता है और थन कड़े हो जाते हैं।,Livestock,Livestock_diseases,hi
थनैला रोग से बचाव के लिए 'स्वच्छता' का महत्व?,दूध निकालने से पहले और बाद में थनों को पोटेशियम परमैंगनेट के हल्के घोल से साफ करना चाहिए।,Livestock,Livestock_diseases,hi
पशुओं में 'पेट के कीड़े' (Internal Parasites) के लक्षण?,"पशु का सुस्त रहना, भूख कम लगना, मिट्टी खाना और दस्त होना इसके मुख्य संकेत हैं।",Livestock,Livestock_diseases,hi
डीवर्मिंग (Deworming) कब करनी चाहिए?,"हर 3-4 महीने में एक बार पशुओं को कीड़े की दवा पिलानी चाहिए, विशेषकर चारे के बदलाव के समय।",Livestock,Livestock_diseases,hi
पशुओं में 'चिंचड़ी' और 'जूं' (Ticks/Lice) का प्रबंधन?,नीम के तेल या बाहरी परजीवियों को मारने वाली दवाओं का लेप लगाकर इन्हें नियंत्रित किया जा सकता है।,Livestock,Livestock_diseases,hi
'अफरा' (Bloat) रोग क्या है?,अधिक हरा चारा खाने से पशु के पेट में गैस भर जाती है। समय पर इलाज न मिलने पर यह जानलेवा हो सकता है।,Livestock,Livestock_diseases,hi
अफरा का प्राथमिक उपचार?,पशु को तारपीन का तेल या गैस नाशक मिश्रण (जैसे- टिमपोनिल) देना चाहिए और उसे चलाएं।,Livestock,Livestock_diseases,hi
पशुओं में 'दूध का बुखार' (Milk Fever) क्यों होता है?,बच्चा देने के तुरंत बाद शरीर में कैल्शियम की भारी कमी होने से यह रोग होता है। पशु गर्दन मोड़कर सो जाता है।,Livestock,Livestock_diseases,hi
पशुओं में 'गर्भपात' (Abortion) का मुख्य कारण?,ब्रूसेलोसिस (Brucellosis) नामक बीमारी इसका मुख्य कारण है। यह छूत की बीमारी है और इंसानों को भी संक्रमित कर सकती है।,Livestock,Livestock_diseases,hi
पशुओं के आवास में 'कीटाणुशोधन' (Disinfection)?,चूने का छिड़काव और फिनोल से फर्श की धुलाई बीमारियों के प्रसार को रोकने के लिए जरूरी है।,Livestock,Livestock_diseases,hi
बीमार पशु को स्वस्थ पशुओं से अलग क्यों रखना चाहिए?,"ताकि संक्रमण हवा, चारे या पानी के जरिए दूसरे पशुओं तक न फैले।",Livestock,Livestock_diseases,hi
पशुओं में 'कैल्शियम' की पूर्ति कैसे करें?,संतुलित खनिज मिश्रण (Mineral mix) दें और आवश्यकतानुसार डॉक्टर की सलाह से तरल कैल्शियम पिलाएं।,Livestock,Livestock_diseases,hi
'लम्पी स्किन डिजीज' (LSD) के लक्षण?,"पशु के शरीर पर गांठें बनना, बुखार और आँखों-नाक से पानी आना। यह मच्छरों और मक्खियों से फैलता है।",Livestock,Livestock_diseases,hi
LSD रोग का प्रबंधन?,"बीमार पशु को अलग करें, घावों पर एंटी-सेप्टिक लगाएं और मच्छरों को नियंत्रित करें। गोट पॉक्स वैक्सीन इसमें प्रभावी है।",Livestock,Livestock_diseases,hi
पशुओं में 'विटामिन ए' की कमी के लक्षण?,पशु को रात में दिखाई न देना (Night blindness) और बार-बार दस्त होना विटामिन ए की कमी का संकेत है।,Livestock,Livestock_diseases,hi
'बछड़ों' में होने वाली मुख्य बीमारी?,सफेद दस्त (White scour) छोटे बछड़ों में सफाई की कमी से होने वाली एक गंभीर बीमारी है।,Livestock,Livestock_diseases,hi
पशुओं में 'जहरबाद' (HS) का टीका कब लगवाएं?,बरसात शुरू होने से कम से कम एक महीना पहले (मई-जून में) गलघोंटू का टीका जरूर लगवाएं।,Livestock,Livestock_diseases,hi
मृत पशु का निस्तारण (Disposal) कैसे करें?,छूत की बीमारी से मरे पशु को 6-8 फीट गहरे गड्ढे में चूने और नमक के साथ दबाना चाहिए।,Livestock,Livestock_diseases,hi
पशुओं में 'टीकाकरण' के बाद क्या सावधानी रखें?,टीका लगने के बाद पशु को 1-2 दिन आराम दें और उसे तनावमुक्त रखें।,Livestock,Livestock_diseases,hi
क्या बीमार पशु का दूध पिया जा सकता है?,"नहीं, थनैला या ब्रूसेलोसिस जैसी बीमारियों में दूध को उबालकर ही उपयोग करें या नष्ट कर दें।",Livestock,Livestock_diseases,hi
पशुओं के लिए 'प्राथमिक चिकित्सा किट' (First Aid Kit)?,"बुखार नाशक, दर्द निवारक, एंटी-सेप्टिक क्रीम और पट्टी हमेशा फार्म पर रखें।",Livestock,Livestock_diseases,hi
पशुओं में 'निमोनिया' का कारण?,"अत्यधिक ठंड, नमी और हवादार शेड की कमी से पशुओं को निमोनिया हो सकता है।",Livestock,Livestock_diseases,hi
मुर्गियों में 'रानीखेत' रोग से बचाव?,यह वायरस जनित रोग है। पहले हफ्ते और फिर 8वें हफ्ते में टीकाकरण ही इसका पक्का इलाज है।,Livestock,Livestock_diseases,hi
बकरियों में 'पीपीआर' (PPR) बीमारी?,"इसे 'बकरी प्लेग' भी कहते हैं। इसमें बुखार, दस्त और मुंह में छाले होते हैं। साल में एक बार इसका टीका जरूरी है।",Livestock,Livestock_diseases,hi
पशुओं में 'पायका' (Pica) क्या है?,"पोषक तत्वों की कमी के कारण पशुओं द्वारा अखाद्य वस्तुएं जैसे- कपड़े, चमड़ा या पत्थर खाना।",Livestock,Livestock_diseases,hi
'सर्रा' (Surra) रोग क्या है?,यह ऊंटों और घोड़ों के साथ-साथ गाय-भैंसों में भी होता है। इसे मक्खियां फैलाती हैं और पशु गोल-गोल घूमने लगता है।,Livestock,Livestock_diseases,hi
पशुओं में 'पाउडर' (Coccidiosis) दस्त?,"यह छोटे मेमनों और चूजों में होने वाली एक परजीवी बीमारी है, जो अस्वच्छता से फैलती है।",Livestock,Livestock_diseases,hi
पशुओं के 'दांतों' की सफाई और स्वास्थ्य?,मुंह के छालों और दांतों की सड़न से बचने के लिए समय-समय पर जांच जरूरी है।,Livestock,Livestock_diseases,hi
क्या पशुओं को 'मानव दवाएं' दी जा सकती हैं?,"नहीं, हमेशा पशु चिकित्सक की सलाह से ही पशुओं के लिए बनी दवाओं का उपयोग करें।",Livestock,Livestock_diseases,hi
पशुपालन में 'बाउंड्री वॉल' का महत्व?,यह जंगली जानवरों और आवारा पशुओं के जरिए आने वाली बीमारियों को रोकने में मदद करती है।,Livestock,Livestock_diseases,hi
पशुओं में 'मिट्टी' खाने की समस्या?,यह शरीर में लोहे और अन्य खनिजों की भारी कमी को दर्शाता है।,Livestock,Livestock_diseases,hi
'खुरों' की बीमारी (Foot Rot)?,कीचड़ में लंबे समय तक खड़े रहने से खुरों में संक्रमण हो जाता है। बाड़ा सूखा रखें।,Livestock,Livestock_diseases,hi
पशुओं के लिए 'शुद्ध पेयजल'?,पानी की टंकी को नियमित साफ करें क्योंकि दूषित पानी 80% बीमारियों की जड़ है।,Livestock,Livestock_diseases,hi
पशुपालन की सफलता का स्वास्थ्य मंत्र?,नियमित निरीक्षण + समय पर टीकाकरण + स्वच्छता = स्वस्थ और खुशहाल पशु।,Livestock,Livestock_diseases,hi
पशुओं में 'हवा' (Panting) चलना?,भीषण गर्मी में पशु का तेजी से सांस लेना लू लगने का लक्षण है। ठंडी जगह पर ले जाएं।,Livestock,Livestock_diseases,hi
'थनैला' जांच के लिए 'स्ट्रिप कप टेस्ट'?,"दूध निकालने से पहले पहली 2-3 धारें काली प्लेट पर देखें, यदि दूध फटा हो तो थनैला की जांच कराएं।",Livestock,Livestock_diseases,hi
पशुओं में 'आयोडीन' की कमी?,आयोडीन कम होने पर पशु के गले में घेघा (Goitre) बन सकता है और बच्चे कमजोर पैदा होते हैं।,Livestock,Livestock_diseases,hi
'बांझ' पशुओं का उपचार क्या संभव है?,"हाँ, हार्मोन थेरेपी और सही पोषण से 70-80% बांझपन की समस्याओं को ठीक किया जा सकता है।",Livestock,Livestock_diseases,hi
पशुओं में 'अफीम' का प्रभाव?,"पशु को शांत करने के लिए अफीम देना खतरनाक है, यह उसके तंत्रिका तंत्र को नुकसान पहुँचाता है।",Livestock,Livestock_diseases,hi
पशुओं के शेड में 'नीम की पत्तियों' का धुआं?,"शाम को नीम का धुआं करने से मच्छर और मक्खियां भागती हैं, जो बीमारियों के वाहक हैं।",Livestock,Livestock_diseases,hi
क्या पशुओं को 'खुली जगह' चाहिए?,"हाँ, दिन में कुछ समय पशुओं को टहलने के लिए खुला छोड़ना उनकी मांसपेशियों और पाचन के लिए अच्छा है।",Livestock,Livestock_diseases,hi
पशुओं में 'मैग्नीशियम' की कमी (Grass Tetany)?,अत्यधिक कोमल और हरी घास खाने से यह रोग हो सकता है जिसमें पशु को झटके आते हैं।,Livestock,Livestock_diseases,hi
बीमार पशु के 'गोबर और मूत्र' का क्या करें?,इसे अन्य खाद के साथ न मिलाएं और चूना डालकर अलग गड्ढे में दबा दें।,Livestock,Livestock_diseases,hi
पशु स्वास्थ्य के लिए विशेषज्ञों की अंतिम सलाह?,हमेशा अपने नजदीकी सरकारी पशु चिकित्सालय का नंबर पास रखें और नीम हकीमों से बचें।,Livestock,Livestock_diseases,hi
