Question,Action,Reason,Original_File,New_File
रोपाई के समय पौधों की दूरी क्या रखें?,Replaced,Found better quality (longer) answer,banana.csv,brinjal.csv
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,Replaced,Found better quality (longer) answer,brinjal.csv,cabbage.csv
रोपाई के समय पौधों की दूरी क्या रखें?,Dropped,"Duplicate question, shorter answer",brinjal.csv,cabbage.csv
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,Dropped,"Duplicate question, shorter answer",cabbage.csv,cauliflower.csv
रोपाई के समय पौधों की दूरी क्या रखें?,Replaced,Found better quality (longer) answer,brinjal.csv,cauliflower.csv
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,Dropped,"Duplicate question, shorter answer",cabbage.csv,chilli.csv
रोपाई के समय पौधों की दूरी क्या रखें?,Dropped,"Duplicate question, shorter answer",cauliflower.csv,chilli.csv
'सिट्रस कैंकर' से नींबू की सुरक्षा?,Dropped,"Duplicate question, shorter answer",crop_safety.csv,crop_safety_2.csv
ट्राइकोडर्मा विरिडी (Trichoderma viride) क्या है?,Dropped,"Duplicate question, shorter answer",bio_control.csv,fungicides.csv
क्या तेज बारिश के बाद छिड़काव दोबारा करना चाहिए?,Dropped,"Duplicate question, shorter answer",fungicides.csv,herbicides.csv
दवाओं का 'अदला-बदली' (Rotation) क्यों जरूरी है?,Replaced,Found better quality (longer) answer,fungicides.csv,insecticides.csv
फर्टिगेशन (Fertigation) क्या है?,Dropped,"Duplicate question, shorter answer",fertilizer.csv,irrigation.csv
बाग लगाने के लिए पौधों की दूरी क्या रखें?,Dropped,"Duplicate question, shorter answer",guava.csv,litchi.csv
रोपाई के समय पौधों की दूरी क्या रखें?,Dropped,"Duplicate question, shorter answer",cauliflower.csv,makhana.csv
बाग लगाने के लिए पौधों की दूरी क्या रखें?,Replaced,Found better quality (longer) answer,guava.csv,mango.csv
आम का 'गुच्छा रोग' (Malformed Flowers) क्या है?,Replaced,Found better quality (longer) answer,disease.csv,mango.csv
सरसों में 'मैग्नीशियम' की कमी का उपचार?,Replaced,Found better quality (longer) answer,mustard.csv,mustard.csv
सरसों में 'एनपीके 0:52:34' का छिड़काव?,Replaced,Found better quality (longer) answer,mustard.csv,mustard.csv
सरसों में 'यूरिया' की बचत के लिए 'मिट्टी परीक्षण'?,Dropped,"Duplicate question, shorter answer",mustard.csv,mustard.csv
सरसों की 'मड़ाई' के बाद 'अनाज' की पैकिंग?,Dropped,"Duplicate question, shorter answer",mustard.csv,mustard.csv
सरसों की 'सघन' खेती in 'कीट' प्रबंधन?,Dropped,"Duplicate question, shorter answer",mustard.csv,mustard.csv
दशपर्णी अर्क (Dashparni Arka) क्या है?,Replaced,Found better quality (longer) answer,bio_control.csv,organic_farming.csv
वेस्ट डीकम्पोजर (Waste Decomposer) क्या है?,Replaced,Found better quality (longer) answer,fertilizer.csv,organic_farming.csv
हरी खाद (Green Manure) कैसे तैयार करें?,Dropped,"Duplicate question, shorter answer",fertilizer.csv,organic_farming.csv
ब्रह्मास्त्र और अग्निस्त्र क्या हैं?,Dropped,"Duplicate question, shorter answer",bio_control.csv,organic_farming.csv
रोपाई के समय पौधों की दूरी क्या रखें?,Dropped,"Duplicate question, shorter answer",cauliflower.csv,papaya.csv
कीटनाशकों का 'प्रतीक्षा काल' (Waiting Period) क्या है?,Replaced,Found better quality (longer) answer,insecticides.csv,pest.csv
'नीम की खली' का कीटों पर असर?,Dropped,"Duplicate question, shorter answer",agri_miscellaneous_2.csv,pest.csv
'कीटनाशकों' को बच्चों की पहुँच से दूर क्यों रखें?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest.csv
'जैविक कीटनाशक' बनाने का सही समय?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest.csv
'दशपर्णी अर्क' किन कीटों पर प्रभावी है?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest.csv
'गौमूत्र' और 'नीम' का मेल?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest.csv
'छिड़काव' के समय ' फ्लैट फैन' नोजल?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest.csv
'कीटनाशकों' के खाली पैकेट और 'पशु'?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest.csv
'जैविक कीटनाशक' और 'प्रमाणन'?,Dropped,"Duplicate question, shorter answer",crop_safety_2.csv,pest.csv
