Question,Answer,Category,Crop,Language
अदरक की खेती का परिचय क्या है?,अदरक (Zingiber officinale) भारत की एक महत्वपूर्ण मसाला और औषधीय फसल है। यह अपने विशिष्ट तीखे स्वाद और पाचक गुणों के लिए पूरी दुनिया में प्रसिद्ध है।,Crop,Ginger,hi
अदरक के लिए उपयुक्त जलवायु?,अदरक के लिए गर्म और आर्द्र जलवायु अच्छी है। 25-30°C तापमान और पर्याप्त वर्षा इसके विकास के लिए आदर्श है।,Crop,Ginger,hi
अदरक की बुआई का सबसे अच्छा समय?,बिहार में अदरक की बुआई मुख्य रूप से मई के मध्य से जून के अंत तक की जाती है।,Crop,Ginger,hi
अदरक की प्रति एकड़ बीज (प्रकंद) दर?,प्रति एकड़ लगभग 6 से 8 क्विंटल स्वस्थ अदरक के प्रकंदों (Rhizomes) की आवश्यकता होती है।,Crop,Ginger,hi
अदरक के बीजों (प्रकंदों) का चयन कैसे करें?,"हमेशा 1 साल पुरानी, स्वस्थ, बिना कटी-फटी और कम से कम 2-3 आंखों वाली 'मदर राइजोम' का चुनाव करें।",Crop,Ginger,hi
अदरक की बुआई की विधि क्या है?,अदरक को ऊँची क्यारियों (Raised beds) पर बोना चाहिए। पंक्तियों की दूरी 30 सेमी और प्रकंद की दूरी 20-25 सेमी रखें।,Crop,Ginger,hi
अदरक के लिए कैसी मिट्टी सबसे अच्छी है?,"अच्छी जल निकासी वाली उपजाऊ दोमट मिट्टी जिसमें प्रचुर मात्रा में कार्बनिक पदार्थ हों, अदरक के लिए श्रेष्ठ है।",Crop,Ginger,hi
अदरक में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 30-40 किग्रा नाइट्रोजन, 20 किग्रा फास्फोरस और 20-25 किग्रा पोटाश की आवश्यकता होती है।",Crop,Ginger,hi
अदरक में 'पोटाश' का क्या महत्व है?,"पोटाश प्रकंदों के आकार, स्वाद और वजन बढ़ाने के साथ-साथ पौधों को रोगों से बचाने में मदद करता है।",Crop,Ginger,hi
अदरक में सिंचाई का सही तरीका?,"अदरक को नियमित नमी चाहिए, लेकिन पानी का जमाव नहीं होना चाहिए। मल्चिंग नमी बनाए रखने में बहुत मदद करती है।",Crop,Ginger,hi
अदरक का 'नरम सड़न' (Soft Rot) रोग?,यह अधिक पानी और जल भराव के कारण होता है। तना जमीन के पास से गल जाता है। इसे रोकने के लिए जल निकास सुधारें और कवकनाशी का प्रयोग करें।,Crop,Ginger,hi
अदरक में 'पत्ती झुलसा' (Leaf Spot) रोग?,पत्तियों पर छोटे पीले-भूरे धब्बे पड़ना जो बाद में पूरी पत्ती को सुखा देते हैं। इसके नियंत्रण के लिए मैंकोज़ेब का छिड़काव करें।,Crop,Ginger,hi
अदरक का 'प्रकंद छेदक' (Rhizome Borer) कीट?,यह कीट प्रकंदों के अंदर छेद करके उन्हें खाता है। इसके नियंत्रण के लिए मिट्टी में नीम की खली का प्रयोग करें।,Crop,Ginger,hi
अदरक की खुदाई कब करें?,जब पौधों की पत्तियां पीली पड़कर सूख जाएं। आमतौर पर बुआई के 8-9 महीने बाद (जनवरी-फरवरी में)।,Crop,Ginger,hi
अदरक की औसत उपज कितनी होती है?,उन्नत किस्मों से 60 से 100 क्विंटल ताजी अदरक प्रति एकड़ प्राप्त की जा सकती है।,Crop,Ginger,hi
अदरक की प्रमुख उन्नत किस्में?,"बिहार के लिए सुरुचि, सुप्रभा, रियो-डी-जेनेरो और हिमगिरी बहुत अच्छी किस्में हैं।",Crop,Ginger,hi
अदरक से 'सौंठ' (Dry Ginger) बनाना?,"खुदाई के बाद अदरक को छीलकर और सुखाकर सौंठ तैयार की जाती है, जिसका उपयोग औषधि और मसालों में होता है।",Crop,Ginger,hi
अदरक की खुदाई के बाद 'उपचार'?,अदरक को खुदाई के बाद साफ पानी से धोकर उसकी मिट्टी हटाएं और छाया में सुखाएं।,Crop,Ginger,hi
अदरक की खेती में 'मिट्टी चढ़ावा'?,प्रकंदों को ढंकने और विकास के लिए बुआई के 60 और 90 दिन बाद मिट्टी चढ़ाना बहुत जरूरी है।,Crop,Ginger,hi
अदरक के बाग में 'अंतःफसल'?,अदरक के साथ मक्का या अरहर की अंतर-फसली खेती बहुत लाभदायक होती है।,Crop,Ginger,hi
अदरक में 'जिंक सल्फेट' का लाभ?,जिंक की कमी से पौधों की वृद्धि रुक जाती है। 0.5% जिंक सल्फेट का स्प्रे पत्तियों को स्वस्थ रखता है।,Crop,Ginger,hi
अदरक की खेती में सबसे बड़ी चुनौती?,नरम सड़न (Soft Rot) रोग का प्रबंधन और जल निकास की समस्या।,Crop,Ginger,hi
क्या बिहार में अदरक की खेती सफल है?,"हाँ, बिहार के समस्तीपुर, वैशाली और मुजफ्फरपुर जिलों में अदरक की बहुत सफल खेती की जा रही है।",Crop,Ginger,hi
अदरक की खेती शुरू करने वाले किसानों के लिए सलाह?,हमेशा रोगमुक्त प्रकंदों का चुनाव करें और भारी मल्चिंग (Mulching) का प्रयोग करें।,Crop,Ginger,hi
'रियो-डी-जेनेरो' किस्म की क्या विशेषता है?,यह एक बहुत ही लोकप्रिय किस्म है जो अधिक उपज देने वाली और तेल की मात्रा के लिए जानी जाती है।,Crop,Ginger,hi
अदरक में 'सफेद मक्खी' का नियंत्रण?,नीम तेल या अनुशंसित कीटनाशक का छिड़काव पत्तियों के नीचे करें।,Crop,Ginger,hi
अदरक के प्रकंदों का उपचार (Seed Treatment) कैसे करें?,प्रकंदों को कार्बेन्डाजिम (0.2%) के घोल में 30 मिनट तक भिगोकर सुखाएं और फिर बोएं।,Crop,Ginger,hi
अदरक में 'नत्रजन' (Nitrogen) की अधिकता से नुकसान?,पौधे बहुत घने हो जाते हैं लेकिन प्रकंदों का विकास कम होता है और सड़न का खतरा बढ़ता है।,Crop,Ginger,hi
अदरक की खेती में 'पोटाश' की टॉप ड्रेसिंग कब करें?,बुआई के 90 और 120 दिन बाद खाद देते समय पोटाश की मात्रा जरूर डालें।,Crop,Ginger,hi
अदरक के 'अवशेषों' (सूखी पत्तियों) का उपयोग?,"पत्तियों को खेत में ही बिछाकर मल्चिंग करें, इससे नमी बनी रहती है और खरपतवार कम होते हैं।",Crop,Ginger,hi
अदरक में 'मैग्नीशियम' की कमी के लक्षण?,पुरानी पत्तियों के किनारे पीले पड़ जाते हैं और प्रकंदों का आकार छोटा रह जाता है।,Crop,Ginger,hi
अदरक की 'अगेती' और 'पछेती' किस्मों में अंतर?,अगेती किस्में 7 महीने में और पछेती किस्में 9 महीने में तैयार होती हैं।,Crop,Ginger,hi
अदरक में 'फास्फोरस' का महत्व?,"जड़ों के विकास और प्रकंदों की सघनता के लिए फास्फोरस अनिवार्य है, इसे बुआई के समय दें।",Crop,Ginger,hi
अदरक की खुदाई के समय 'सावधानी'?,प्रकंदों को चोट न लगने दें अन्यथा वे सुखाते समय या भंडारण में खराब हो सकते हैं।,Crop,Ginger,hi
अदरक में 'बोरोन' की कमी?,प्रकंदों का फटना और उनका सही ढंग से विकास न होना बोरॉन की कमी का संकेत है।,Crop,Ginger,hi
अदरक की 'मृदा' का पीएच मान?,6.0 से 7.0 के बीच का पीएच अदरक के लिए सबसे अच्छा है।,Crop,Ginger,hi
अदरक में 'आयरन' (लोहा) की कमी?,नई पत्तियां पूरी तरह पीली पड़ जाती हैं। 0.5% फेरस सल्फेट का स्प्रे करें।,Crop,Ginger,hi
अदरक की फसल में 'सूखे' से बचाव?,"अदरक को पर्याप्त नमी चाहिए, सूखे की स्थिति में प्रकंद छोटे और रेशेदार रह जाते हैं।",Crop,Ginger,hi
अदरक की 'पेड़ी' फसल नहीं ली जा सकती?,"हाँ, अदरक हर साल नया बोया जाता है, इसकी पेड़ी फसल सफल नहीं होती।",Crop,Ginger,hi
अदरक में 'यूरिया' की मात्रा मिट्टी के अनुसार?,भारी मिट्टी में यूरिया कम किस्तों में और रेतीली मिट्टी में अधिक बार देना बेहतर है।,Crop,Ginger,hi
अदरक के भंडारण में 'नमी'?,"ताजी अदरक को ठंडे स्थान पर रखें, सूखी अदरक (सौंठ) को एयर-टाइट बैग्स में भंडारित करें।",Crop,Ginger,hi
अदरक की 'सुरुचि' किस्म की विशेषता?,यह अधिक उपज देने वाली और अच्छी सुगंध वाली एक उन्नत किस्म है।,Crop,Ginger,hi
अदरक में 'थ्रिप्स' कीट का प्रबंधन?,नीम तेल या अनुशंसित कीटनाशक का छिड़काव पत्तियों पर करें।,Crop,Ginger,hi
अदरक की खेती में 'नर्सरी' की जरूरत होती है?,"नहीं, अदरक के प्रकंदों को सीधे खेत में बोया जाता है।",Crop,Ginger,hi
अदरक के प्रकंदों को 'चमकदार' बनाने के लिए पोटाश?,"हाँ, पोटाश का उचित प्रयोग अदरक के रंग और चमक को निखारता है।",Crop,Ginger,hi
अदरक की खेती में 'मजदूरी' कम करने के तरीके?,मल्चिंग और मशीनी वीडर का उपयोग निराई का खर्च कम करता है।,Crop,Ginger,hi
अदरक के प्रकंदों में 'अंकुरण' न होने का कारण?,"खराब प्रकंद, बहुत अधिक गहराई या मिट्टी में नमी की भारी कमी।",Crop,Ginger,hi
अदरक की खेती के लिए सरकारी सब्सिडी?,"बीज, सिंचाई यंत्रों और प्रोसेसिंग मशीनों पर सरकार अनुदान प्रदान करती है।",Crop,Ginger,hi
अदरक में 'नीमेटोड' की समस्या?,जड़ों में गांठें बनना। मिट्टी में नीम की खली डालें या गेंदा का फूल साथ में लगाएं।,Crop,Ginger,hi
अदरक की 'सघन' बुआई में उपज?,पौधों की दूरी कम करके उपज बढ़ाई जा सकती है लेकिन प्रकंदों का आकार छोटा हो सकता है।,Crop,Ginger,hi
अदरक में 'सिंचाई' का अंतराल सर्दियों में?,सर्दियों में 15-20 दिन के अंतराल पर सिंचाई करना पर्याप्त है।,Crop,Ginger,hi
अदरक की खुदाई के बाद 'जड़ों' की सफाई?,प्रकंदों से जड़ों और मिट्टी को सावधानी से हटाकर उन्हें साफ पानी से धोएं।,Crop,Ginger,hi
अदरक में 'जिंक' की कमी से प्रकंदों का विकास?,प्रकंद छोटे रह जाते हैं और उनकी बाजार कीमत कम हो जाती है।,Crop,Ginger,hi
अदरक की 'अगेती' बुआई के लाभ?,अगेती फसल अक्सर त्योहारों के सीजन में आती है जिससे बहुत अच्छी कीमत मिलती है।,Crop,Ginger,hi
अदरक में 'पोटाश' की मात्रा मिट्टी परीक्षण के आधार पर?,हमेशा रिपोर्ट के अनुसार ही पोटाश डालें ताकि गुणवत्ता सही मिले।,Crop,Ginger,hi
अदरक के खेत में 'चूहों' का प्रबंधन?,"चूहे प्रकंदों को नुकसान पहुँचा सकते हैं, खेत में सफाई रखें और ट्रैप लगाएं।",Crop,Ginger,hi
अदरक में 'यूरिया' को जड़ों के पास ही क्यों डालें?,ताकि पौधा उसे जल्दी सोख सके और वह धूप में बेकार न जाए।,Crop,Ginger,hi
अदरक की 'सुप्रभा' किस्म?,यह अधिक पैदावार और अच्छी सुगंध वाली एक बहुत ही लोकप्रिय उन्नत किस्म है।,Crop,Ginger,hi
अदरक में 'फास्फोरस' के लिए 'एसएसपी' क्यों अच्छा है?,क्योंकि एसएसपी फास्फोरस के साथ कैल्शियम और सल्फर भी देता है जो अदरक के लिए लाभकारी हैं।,Crop,Ginger,hi
अदरक की खुदाई के बाद 'पैकेजिंग'?,सूखी अदरक के लिए जूट के बोरों और ताजी अदरक के लिए क्रेट्स का उपयोग करें।,Crop,Ginger,hi
अदरक में 'कलम' नहीं लगती?,"हाँ, अदरक केवल प्रकंदों (Rhizomes) के माध्यम से ही उगाई जाती है।",Crop,Ginger,hi
अदरक की 'मशीनी' खुदाई?,बड़े फार्मों पर आलू खुदाई मशीन की तरह अदरक निकालने वाली मशीनों का उपयोग होता है।,Crop,Ginger,hi
अदरक में 'सल्फर' की कमी का प्रभाव?,पौधों का विकास धीमा हो जाता है और पत्तियों का रंग हल्का पीला रह सकता है।,Crop,Ginger,hi
अदरक की खुदाई के समय 'मिट्टी' सूखी होनी चाहिए?,ताकि प्रकंदों पर कीचड़ न लगे और वे बाजार के लिए साफ रहें।,Crop,Ginger,hi
अदरक में 'जिंक सल्फेट' का छिड़काव?,0.5% जिंक सल्फेट का छिड़काव नई पत्तियों के आने के समय करना प्रभावी है।,Crop,Ginger,hi
अदरक की 'हिमगिरी' किस्म?,यह ठंडे क्षेत्रों और अधिक वर्षा वाले स्थानों के लिए बहुत अच्छी किस्म मानी जाती है।,Crop,Ginger,hi
अदरक में 'चूहों' के बिलों में 'धुआं'?,तनों की जड़ों को बचाने के लिए चूहों को भगाना जरूरी है।,Crop,Ginger,hi
अदरक की खुदाई के बाद 'ग्रेडिंग' का लाभ?,बड़े और साफ प्रकंदों को अलग करने से बाजार में बहुत ऊँची कीमत मिलती है।,Crop,Ginger,hi
अदरक में 'पोटाश' की कमी से छिलके की मजबूती?,प्रकंदों का छिलका पतला रह जाता है जिससे वे जल्दी खराब हो सकते हैं।,Crop,Ginger,hi
अदरक की खेती में 'जल निकास' अनिवार्य क्यों है?,जड़ों के पास पानी रुकने से नरम सड़न (Soft Rot) का खतरा कई गुना बढ़ जाता है।,Crop,Ginger,hi
अदरक में 'खरपतवार' नियंत्रण के लिए 'मल्चिंग'?,अदरक में हरी पत्तियों या पुआल की भारी मल्चिंग नमी बचाने और खरपतवार रोकने के लिए श्रेष्ठ है।,Crop,Ginger,hi
अदरक की सिंचाई के लिए 'ड्रिप' और 'बाढ़' (Flood) में तुलना?,ड्रिप सिंचाई 50% पानी बचाती है और प्रकंदों के आकार को एक समान रखती है।,Crop,Ginger,hi
अदरक में 'एनपीके 19:19:19' का छिड़काव कब करें?,बुआई के 60 और 120 दिन बाद इसका स्प्रे पौधों को स्वस्थ रखता है।,Crop,Ginger,hi
अदरक की खुदाई के बाद 'खेत' की गहरी जुताई?,मिट्टी की संरचना सुधारने और कीटों को नष्ट करने के लिए गहरी जुताई जरूरी है।,Crop,Ginger,hi
अदरक में 'दीमक' के लिए 'नीम की खली'?,मिट्टी की तैयारी के समय 1-2 क्विंटल नीम खली प्रति एकड़ डालें।,Crop,Ginger,hi
अदरक की 'सुरुचि' किस्म की उपज?,यह प्रति एकड़ लगभग 80-100 क्विंटल ताजी अदरक की उपज दे सकती है।,Crop,Ginger,hi
अदरक में 'मैंगनीज' की कमी का कारण?,अत्यधिक बलुई मिट्टी या चूना युक्त मिट्टी में इसकी कमी देखी जा सकती है।,Crop,Ginger,hi
अदरक की 'सघन' खेती में 'हवा का संचार'?,पौधों के बीच पर्याप्त दूरी रखने से बीमारियां कम फैलती हैं।,Crop,Ginger,hi
अदरक में 'यूरिया' की अंतिम डोज कब दें?,खुदाई से कम से कम तीन महीने पहले खाद देना बंद कर देना चाहिए।,Crop,Ginger,hi
अदरक की खुदाई के बाद 'अचार' बनाना?,ताजी अदरक का उपयोग अचार और मुरब्बा बनाने में बहुत अधिक होता है।,Crop,Ginger,hi
अदरक में 'बोरॉन' की कमी से प्रकंदों का आकार?,प्रकंद टेढ़े-मेढ़े हो सकते हैं और उनकी त्वचा खुरदरी हो सकती है।,Crop,Ginger,hi
अदरक की 'पछेती' तुड़ाई में 'मुनाफा'?,देर से मिलने वाली ताजी अदरक बाजार में ऊँची कीमत दिला सकती है।,Crop,Ginger,hi
अदरक में 'खरपतवार' नियंत्रण के लिए 'हुइ'?,लाइनों के बीच छोटे यंत्रों से निराई करना अदरक के लिए प्रभावी है।,Crop,Ginger,hi
अदरक की 'मिट्टी' का पीएच 6.5?,यह अदरक के लिए सबसे आदर्श पीएच है जहाँ पोटाश और फास्फोरस आसानी से मिलते हैं।,Crop,Ginger,hi
अदरक में 'सिंचाई' के लिए 'सोलर पंप'?,बड़ी फसल होने के कारण सोलर पंप से लगातार सिंचाई करना बहुत ही किफायती है।,Crop,Ginger,hi
अदरक की खुदाई के बाद क्या मूंग संभव है?,"हाँ, अदरक के बाद जायद मूंग बोना मिट्टी की उर्वरता के लिए बहुत अच्छा है।",Crop,Ginger,hi
अदरक में 'जिंक' की कमी से फलों का स्वाद?,पोषक तत्वों की कमी से अदरक की सुगंध और औषधीय गुणों पर बुरा असर पड़ता है।,Crop,Ginger,hi
अदरक की 'शुष्क' खेती में सफलता?,मल्चिंग और ड्रिप सिंचाई का उपयोग ही शुष्क क्षेत्रों में अदरक उगाने का राज है।,Crop,Ginger,hi
अदरक में 'पोटाश' की कमी से 'शर्करा' संचय?,पोटाश कम होने पर अदरक का स्वाद फीका पड़ सकता है और वजन कम होता है।,Crop,Ginger,hi
अदरक के भंडारण में 'पारे' की गोली का खतरा?,"भूलकर भी प्रयोग न करें, यह स्वास्थ्य के लिए घातक है।",Crop,Ginger,hi
अदरक में 'यूरिया' की बचत के लिए 'नैनो यूरिया'?,नैनो यूरिया का स्प्रे पौधों की हरियाली और वृद्धि के लिए बहुत प्रभावी है।,Crop,Ginger,hi
अदरक की 'मृदा' की उर्वरता का राज?,भरपूर गोबर की खाद और संतुलित पोषक तत्वों का नियमित प्रयोग।,Crop,Ginger,hi
अदरक की सफल खेती के लिए विशेषज्ञों की अंतिम सलाह?,हमेशा नरम सड़न (Soft Rot) पर कड़ी नजर रखें और जल निकास का पूरा प्रबंध रखें।,Crop,Ginger,hi
अदरक में 'मृदा परीक्षण' की आवृत्ति?,हर साल एक बार मिट्टी की जांच करवाएं ताकि पोटाश और जिंक का सही स्तर पता रहे।,Crop,Ginger,hi
अदरक की 'जायद' बुआई के लाभ?,गर्मियों की शुरुआत में बुआई करने से फसल को बढ़ने का लंबा समय मिल जाता है।,Crop,Ginger,hi
अदरक में 'मैग्नीशियम' की पूर्ति?,मिट्टी में मैग्नीशियम सल्फेट डालकर या स्प्रे करके कमी पूरी करें।,Crop,Ginger,hi
अदरक की 'प्रूनिंग' नहीं की जाती?,"हाँ, अदरक में पौधों की छंटाई की जरूरत नहीं होती।",Crop,Ginger,hi
अदरक के भंडारण के लिए 'प्लास्टिक क्रेट्स'?,ताजी अदरक को सुरक्षित रखने और मंडी तक ले जाने के लिए क्रेट्स सबसे अच्छे हैं।,Crop,Ginger,hi
अदरक की खेती में 'सफलता' का सबसे बड़ा सूत्र?,सही किस्म का चुनाव + प्रकंद उपचार + भारी मल्चिंग ही असली सफलता है।,Crop,Ginger,hi
