Question,Answer,Category,Crop,Language
मशरूम की खेती का परिचय क्या है?,मशरूम (Fungi) एक पौष्टिक आहार है जिसे बंद कमरों में बिना धूप के उगाया जाता है। यह कम जगह और कम लागत में बंपर मुनाफा देने वाला व्यवसाय है।,Business,Mushroom,hi
भारत में किन मशरूमों की खेती अधिक होती है?,"मुख्य रूप से बटन (Button), ऑयस्टर (Drip/Dhingri) और मिल्की (Milky) मशरूम की खेती सबसे अधिक की जाती है।",Business,Mushroom,hi
बटन मशरूम के लिए उपयुक्त तापमान क्या है?,बटन मशरूम के विकास के लिए 18-22°C और फलन (Casing) के समय 14-18°C तापमान आदर्श है।,Business,Mushroom,hi
ऑयस्टर मशरूम (Oyster Mushroom) की क्या विशेषता है?,यह सबसे आसानी से उगने वाला मशरूम है। यह 20-30°C तापमान पर उग सकता है और इसके लिए बहुत कम तामझाम चाहिए।,Business,Mushroom,hi
मिल्की मशरूम (Milky Mushroom) कब उगाया जाता है?,यह गर्मियों का मशरूम है। यह 30-35°C तापमान पर बहुत अच्छी तरह विकसित होता है।,Business,Mushroom,hi
मशरूम उगाने के लिए 'सब्सट्रेट' (Substrate) क्या है?,"वह आधार जिस पर मशरूम उगता है, जैसे- गेहूं का भूसा, धान का पुआल या गन्ने की खोई।",Business,Mushroom,hi
भूसे को 'कीटाणु रहित' (Pasteurization) कैसे करें?,भूसे को उबलते पानी में 2 घंटे भिगोकर या 'फॉर्मेलिन और बाविस्टिन' के घोल में 12-18 घंटे डुबोकर उपचारित किया जाता है।,Business,Mushroom,hi
मशरूम का 'बीज' (Spawn) कहाँ से प्राप्त करें?,बीज हमेशा प्रमाणित प्रयोगशालाओं या कृषि विश्वविद्यालयों से ही खरीदें। ताज़ा बीज ही अच्छी उपज की गारंटी है।,Business,Mushroom,hi
'स्पॉनिंग' (Spawning) क्या है?,उपचारित भूसे में मशरूम के बीजों को मिलाने की प्रक्रिया को स्पॉनिंग कहा जाता है।,Business,Mushroom,hi
मशरूम के कमरों में 'आर्द्रता' (Humidity) कितनी हो?,कमरे में 80-90% नमी होनी चाहिए। इसके लिए दीवारों और फर्श पर पानी का छिड़काव किया जाता है।,Business,Mushroom,hi
'केसिंग' (Casing) मिट्टी क्या है?,बटन मशरूम में माइसीलियम फैलने के बाद उसके ऊपर सड़ी हुई गोबर की खाद और मिट्टी की परत चढ़ाना केसिंग कहलाता है।,Business,Mushroom,hi
मशरूम की तुड़ाई कब करें?,"जब मशरूम का ऊपरी हिस्सा (Cap) पूरी तरह खुल जाए लेकिन किनारों से मुड़े नहीं, तब उसे हल्के हाथ से घुमाकर तोड़ें।",Business,Mushroom,hi
मशरूम की औसत उपज कितनी होती है?,100 किग्रा सूखे भूसे से लगभग 15 से 20 किग्रा ताज़ा मशरूम प्राप्त किया जा सकता है।,Business,Mushroom,hi
मशरूम के स्वास्थ्य लाभ क्या हैं?,"यह विटामिन डी, बी-कॉम्प्लेक्स और प्रोटीन का बेहतरीन स्रोत है। यह वजन घटाने और शुगर के मरीजों के लिए बहुत अच्छा है।",Business,Mushroom,hi
मशरूम की खेती में सबसे बड़ी चुनौती?,कमरे के तापमान और आर्द्रता को नियंत्रित रखना और फफूंद/मक्खियों से बचाव।,Business,Mushroom,hi
मशरूम के भंडारण के तरीके?,ताज़ा मशरूम 2-3 दिन तक फ्रिज में सुरक्षित रहता है। इसे सुखाकर या पाउडर बनाकर लंबे समय तक रखा जा सकता है।,Business,Mushroom,hi
मशरूम की मार्केटिंग कैसे करें?,"इसे सीधे स्थानीय होटलों, रेस्टोरेंट्स या शहरों की मंडियों में ताज़ा बेचा जा सकता है।",Business,Mushroom,hi
क्या मशरूम की खेती के लिए सरकारी सब्सिडी मिलती है?,"हाँ, 'राष्ट्रीय बागवानी मिशन' के तहत मशरूम यूनिट लगाने और ट्रेनिंग के लिए 40-50% तक अनुदान मिलता है।",Business,Mushroom,hi
मशरूम में 'हरा फफूंद' (Green Mold) का उपचार?,प्रभावित हिस्से को तुरंत हटा दें और वहां चूने या फॉर्मेलिन का हल्का छिड़काव करें।,Business,Mushroom,hi
मशरूम की खेती शुरू करने के लिए ट्रेनिंग कहाँ से लें?,"बिहार में डॉ. राजेंद्र प्रसाद केंद्रीय कृषि विश्वविद्यालय, पूसा और जिला KVK में मशरूम ट्रेनिंग दी जाती है।",Business,Mushroom,hi
भूसे में 'नमी' की जांच कैसे करें?,भूसे को मुट्ठी में दबाने पर पानी की बूंदें न गिरें लेकिन हाथ गीला हो जाए (लगभग 65% नमी)।,Business,Mushroom,hi
मशरूम के कमरों में 'वेंटिलेशन'?,"मशरूम को ताजी हवा चाहिए, इसलिए सुबह और शाम को 15-20 मिनट के लिए कमरे की खिड़कियाँ खोलनी चाहिए।",Business,Mushroom,hi
'माइसीलियम' (Mycelium) क्या है?,यह मशरूम की जड़ों की तरह सफेद जाला होता है जो भूसे पर फैलता है। इसे 'कवक जाल' भी कहते हैं।,Business,Mushroom,hi
मशरूम की खेती में 'मजदूरी' की बचत?,"चूंकि यह काम घर के अंदर होता है, इसलिए परिवार के सदस्य मिलकर इसे आसानी से कर सकते हैं।",Business,Mushroom,hi
मशरूम को 'अंधेरे' की जरूरत क्यों है?,"मशरूम को बढ़ने के लिए धूप की जरूरत नहीं होती, अंधेरे में यह अधिक तेजी से और सफेद रंग का बनता है।",Business,Mushroom,hi
क्या मशरूम की खेती 'भूमिहीन' किसानों के लिए अच्छी है?,"हाँ, जिनके पास जमीन नहीं है वे छोटे से कमरे या झोपड़ी में मशरूम उगाकर अच्छी आय कमा सकते हैं।",Business,Mushroom,hi
'सूखा मशरूम' (Dry Mushroom) बेचने के फायदे?,सूखे मशरूम की कीमत ताजे से 10 गुना अधिक होती है और इसे साल भर बेचा जा सकता है।,Business,Mushroom,hi
मशरूम में 'पिंक मोल्ड' (Pink Mold) बीमारी?,यह अधिक नमी और खराब वेंटिलेशन के कारण होती है। कमरे की साफ-सफाई और हवा का ध्यान रखें।,Business,Mushroom,hi
मशरूम के 'बैग' (Bags) का चुनाव?,ऑयस्टर के लिए 12 x 18 इंच के पारदर्शी प्लास्टिक बैग सबसे अच्छे होते हैं।,Business,Mushroom,hi
मशरूम की खेती में 'पीएच' (pH) का महत्व?,"सब्सट्रेट का पीएच 7.0 से 7.5 के बीच होना चाहिए, इसके लिए भूसे में थोड़ा चूना मिलाया जा सकता है।",Business,Mushroom,hi
क्या मशरूम से 'मूल्य संवर्धन' (Value Addition) संभव है?,"हाँ, मशरूम का अचार, पापड़, सूप पाउडर और कुकीज बनाकर बहुत अधिक लाभ कमाया जा सकता है।",Business,Mushroom,hi
मशरूम की खेती में 'स्वच्छता' का महत्व?,कमरे में घुसने से पहले हाथ-पैर धोना और कीटाणुनाशक का उपयोग करना संक्रमण रोकने के लिए अनिवार्य है।,Business,Mushroom,hi
ऑयस्टर मशरूम की तुड़ाई का अंतराल?,पहली तुड़ाई के 10-15 दिन बाद दूसरी और फिर तीसरी फसल (Flush) ली जा सकती है।,Business,Mushroom,hi
मशरूम के बीजों (Spawn) की शेल्फ लाइफ?,"ताज़ा बीज 15-20 दिन तक फ्रिज में रखे जा सकते हैं, इससे अधिक पुराने बीज उपयोग न करें।",Business,Mushroom,hi
मशरूम के कमरों के लिए 'बांस की झोपड़ी'?,बांस और पुआल की झोपड़ी मशरूम के लिए सबसे अच्छी है क्योंकि यह प्राकृतिक रूप से ठंडी रहती है।,Business,Mushroom,hi
मशरूम की खेती में 'पानी का छिड़काव'?,"हमेशा 'स्प्रेयर' की मदद से बारीक फुहार करें, सीधे बाल्टी से पानी कभी न डालें।",Business,Mushroom,hi
क्या मशरूम की खेती 'महिलाओं' के लिए स्वरोजगार है?,"हाँ, ग्रामीण महिलाओं के लिए यह सबसे सफल और सम्मानजनक आय का जरिया बन चुका है।",Business,Mushroom,hi
