Question,Answer,Category,Crop,Language
लीची की खेती का परिचय क्या है?,"लीची (Litchi chinensis) एक अत्यंत लोकप्रिय और स्वादिष्ट उपोष्णकटिबंधीय फल है। बिहार, विशेष रूप से मुजफ्फरपुर, लीची उत्पादन में दुनिया भर में प्रसिद्ध है।",Crop,Litchi,hi
लीची के लिए उपयुक्त जलवायु?,लीची के लिए आर्द्र गर्मी और मध्यम ठंडी जलवायु अच्छी है। फल पकते समय शुष्क हवा (लू) लीची की सबसे बड़ी शत्रु है।,Crop,Litchi,hi
लीची के पौधे लगाने का सही समय?,बिहार में लीची लगाने का सबसे अच्छा समय मानसून की शुरुआत (जून-जुलाई) या अगस्त-सितंबर है।,Crop,Litchi,hi
लीची के लिए कैसी मिट्टी सबसे अच्छी है?,"गहरी, उपजाऊ और अच्छी जल निकासी वाली दोमट मिट्टी जिसमें चूने (Lime) की मात्रा हो, लीची के लिए श्रेष्ठ है।",Crop,Litchi,hi
लीची के पौधे कैसे तैयार किए जाते हैं?,लीची मुख्य रूप से 'गुटी' (Air Layering) विधि द्वारा तैयार की जाती है। बीज से उगे पौधे फल देने में बहुत समय लेते हैं।,Crop,Litchi,hi
लीची के लिए गढ्ढे (Pits) कैसे तैयार करें?,"1 x 1 x 1 मीटर के गढ्ढे खोदें, उन्हें 15 दिन धूप दिखाएं और फिर गोबर की खाद, मिट्टी व कवकनाशी के मिश्रण से भरें।",Crop,Litchi,hi
लीची में खाद और उर्वरक की मात्रा?,"पूर्ण विकसित पेड़ (15+ साल) को 100 किग्रा गोबर की खाद, 1 किग्रा नाइट्रोजन, 0.5 किग्रा फास्फोरस और 0.5 किग्रा पोटाश की जरूरत होती है।",Crop,Litchi,hi
लीची में 'पोटाश' का क्या महत्व है?,"पोटाश फलों के आकार, रंग और मिठास को बढ़ाने के साथ-साथ पेड़ों को रोगों से लड़ने की शक्ति देता है।",Crop,Litchi,hi
लीची में सिंचाई का सही तरीका?,लीची को फल लगने (मार्च-अप्रैल) के समय नियमित सिंचाई की जरूरत होती है। नमी की कमी से फल फटने लगते हैं।,Crop,Litchi,hi
लीची का 'फल फटना' (Fruit Cracking) क्यों होता है?,"यह अप्रैल-मई में चलने वाली तेज लू, मिट्टी में नमी की कमी और बोरॉन (Boron) पोषक तत्व की कमी के कारण होता है।",Crop,Litchi,hi
फल फटने से बचाव के उपाय?,"नियमित सिंचाई करें, बाग के चारों ओर वायु-अवरोधक पेड़ लगाएं और 0.2% बोरॉन का छिड़काव फल बनते समय करें।",Crop,Litchi,hi
लीची का 'माइट' (Litchi Mite) कीट?,यह कीट पत्तियों को नीचे की ओर मोड़ देता है और उन पर मखमली भूरे रंग की परत (Erinose) बन जाती है। प्रभावित पत्तियों को काटकर जला दें।,Crop,Litchi,hi
लीची का 'फल छेदक' (Fruit Borer) कीट?,यह कीट फल के डंठल के पास छेद करके अंदर घुस जाता है। इसके नियंत्रण के लिए फल लगने के समय नीम तेल या अनुशंसित कीटनाशक का छिड़काव करें।,Crop,Litchi,hi
लीची की कटाई कब करें?,जब फलों का रंग गहरा लाल हो जाए और उनकी त्वचा के ऊपर के उभार (Tubercles) चपटे हो जाएं।,Crop,Litchi,hi
लीची की औसत उपज कितनी होती है?,एक पूर्ण विकसित पेड़ से 80 से 150 किग्रा तक फल प्राप्त किए जा सकते हैं।,Crop,Litchi,hi
लीची की प्रमुख उन्नत किस्में?,बिहार के लिए 'शाही' (अगेती और सुगंधित) और 'चाइना' (पछेती और बड़े फल) सबसे प्रसिद्ध किस्में हैं।,Crop,Litchi,hi
लीची के भंडारण और पैकेजिंग?,लीची बहुत जल्दी खराब होने वाला फल है। इसे ठंडे स्थान पर रखें और जालीदार क्रेट्स में पैक करके जल्दी बाजार पहुँचाएं।,Crop,Litchi,hi
लीची की खेती में 'मिट्टी चढ़ाना' और गोड़ाई?,पेड़ के चारों ओर 'थाला' (Basin) साफ रखें और साल में दो बार (बरसात से पहले और बाद में) गोड़ाई करें।,Crop,Litchi,hi
लीची के बाग में 'अंतःफसल' (Intercropping)?,"शुरुआती 6-7 साल जब तक पेड़ बड़े न हों, बीच की जगह में दलहन या सब्जियां उगाई जा सकती हैं।",Crop,Litchi,hi
लीची में 'जिंक सल्फेट' का लाभ?,जिंक की कमी से नई पत्तियां छोटी रह जाती हैं। 0.5% जिंक सल्फेट का स्प्रे पत्तियों को स्वस्थ रखता है।,Crop,Litchi,hi
लीची की खेती में सबसे बड़ी चुनौती?,"लू (Heat wave), फल फटना और फल छेदक कीट का समय पर प्रबंधन न होना।",Crop,Litchi,hi
लीची के 'गुटी' (Air Layering) पौधों की रोपाई?,रोपाई के समय ध्यान रखें कि मिट्टी की गेंद (Earth ball) न टूटे और पौधे को सीधा लगाएं।,Crop,Litchi,hi
क्या मुजफ्फरपुर की लीची को 'जीआई टैग' (GI Tag) मिला है?,"हाँ, मुजफ्फरपुर की 'शाही लीची' को इसकी विशिष्ट गुणवत्ता के लिए भौगोलिक संकेत (GI Tag) प्राप्त है।",Crop,Litchi,hi
लीची की खेती शुरू करने वाले किसानों के लिए सलाह?,हमेशा अच्छी और प्रमाणित नर्सरी से ही 'गुटी' तैयार पौधे खरीदें और सिंचाई का पुख्ता प्रबंध रखें।,Crop,Litchi,hi
शाही लीची और चाइना लीची में क्या अंतर है?,"शाही लीची अधिक सुगंधित और रसीली होती है और जल्दी पकती है, जबकि चाइना के फल बड़े होते हैं और देर से पकते हैं।",Crop,Litchi,hi
लीची में 'जैव-उर्वरक' (Bio-fertilizer) का उपयोग?,माइकोराइजा (Mycorrhiza) लीची की जड़ों के विकास और फास्फोरस सोखने में बहुत मदद करता है।,Crop,Litchi,hi
लीची के बाग में 'मधुमक्खी पालन' के लाभ?,मधुमक्खियाँ लीची में परागण को बढ़ावा देती हैं जिससे फल अधिक लगते हैं और किसान को शुद्ध लीची शहद भी मिलता है।,Crop,Litchi,hi
लीची में 'नत्रजन' (Nitrogen) की अधिकता से नुकसान?,पेड़ की वानस्पतिक वृद्धि बहुत ज्यादा हो जाती है लेकिन फल कम लगते हैं।,Crop,Litchi,hi
लीची की खेती में 'पोटाश' की टॉप ड्रेसिंग कब करें?,फूल आने से एक महीना पहले और फल बनने के समय पोटाश देना बहुत प्रभावी होता है।,Crop,Litchi,hi
लीची के 'अवशेषों' (सूखी पत्तियों) का उपयोग?,"पत्तियों को पेड़ के नीचे बिछाकर मल्चिंग (Mulching) करें, इससे नमी बनी रहती है और खरपतवार कम होते हैं।",Crop,Litchi,hi
लीची में 'मैग्नीशियम' की कमी के लक्षण?,पत्तियों के किनारों पर कत्थई धब्बे दिखाई देते हैं और फल पकने से पहले गिर सकते हैं।,Crop,Litchi,hi
लीची की 'बेदाना' किस्म की क्या खासियत है?,"इस किस्म के फल में बीज बहुत छोटा या न के बराबर होता है, इसलिए इसे 'बेदाना' कहा जाता है।",Crop,Litchi,hi
लीची में 'फास्फोरस' का महत्व?,"जड़ों के विकास और फूलों की संख्या बढ़ाने के लिए फास्फोरस जरूरी है, इसे मानसून के बाद दें।",Crop,Litchi,hi
लीची की कटाई के समय 'डंठल' के साथ पत्तियों को क्यों छोड़ते हैं?,पत्तियां फलों को ताजा रखने में मदद करती हैं और परिवहन के समय उन्हें चोट से बचाती हैं।,Crop,Litchi,hi
लीची में 'बोरोन' का छिड़काव कब करें?,फल लगने की शुरुआती अवस्था में 2 ग्राम बोरेक्स प्रति लीटर पानी में मिलाकर छिड़काव करें।,Crop,Litchi,hi
लीची की 'मृदा' का पीएच मान?,7.0 से 8.0 के बीच का पीएच लीची के लिए अच्छा है क्योंकि यह चूना युक्त मिट्टी पसंद करती है।,Crop,Litchi,hi
लीची में 'आयरन' (लोहा) की कमी?,नई पत्तियां पूरी तरह पीली पड़ जाती हैं। 0.5% फेरस सल्फेट का स्प्रे करें।,Crop,Litchi,hi
लीची की फसल में 'लू' (Loo) से बचाव?,अप्रैल-मई में शाम के समय बाग की सिंचाई करें और उत्तर-पश्चिम दिशा में ऊंचे पेड़ों की बाड़ (Windbreak) लगाएं।,Crop,Litchi,hi
लीची की 'पेड़ी' फसल नहीं ली जाती?,"हाँ, लीची एक बहुवर्षीय पेड़ है, इसमें पेड़ी फसल नहीं होती।",Crop,Litchi,hi
लीची में 'यूरिया' की मात्रा पेड़ की उम्र के अनुसार?,"जैसे-जैसे पेड़ की उम्र बढ़ती है, नाइट्रोजन और अन्य खादों की मात्रा धीरे-धीरे बढ़ानी चाहिए।",Crop,Litchi,hi
लीची के भंडारण में 'नमी'?,फलों को पकने के बाद ठंडे पानी से धोकर नमी बनाए रखने से वे अधिक समय तक ताजे रहते हैं।,Crop,Litchi,hi
लीची की 'शाही' किस्म का औसत वजन?,एक फल का वजन 20 से 25 ग्राम के बीच होता है।,Crop,Litchi,hi
लीची में 'सफेद मक्खी' का नियंत्रण?,नीम तेल या अनुशंसित कीटनाशक का छिड़काव पत्तियों के नीचे करें।,Crop,Litchi,hi
लीची की खेती में 'नर्सरी' में गुटी तैयार करना?,स्वस्थ टहनी पर छिलका हटाकर वहां मिट्टी और मांस घास (Moss grass) बांधकर गुटी बनाई जाती है।,Crop,Litchi,hi
लीची के फलों को 'लाल' बनाने के लिए पोटाश?,फल पकते समय पोटाश का उचित प्रयोग छिलके के लाल रंग और चमक को बढ़ाता है।,Crop,Litchi,hi
लीची की खेती में 'मजदूरी' कम करने के तरीके?,सिंचाई के लिए ड्रिप सिस्टम और बाग की सफाई के लिए मशीनी यंत्रों का उपयोग करें।,Crop,Litchi,hi
लीची के 'गुटी' पौधों में जड़ न आने का कारण?,कलम बांधते समय नमी की कमी या सही समय (बरसात) का चुनाव न करना।,Crop,Litchi,hi
लीची की खेती के लिए सरकारी सब्सिडी?,"नए बाग लगाने, ड्रिप सिंचाई और कोल्ड स्टोरेज बनाने पर सरकार अनुदान प्रदान करती है।",Crop,Litchi,hi
लीची में 'पाउडर' जैसा धब्बा (Powdery Mildew)?,फूलों और फलों पर सफेद पाउडर जैसा जमाव। घुलनशील सल्फर का छिड़काव करें।,Crop,Litchi,hi
लीची की 'सघन' बागवानी (High Density Planting)?,5 x 5 मीटर की दूरी पर पौधे लगाकर प्रति एकड़ पेड़ों की संख्या और उपज बढ़ाई जा सकती है।,Crop,Litchi,hi
लीची में 'सिंचाई' का अंतराल फल पकते समय?,फल पकते समय हर 4-5 दिन में हल्की सिंचाई करना फल फटने से बचाने के लिए जरूरी है।,Crop,Litchi,hi
लीची की कटाई के बाद 'टहनियों' की छंटाई (Pruning)?,फल तोड़ने के बाद सूखी और बीमारी वाली टहनियों को काटना अगले साल की अच्छी उपज के लिए जरूरी है।,Crop,Litchi,hi
लीची में 'जिंक' की कमी से फलों का विकास?,फल छोटे रह जाते हैं और उनकी मिठास कम हो जाती है।,Crop,Litchi,hi
लीची की 'अगेती' कटाई के लाभ?,शाही लीची अगेती होने के कारण बाजार में सबसे पहले पहुँचती है और बहुत ऊँची कीमत दिलाती है।,Crop,Litchi,hi
लीची में 'पोटाश' की मात्रा मिट्टी परीक्षण के आधार पर?,रिपोर्ट के अनुसार ही पोटाश डालें ताकि फलों का वजन और चमक सही मिले।,Crop,Litchi,hi
लीची के बाग में 'चूहों' और 'नेवलों' का प्रबंधन?,"ये जमीन के पास लगे फलों को नुकसान पहुँचा सकते हैं, थालों की सफाई रखें।",Crop,Litchi,hi
