Question,Answer,Category,Crop,Language
कृषि तकनीक (Agri Tech) क्या है?,"खेती के कार्यों को आसान, सटीक और अधिक मुनाफे वाला बनाने के लिए आधुनिक विज्ञान और उपकरणों का उपयोग कृषि तकनीक है।",General,Agri Tech,hi
'ड्रोन' (Drone) का कृषि में क्या उपयोग है?,"दवाओं का छिड़काव, फसल की निगरानी, मिट्टी का विश्लेषण और नुकसान का सटीक अंदाजा लगाने में ड्रोन बहुत उपयोगी है।",General,Agri Tech,hi
'सेंसर' (Sensors) खेती में कैसे मदद करते हैं?,"सेंसर मिट्टी की नमी, तापमान और पोषक तत्वों की जानकारी सीधे किसान के मोबाइल पर भेज सकते हैं।",General,Agri Tech,hi
'स्मार्ट सिंचाई' (Smart Irrigation) क्या है?,"ऐसी तकनीक जो पौधों की जरूरत के अनुसार अपने आप मोटर चलाती और बंद करती है, जिससे पानी की भारी बचत होती है।",General,Agri Tech,hi
'जीपीएस' (GPS) का ट्रैक्टर में क्या लाभ है?,"जीपीएस से ट्रैक्टर खेत में बिल्कुल सीधी लाइनों में चलता है, जिससे बुआई और जुताई में कोई जगह खाली नहीं छूटती।",General,Agri Tech,hi
'रिमोट सेंसिंग' (Remote Sensing) क्या है?,उपग्रह (Satellite) के जरिए फसलों की सेहत और क्षेत्रफल का अंदाजा लगाना ही रिमोट सेंसिंग है।,General,Agri Tech,hi
'एआई' (AI) कृषि में कैसे काम आता है?,आर्टिफिशियल इंटेलिजेंस फोटो देखकर बीमारियों की पहचान करने और भविष्य की पैदावार का सटीक अनुमान लगाने में मदद करता है।,General,Agri Tech,hi
'मोबाइल ऐप्स' का किसानों के लिए महत्व?,"ऐप्स के जरिए किसान मौसम, मंडी भाव, सरकारी योजनाओं और वैज्ञानिक सलाह की जानकारी तुरंत प्राप्त कर सकते हैं।",General,Agri Tech,hi
'ब्लॉकचेन' (Blockchain) तकनीक का कृषि में उपयोग?,उत्पादों की शुद्धता और उनकी यात्रा (खेत से दुकान तक) का पारदर्शी रिकॉर्ड रखने के लिए इसका उपयोग होता है।,General,Agri Tech,hi
'वर्टिकल फार्मिंग' में ऑटोमेशन के लाभ?,"कंप्यूटर द्वारा रोशनी, पानी और खाद को नियंत्रित करने से कम जगह में साल भर बंपर पैदावार ली जा सकती है।",General,Agri Tech,hi
'हाइड्रोपोनिक्स' (Hydroponics) में तकनीक की भूमिका?,पानी के बहाव और पीएच स्तर को सेंसर द्वारा नियंत्रित करना ही हाइड्रोपोनिक्स की सफलता का राज है।,General,Agri Tech,hi
'सॉयल टेस्टिंग डिजिटल किट' क्या है?,हाथ में पकड़ने वाली छोटी मशीन जो मात्र 5-10 मिनट में मिट्टी के मुख्य पोषक तत्वों की जांच कर देती है।,General,Agri Tech,hi
'ऑटोमेटिक वेदर स्टेशन' (Weather Station) के फायदे?,"यह किसान के अपने खेत के तापमान, हवा की गति और वर्षा का सटीक डेटा प्रदान करता है।",General,Agri Tech,hi
'लेजर लैंड लेवलर' का तकनीकी लाभ?,यह पूरी तरह से लेजर किरणों आधारित मशीन है जो खेत को समतल करने में इंसानी गलती की संभावना खत्म कर देती है।,General,Agri Tech,hi
'नैनो यूरिया' एक आधुनिक तकनीक कैसे है?,"यह पारंपरिक यूरिया के बैग्स के बजाय छोटे कणों (Nano particles) के रूप में काम करता है, जो सीधे पत्तियों द्वारा सोख लिए जाते हैं।",General,Agri Tech,hi
'फार्मर आईडी' (Digital Agri ID) क्या है?,किसानों का एक डिजिटल डेटाबेस जिससे उन्हें सरकारी योजनाओं का लाभ सीधे और बिना कागजी कार्यवाही के मिल सके।,General,Agri Tech,hi
'एग्री-क्लीनिक' में टेली-कंसल्टेशन?,वीडियो कॉल के जरिए कृषि वैज्ञानिकों से बात करके अपनी फसल की समस्याओं का समाधान पाना।,General,Agri Tech,hi
