Question,Answer,Category,Crop,Language
एकीकृत कीट प्रबंधन (IPM) क्या है?,"कीटों और रोगों को नियंत्रित करने के लिए केवल रसायनों पर निर्भर न रहकर भौतिक, सांस्कृतिक, जैविक और रासायनिक विधियों का एक साथ संतुलित प्रयोग करना ही IPM है।",Plant Protection,Ipm,hi
IPM का मुख्य उद्देश्य क्या है?,"खेत की लागत कम करना, पर्यावरण को बचाना, कीटों में प्रतिरोध रोकना और सुरक्षित व स्वस्थ पैदावार प्राप्त करना।",Plant Protection,Ipm,hi
आर्थिक नुकसान स्तर (ETL) क्या है?,वह अवस्था जब कीटों की संख्या इतनी बढ़ जाए कि उनसे होने वाला नुकसान दवा के खर्च से अधिक हो। दवा तभी छिड़कनी चाहिए जब कीट ETL पार करें।,Plant Protection,Ipm,hi
सांस्कृतिक नियंत्रण (Cultural Control) क्या है?,"खेती के तरीकों में बदलाव करके कीटों को रोकना, जैसे- समय पर बुआई, फसल चक्र और संतुलित खाद का प्रयोग।",Plant Protection,Ipm,hi
भौतिक नियंत्रण (Physical Control) क्या है?,"कीटों को हाथों से पकड़कर मारना, जाली लगाना या गर्मी/ठंड का उपयोग करके उन्हें नष्ट करना।",Plant Protection,Ipm,hi
IPM में 'कीट निगरानी' (Pest Monitoring) क्यों जरूरी है?,ताकि किसान को समय पर पता चल सके कि कौन सा कीट खेत में आ रहा है और उसकी संख्या कितनी है।,Plant Protection,Ipm,hi
फेरोमोन ट्रैप निगरानी में कैसे मदद करते हैं?,"ये खेत में कीटों की शुरुआती मौजूदगी का संकेत देते हैं, जिससे किसान समय पर सतर्क हो सकते हैं।",Plant Protection,Ipm,hi
IPM में रसायनों का स्थान क्या है?,IPM में रासायनिक कीटनाशकों का प्रयोग सबसे अंत में और केवल तभी किया जाता है जब अन्य सभी विधियां विफल हो जाएं।,Plant Protection,Ipm,hi
संतुलित उर्वरक प्रयोग (Balanced Fertilization) कीटों को कैसे रोकता है?,अधिक नाइट्रोजन से पौधे कोमल हो जाते हैं जिससे कीट जल्दी हमला करते हैं। संतुलित खाद से पौधा मजबूत बनता है।,Plant Protection,Ipm,hi
IPM में 'फसल चक्र' (Crop Rotation) का लाभ?,लगातार एक ही फसल न उगाने से उस फसल के विशिष्ट कीटों का भोजन चक्र टूट जाता है और वे मर जाते हैं।,Plant Protection,Ipm,hi
गहरी जुताई (Summer Ploughing) IPM में कैसे सहायक है?,"गर्मियों में गहरी जुताई से मिट्टी के अंदर छिपे कीटों के अंडे, प्यूपा और बीमारियां बाहर निकलकर धूप से नष्ट हो जाते हैं।",Plant Protection,Ipm,hi
ट्रैप क्रॉप (Trap Crop) का उदाहरण?,टमाटर के चारों ओर गेंदा लगाना या कपास के चारों ओर भिंडी लगाना ताकि कीट मुख्य फसल के बजाय ट्रैप क्रॉप पर जाएं।,Plant Protection,Ipm,hi
