Question,Answer,Category,Crop,Language
मटर की खेती का परिचय क्या है?,मटर (Pisum sativum) रबी मौसम की एक प्रमुख दलहनी और सब्जी फसल है। यह प्रोटीन और विटामिन का अच्छा स्रोत है और मिट्टी की उर्वरता बढ़ाती है।,Crop,Pea,hi
मटर के लिए उपयुक्त जलवायु?,मटर के लिए ठंडी और शुष्क जलवायु अच्छी है। 15-20°C तापमान इसके विकास और फलियों के भराव के लिए आदर्श है।,Crop,Pea,hi
मटर की बुआई का सही समय?,बिहार में मटर की बुआई 15 अक्टूबर से 15 नवंबर तक कर लेनी चाहिए। अगेती बुआई सितंबर के अंत में भी की जा सकती है।,Crop,Pea,hi
मटर की प्रति एकड़ बीज दर?,अगेती किस्मों के लिए 40-50 किग्रा और मध्यम/पछेती किस्मों के लिए 30-35 किग्रा प्रति एकड़ बीज पर्याप्त है।,Crop,Pea,hi
मटर के बीजों का उपचार (Seed Treatment) क्यों जरूरी है?,"मटर में उकठा (Wilt) और जड़ सड़न की समस्या अधिक होती है, इसलिए बीज को ट्राइकोडर्मा या कार्बेन्डाजिम से उपचारित करना अनिवार्य है।",Crop,Pea,hi
राइजोबियम कल्चर (Rhizobium) का मटर में क्या लाभ है?,"यह जड़ों में गांठें बनाकर हवा से नाइट्रोजन सोखने में मदद करता है, जिससे यूरिया की जरूरत कम होती है।",Crop,Pea,hi
मटर की बुआई की विधि क्या है?,मटर की बुआई पंक्तियों में करनी चाहिए। पंक्ति से पंक्ति की दूरी 30 सेमी और बीज से बीज की दूरी 5-7 सेमी रखें।,Crop,Pea,hi
मटर के लिए कैसी मिट्टी सबसे अच्छी है?,"अच्छी जल निकासी वाली उपजाऊ दोमट मिट्टी जिसका पीएच 6.5 से 7.5 हो, मटर के लिए श्रेष्ठ है।",Crop,Pea,hi
मटर में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 15-20 किग्रा नाइट्रोजन, 40-50 किग्रा फास्फोरस और 20 किग्रा पोटाश की आवश्यकता होती है।",Crop,Pea,hi
मटर में पोटाश का क्या महत्व है?,"पोटाश फलियों के भराव, दानों की मिठास और पौधों को ठंड व रोगों से बचाने के लिए बहुत जरूरी है।",Crop,Pea,hi
मटर में सिंचाई का सही तरीका?,मटर में 2-3 हल्की सिंचाई काफी होती है। फूल आने और फलियां बनते समय नमी की कमी नहीं होनी चाहिए।,Crop,Pea,hi
मटर का 'उकठा' (Wilt) रोग क्या है?,इसमें पौधा अचानक सूख जाता है और जड़ें काली पड़ जाती हैं। यह फफूंद के कारण होता है। बीज उपचार ही मुख्य बचाव है।,Crop,Pea,hi
मटर में 'चूर्णी फफूंद' (Powdery Mildew) रोग?,पत्तियों और फलियों पर सफेद पाउडर जैसा जमाव। इसे रोकने के लिए घुलनशील सल्फर (0.2%) का छिड़काव करें।,Crop,Pea,hi
मटर का 'फली छेदक' (Pod Borer) कीट?,यह इल्ली फलियों में छेद करके दानों को खा जाती है। इसके नियंत्रण के लिए नीम तेल या इमामेक्टिन बेंजोएट का प्रयोग करें।,Crop,Pea,hi
मटर की कटाई (तुड़ाई) कब करें?,सब्जी के लिए जब फलियाँ पूरी तरह भर जाएं और दाने कोमल व मीठे हों। दाने के लिए जब फलियां पूरी तरह सूख जाएं।,Crop,Pea,hi
मटर की औसत उपज कितनी होती है?,उन्नत किस्मों से 40 से 60 क्विंटल हरी फलियां प्रति एकड़ प्राप्त की जा सकती हैं।,Crop,Pea,hi
मटर की प्रमुख उन्नत किस्में?,"बिहार के लिए अर्कल (अगेती), बोनविले, आज़ाद पी-1, और काशी नंदिनी अच्छी किस्में हैं।",Crop,Pea,hi
मटर के भंडारण और पैकेजिंग?,हरी मटर को जालीदार बोरों या क्रेट्स में पैक करें। दानों को सुखाकर एयर-टाइट बैग्स में रखें।,Crop,Pea,hi
मटर की खेती में 'निराई-गुड़ाई'?,बुआई के 20-25 दिन बाद एक हल्की निराई करना खरपतवार नियंत्रण और जड़ों के विकास के लिए जरूरी है।,Crop,Pea,hi
मटर के साथ 'अंतःफसल' (Intercropping)?,मटर को गन्ने या आलू के साथ अंतर-फसल के रूप में बहुत सफलतापूर्वक उगाया जा सकता है।,Crop,Pea,hi
मटर में 'जिंक सल्फेट' का लाभ?,जिंक की कमी से पौधों की वृद्धि रुक जाती है। 0.5% जिंक सल्फेट का स्प्रे पत्तियों को स्वस्थ रखता है।,Crop,Pea,hi
मटर की खेती में सबसे बड़ी चुनौती?,उकठा (Wilt) रोग का प्रबंधन और फलियां बनते समय पाले (Frost) का प्रकोप।,Crop,Pea,hi
क्या बिहार में मटर की खेती सफल है?,"हाँ, बिहार के मैदानी इलाकों में मटर की बहुत लाभदायक और बड़े पैमाने पर खेती की जाती है।",Crop,Pea,hi
