Question,Answer,Category,Crop,Language
कृषि में 'बहुफसली' (Multi-cropping) खेती क्या है?,एक ही खेत में एक वर्ष के अंदर दो या दो से अधिक फसलें उगाना बहुफसली खेती कहलाती है।,General,General,hi
'मिश्रित खेती' (Mixed Farming) के क्या लाभ हैं?,"फसलों के साथ पशुपालन, मुर्गी पालन या मछली पालन करना जोखिम को कम करता है और आय बढ़ाता है।",General,General,hi
'Relay Cropping' क्या है?,पहली फसल कटने से ठीक पहले दूसरी फसल बो देना (जैसे- धान कटने से पहले तीवरा या मसूर बोना)।,General,General,hi
मिट्टी की 'कठोर परत' (Hard Pan) को कैसे तोड़ें?,2-3 साल में एक बार 'चीजल हल' (Chisel Plough) से गहरी जुताई करके इस परत को तोड़ा जा सकता है।,General,General,hi
'वर्टीकल फार्मिंग' (Vertical Farming) क्या है?,शहरों में कम जगह में एक के ऊपर एक रैक बनाकर नियंत्रित वातावरण में सब्जियां उगाना।,General,General,hi
'हाइड्रोपोनिक्स' (Hydroponics) में मिट्टी की जरूरत क्यों नहीं होती?,क्योंकि इसमें पौधों को आवश्यक पोषक तत्व सीधे पानी के घोल के माध्यम से दिए जाते हैं।,General,General,hi
'एरोपोपोनिक्स' (Aeroponics) क्या है?,पौधों को हवा में लटकाकर उनकी जड़ों पर पोषक तत्वों की फुहार (Mist) करके उगाना।,General,General,hi
'जीरो टिलेज' (Zero Tillage) से पर्यावरण को क्या लाभ है?,"इससे मिट्टी की संरचना बनी रहती है, डीजल की बचत होती है और कार्बन उत्सर्जन कम होता है।",General,General,hi
'संवर्धित कृषि' (Conservation Agriculture) के तीन मुख्य सिद्धांत?,"न्यूनतम जुताई, मिट्टी को फसल अवशेषों से ढकना और विविध फसल चक्र अपनाना।",General,General,hi
'कार्बनिक खेती' और 'जैविक खेती' में क्या अंतर है?,"दोनों का उद्देश्य रसायनों से मुक्त खेती है, लेकिन 'जैविक' में पूर्ण प्रमाणन और मानकों का पालन अनिवार्य है।",General,General,hi
'एकीकृत कृषि प्रणाली' (IFS) क्या है?,खेत के संसाधनों का इस तरह उपयोग करना कि एक इकाई का कचरा (जैसे- गोबर) दूसरी इकाई (जैसे- खाद) के काम आए।,General,General,hi
'शुष्क भूमि खेती' (Dryland Farming) में जल संचयन तकनीक?,"खेत में मेड़बंदी, ढलान के विपरीत जुताई और छोटे तालाब बनाना नमी संचयन के तरीके हैं।",General,General,hi
'किचन गार्डन' (Kitchen Garden) का महत्व?,"परिवार को ताजा, जहर मुक्त और पौष्टिक सब्जियां घर के पीछे की खाली जगह में उगाकर प्राप्त करना।",General,General,hi
'शहरी खेती' (Urban Farming) में छत पर बागवानी (Terrace Gardening)?,छत पर गमलों या ग्रो-बैग्स में अपनी जरूरत की सब्जियां उगाना।,General,General,hi
'माइकोराइजा' (Mycorrhiza) क्या है?,एक मित्र फफूंद जो पौधों की जड़ों के साथ मिलकर मिट्टी से फास्फोरस और पानी सोखने में मदद करती है।,General,General,hi
