Question,Answer,Category,Crop,Language
आम की खेती का परिचय क्या है?,आम (Mangifera indica) भारत का राष्ट्रीय फल है और इसे 'फलों का राजा' कहा जाता है। बिहार आम उत्पादन में देश के अग्रणी राज्यों में से एक है।,Crop,Mango,hi
आम के लिए उपयुक्त जलवायु?,आम के लिए उष्णकटिबंधीय और उपोष्णकटिबंधीय जलवायु अच्छी है। 24-30°C तापमान इसके विकास के लिए आदर्श है।,Crop,Mango,hi
आम के पौधे लगाने का सही समय?,बिहार में आम लगाने का सबसे अच्छा समय मानसून की शुरुआत (जून-जुलाई) या अगस्त-सितंबर है।,Crop,Mango,hi
आम के लिए कैसी मिट्टी सबसे अच्छी है?,"गहरी, उपजाऊ और अच्छी जल निकासी वाली दोमट मिट्टी जिसका पीएच 6.5 से 7.5 हो, आम के लिए श्रेष्ठ है।",Crop,Mango,hi
आम के पौधे कैसे तैयार किए जाते हैं?,व्यावसायिक खेती के लिए आम को 'ग्राफ्टिंग' (Veneer or Inarching) विधि द्वारा तैयार किया जाता है। बीज वाले पौधे फल देने में बहुत समय लेते हैं।,Crop,Mango,hi
आम के लिए गड्ढे (Pits) कैसे तैयार करें?,"1 x 1 x 1 मीटर के गड्ढे खोदें, उन्हें 15 दिन धूप दिखाएं और फिर गोबर की खाद, मिट्टी व कवकनाशी के मिश्रण से भरें।",Crop,Mango,hi
आम में खाद और उर्वरक की मात्रा?,"एक पूर्ण विकसित पेड़ (10+ साल) को 50-100 किग्रा गोबर की खाद, 1 किग्रा नाइट्रोजन, 0.5 किग्रा फास्फोरस और 1 किग्रा पोटाश की जरूरत होती है।",Crop,Mango,hi
आम में 'पोटाश' का क्या महत्व है?,"पोटाश फलों के आकार, स्वाद और चमक को बढ़ाने के साथ-साथ पेड़ों को रोगों से लड़ने की शक्ति देता है।",Crop,Mango,hi
आम में सिंचाई का सही तरीका?,छोटे पौधों को नियमित सिंचाई चाहिए। बड़े पेड़ों को फूल आने से 2 महीने पहले सिंचाई बंद कर देनी चाहिए और फल बनने के बाद शुरू करनी चाहिए।,Crop,Mango,hi
आम का 'मधुआ' (Mango Hopper) कीट?,यह कीट बौर (फूलों) का रस चूसता है जिससे फूल सूखकर गिर जाते हैं। इसके लिए इमिडाक्लोप्रिड या थायोमिथोक्सम का छिड़काव करें।,Crop,Mango,hi
आम का 'कोयली' (Black Tip) रोग?,यह अक्सर ईंट के भट्टों से निकलने वाले धुएं (सल्फर डाइऑक्साइड) के कारण होता है। फल का निचला हिस्सा काला और सख्त हो जाता है।,Crop,Mango,hi
कोयली रोग से बचाव के उपाय?,बाग के पास ईंट के भट्टे न होने दें या फल लगने की अवस्था में 'बोरेक्स' (0.6%) का छिड़काव करें।,Crop,Mango,hi
आम की कटाई कब करें?,जब फलों का रंग हल्का पीला होने लगे और वे पूरी तरह विकसित हो जाएं। तोड़ने के बाद उन्हें ठंडे स्थान पर रखें।,Crop,Mango,hi
आम की औसत उपज कितनी होती है?,एक पूर्ण विकसित पेड़ से 100 से 200 किग्रा तक फल प्राप्त किए जा सकते हैं।,Crop,Mango,hi
आम की प्रमुख उन्नत किस्में?,"बिहार के लिए जर्दालू, दूधिया मालदा, बंबई, दशहरी, लंगड़ा और आम्रपाली बहुत अच्छी किस्में हैं।",Crop,Mango,hi
आम के भंडारण और पैकेजिंग?,फलों को पकने के बाद ठंडे और हवादार स्थान पर रखें। परिवहन के लिए लकड़ी या प्लास्टिक के क्रेट्स का उपयोग करें।,Crop,Mango,hi
आम की खेती में 'मिट्टी चढ़ाना' और गोड़ाई?,पेड़ के चारों ओर थाला (Basin) साफ रखें और साल में दो बार (अक्टूबर और जून) गोड़ाई करें।,Crop,Mango,hi
