Question,Answer,Category,Crop,Language
धान की खेती का परिचय क्या है?,धान (Oryza sativa) भारत की सबसे महत्वपूर्ण खाद्य फसल है। बिहार में यह मुख्य रूप से खरीफ सीजन में उगाई जाती है और करोड़ों लोगों का मुख्य भोजन है।,Crop,Rice,hi
धान के लिए उपयुक्त जलवायु कैसी होनी चाहिए?,धान के लिए गर्म और आर्द्र जलवायु सबसे अच्छी होती है। फसल के विकास के दौरान उच्च तापमान और पर्याप्त नमी की आवश्यकता होती है।,Crop,Rice,hi
धान की खेती के लिए औसत तापमान कितना होना चाहिए?,धान की वृद्धि के लिए 20°C से 35°C के बीच का तापमान आदर्श माना जाता है। फूल आने के समय 25°C से 30°C तापमान होना चाहिए।,Crop,Rice,hi
धान को कितनी वर्षा की आवश्यकता होती है?,धान को अच्छी उपज के लिए 1200 से 1500 मिमी वार्षिक वर्षा की आवश्यकता होती है। यदि वर्षा कम हो तो सिंचाई का उचित प्रबंध होना चाहिए।,Crop,Rice,hi
धान के लिए सबसे अच्छी मिट्टी कौन सी है?,धान के लिए भारी दोमट या मटियार मिट्टी (Clay Loam) सबसे उपयुक्त होती है क्योंकि इसमें पानी रोकने की क्षमता अधिक होती है।,Crop,Rice,hi
धान के खेत की तैयारी कैसे करें?,खेत की दो बार जुताई करें और फिर पानी भरकर 'पडलिंग' (लेह लगाना) करें। इससे मिट्टी में पानी रोकने की क्षमता बढ़ती है और खरपतवार कम होते हैं।,Crop,Rice,hi
प्रति एकड़ धान के बीज की दर क्या है?,सामान्य किस्मों के लिए 15-20 किग्रा और हाइब्रिड किस्मों के लिए 6-8 किग्रा प्रति एकड़ बीज पर्याप्त होता है।,Crop,Rice,hi
धान का बीज उपचार कैसे करें?,बीज को 10 लीटर पानी में 20 ग्राम कार्बेन्डाजिम मिलाकर 24 घंटे तक भिगोएं। इससे बीज जनित रोगों से सुरक्षा मिलती है।,Crop,Rice,hi
धान की नर्सरी कब तैयार करें?,बिहार में मानसून के आगमन के साथ यानी मई के अंत से जून के मध्य तक नर्सरी की बुआई कर देनी चाहिए।,Crop,Rice,hi
धान की नर्सरी के लिए कितना क्षेत्र चाहिए?,एक एकड़ की रोपाई के लिए लगभग 100-150 वर्ग मीटर (लगभग 5-6 कट्ठा) नर्सरी क्षेत्र की आवश्यकता होती है।,Crop,Rice,hi
धान की रोपाई कब करनी चाहिए?,"जब नर्सरी के पौधे 21 से 25 दिन के हो जाएं (3-4 पत्ती वाली अवस्था), तब उनकी रोपाई मुख्य खेत में करनी चाहिए।",Crop,Rice,hi
धान की रोपाई के समय पौधों के बीच की दूरी क्या रखें?,पंक्ति से पंक्ति की दूरी 20 सेमी और पौधे से पौधे की दूरी 15 सेमी रखनी चाहिए। एक स्थान पर 2-3 पौधे लगाएं।,Crop,Rice,hi
धान में खाद की कितनी मात्रा डालनी चाहिए?,"सामान्य तौर पर प्रति एकड़ 40-50 किग्रा यूरिया, 50 किग्रा डीएपी और 25 किग्रा पोटाश की आवश्यकता होती है।",Crop,Rice,hi
धान में जिंक सल्फेट का प्रयोग क्यों जरूरी है?,जिंक की कमी से धान में 'खैरा' रोग हो जाता है। रोपाई के समय 10 किग्रा जिंक सल्फेट प्रति एकड़ अवश्य डालें।,Crop,Rice,hi
