Question,Answer,Category,Crop,Language
मिर्च की खेती का परिचय क्या है?,मिर्च (Capsicum annuum) भारत का एक अत्यंत महत्वपूर्ण मसाला और सब्जी फसल है। यह अपने तीखेपन और रंग के लिए प्रसिद्ध है और विटामिन ए व सी का अच्छा स्रोत है।,Crop,Chilli,hi
मिर्च के लिए उपयुक्त जलवायु?,मिर्च के लिए गर्म और आर्द्र जलवायु अच्छी है। 20-30°C तापमान इसके विकास के लिए आदर्श है। पाला मिर्च की फसल को पूरी तरह नष्ट कर सकता है।,Crop,Chilli,hi
मिर्च की बुआई का समय?,"खरीफ के लिए जून-जुलाई, रबी के लिए अक्टूबर-नवंबर और जायद के लिए फरवरी-मार्च में नर्सरी तैयार की जाती है।",Crop,Chilli,hi
मिर्च की प्रति एकड़ बीज दर?,सामान्य किस्मों के लिए 400-500 ग्राम और हाइब्रिड किस्मों के लिए 150-200 ग्राम प्रति एकड़ बीज पर्याप्त है।,Crop,Chilli,hi
मिर्च की नर्सरी कैसे तैयार करें?,बीज को ऊँची क्यारियों या प्रो-ट्रे में बोएं। क्यारियों में गोबर की खाद और ट्राइकोडर्मा मिलाएं। 35-40 दिन में पौधे तैयार हो जाते हैं।,Crop,Chilli,hi
मिर्च के पौधों की रोपाई कब करें?,जब नर्सरी के पौधे 15-20 सेमी ऊंचे हो जाएं और उनमें 5-6 पत्तियां निकल आएं।,Crop,Chilli,hi
मिर्च में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 40-50 किग्रा नाइट्रोजन, 25-30 किग्रा फास्फोरस और 25 किग्रा पोटाश की आवश्यकता होती है।",Crop,Chilli,hi
मिर्च में 'पोटाश' का क्या महत्व है?,"पोटाश फलों का रंग गहरा करने, तीखापन बढ़ाने और पौधों को रोगों से लड़ने की शक्ति देने के लिए जरूरी है।",Crop,Chilli,hi
मिर्च में सिंचाई का सही तरीका?,मिर्च में नियमित अंतराल पर हल्की सिंचाई करें। फूल आने और फल बनते समय नमी की कमी से फूल गिर सकते हैं।,Crop,Chilli,hi
मिर्च में 'थ्रिप्स' (Thrips) कीट के लक्षण?,पत्तियां ऊपर की ओर मुड़कर नाव के आकार की हो जाती हैं और पौधों का विकास रुक जाता है। इसके लिए फिप्रोनिल या डेलीगेट का प्रयोग करें।,Crop,Chilli,hi
मिर्च में 'माइट्स' (Mites/मकड़ी) का प्रकोप?,पत्तियां नीचे की ओर मुड़कर सख्त हो जाती हैं। इसे रोकने के लिए ओबेरॉन या घुलनशील सल्फर का छिड़काव करें।,Crop,Chilli,hi
मिर्च का 'पर्ण कुंचन' (Leaf Curl) वायरस?,यह वायरस सफेद मक्खी (Whitefly) द्वारा फैलता है। इसमें पत्तियां मुड़कर छोटी और गुच्छेदार हो जाती हैं। प्रभावित पौधों को उखाड़ दें।,Crop,Chilli,hi
मिर्च में 'डाई-बैक' (Dieback) या 'एंथ्रेक्नोज' रोग?,टहनियाँ ऊपर से नीचे की ओर सूखने लगती हैं और फलों पर काले धब्बे पड़ जाते हैं। इसके लिए मैंकोज़ेब का छिड़काव करें।,Crop,Chilli,hi
मिर्च की कटाई कब करें?,हरी मिर्च के लिए जब फल पूरी तरह विकसित और सख्त हो जाएं। लाल मिर्च के लिए फलों को पूरी तरह पकने (लाल होने) पर तोड़ें।,Crop,Chilli,hi
मिर्च की औसत उपज कितनी होती है?,हाइब्रिड किस्मों से 60 से 100 क्विंटल हरी मिर्च या 10 से 15 क्विंटल सूखी लाल मिर्च प्रति एकड़ प्राप्त की जा सकती है।,Crop,Chilli,hi
मिर्च की प्रमुख उन्नत किस्में?,"बिहार के लिए स्वर्ण प्रफुल्ला, स्वर्ण रेखा, काशी अनमोल और हाइब्रिड में तेजा, वीएनआर-145 और निजी कंपनियों की किस्में अच्छी हैं।",Crop,Chilli,hi
मिर्च को सुखाने की विधि?,लाल मिर्च को छायादार और हवादार स्थान पर त्रिपाल पर फैलाकर सुखाएं ताकि उनका रंग और चमक बनी रहे।,Crop,Chilli,hi
मिर्च की खेती में 'मिट्टी चढ़ावा'?,पौधों को गिरने से बचाने और खरपतवार दबाने के लिए रोपाई के 30 दिन बाद मिट्टी चढ़ाना जरूरी है।,Crop,Chilli,hi
मिर्च के बाग में 'अंतःफसल'?,"मिर्च के साथ लहसुन, मूली या धनिया उगाकर अतिरिक्त आय ली जा सकती है।",Crop,Chilli,hi
मिर्च में 'जिंक सल्फेट' का लाभ?,जिंक की कमी से पौधों की वृद्धि रुक जाती है। 0.5% जिंक सल्फेट का स्प्रे पत्तियों को हरा और स्वस्थ रखता है।,Crop,Chilli,hi
मिर्च की खेती में सबसे बड़ी चुनौती?,थ्रिप्स और मकड़ी का हमला (Leaf curl complex) और डाई-बैक रोग का प्रबंधन।,Crop,Chilli,hi
क्या बिहार में मिर्च की खेती सफल है?,"हाँ, बिहार के मुजफ्फरपुर, वैशाली और समस्तीपुर जिलों में मिर्च की बहुत सफल और व्यावसायिक खेती होती है।",Crop,Chilli,hi
