Question,Answer,Category,Crop,Language
आलू की खेती का परिचय क्या है?,आलू (Solanum tuberosum) दुनिया की सबसे महत्वपूर्ण गैर-अनाज खाद्य फसल है। बिहार में यह रबी मौसम की मुख्य नकदी फसल है।,Crop,Potato,hi
आलू के लिए उपयुक्त जलवायु कैसी होनी चाहिए?,आलू के लिए ठंडी जलवायु आवश्यक है। कंद बनने के समय 15-20°C तापमान आदर्श माना जाता है।,Crop,Potato,hi
आलू की बुआई का सबसे अच्छा समय?,बिहार में आलू की बुआई 15 अक्टूबर से 15 नवंबर तक कर लेनी चाहिए।,Crop,Potato,hi
पछेती आलू की बुआई कब तक कर सकते हैं?,"पछेती बुआई 25 नवंबर तक की जा सकती है, लेकिन इससे उपज पर असर पड़ सकता है।",Crop,Potato,hi
आलू के लिए कैसी मिट्टी सबसे अच्छी है?,अच्छी जल निकासी वाली बलुई दोमट (Sandy Loam) मिट्टी आलू के लिए सबसे अच्छी मानी जाती है।,Crop,Potato,hi
आलू के खेत की तैयारी कैसे करें?,खेत की 3-4 बार गहरी जुताई करें और मिट्टी को भुरभुरा बनाएं। गोबर की खाद भरपूर मात्रा में डालें।,Crop,Potato,hi
प्रति एकड़ आलू के बीज की दर?,बीज के आकार के आधार पर 10 से 12 क्विंटल प्रति एकड़ बीज की आवश्यकता होती है।,Crop,Potato,hi
आलू का बीज उपचार कैसे करें?,बीज को बोरिक एसिड (3%) के घोल में 20-30 मिनट तक भिगोएं ताकि मिट्टी जनित रोगों से सुरक्षा मिल सके।,Crop,Potato,hi
आलू की बुआई की विधि क्या है?,आलू की बुआई हमेशा मेड़ों (Ridges) पर करनी चाहिए। मेड़ से मेड़ की दूरी 60 सेमी और पौधे से पौधे की दूरी 15-20 सेमी रखें।,Crop,Potato,hi
आलू में 'मिट्टी चढ़ाना' (Earthing up) क्यों जरूरी है?,कंदों को धूप से बचाने (हरा होने से रोकने) और जड़ों को विस्तार देने के लिए 30-35 दिन बाद मिट्टी चढ़ाना अनिवार्य है।,Crop,Potato,hi
आलू में खाद और उर्वरक की कितनी मात्रा डालें?,"प्रति एकड़ 60-80 किग्रा नाइट्रोजन, 40 किग्रा फास्फोरस और 40-50 किग्रा पोटाश की आवश्यकता होती है।",Crop,Potato,hi
आलू में पोटाश का क्या महत्व है?,"पोटाश आलू के कंदों का आकार बढ़ाने, दानों में चमक लाने और भंडारण क्षमता सुधारने के लिए सबसे जरूरी है।",Crop,Potato,hi
आलू की सिंचाई का सही तरीका?,आलू में हल्की और बार-बार सिंचाई करनी चाहिए। मेड़ की आधी ऊंचाई तक ही पानी भरें।,Crop,Potato,hi
आलू में सिंचाई की महत्वपूर्ण अवस्थाएं?,कंद बनते समय (Tuberization) और कंदों के विकास के समय नमी की कमी नहीं होनी चाहिए।,Crop,Potato,hi
आलू का 'पिछेती झुलसा' (Late Blight) क्या है?,यह आलू का सबसे खतरनाक रोग है। पत्तियों पर पानी सोखे हुए काले धब्बे बनते हैं और फसल 2-3 दिन में नष्ट हो सकती है।,Crop,Potato,hi
पिछेती झुलसा का नियंत्रण कैसे करें?,इसके लिए मैंकोज़ेब (2 ग्राम/लीटर) का सुरक्षात्मक छिड़काव करें। रोग दिखने पर 'रिडोमिल' (Ridomil) का प्रयोग करें।,Crop,Potato,hi
आलू में 'माहू' (Aphids) कीट का क्या प्रभाव है?,"माहू रस चूसने के साथ-साथ 'वायरस' रोगों को फैलाता है, जिससे बीज की गुणवत्ता खराब हो जाती है।",Crop,Potato,hi
आलू में 'मिट्टी के कीड़े' (Cutworms) का नियंत्रण?,बुआई के समय क्लोरपायरीफॉस दानेदार का प्रयोग मिट्टी में करें या शाम को सिंचाई के साथ दवा दें।,Crop,Potato,hi
आलू की 'डीहॉल्मिंग' (Dehaulming) क्या है?,खुदाई से 10-15 दिन पहले आलू के पौधों की ऊपरी टहनियों को काट देना डीहॉल्मिंग कहलाता है। इससे आलू की त्वचा सख्त हो जाती है।,Crop,Potato,hi
आलू की खुदाई कब करें?,जब पौधों की पत्तियां पीली पड़कर सूख जाएं और आलू का छिलका अंगूठे से रगड़ने पर न निकले।,Crop,Potato,hi
आलू की औसत उपज कितनी होती है?,उन्नत किस्मों और अच्छे प्रबंधन से 120 से 150 क्विंटल प्रति एकड़ तक पैदावार ली जा सकती है।,Crop,Potato,hi
