Question,Answer,Category,Crop,Language
फफूंदनाशक (Fungicides) क्या होते हैं?,ये वे रसायन या जैविक पदार्थ हैं जो फसलों में फफूंद (Fungi) से होने वाले रोगों को नष्ट करने या उनकी वृद्धि रोकने के लिए उपयोग किए जाते हैं।,Plant Protection,General,hi
संपर्क फफूंदनाशक (Contact Fungicides) क्या हैं?,"ये दवाएं केवल उस हिस्से पर काम करती हैं जहाँ वे गिरती हैं। ये पौधे के अंदर नहीं समातीं (जैसे- मैंकोज़ेब, कॉपर ऑक्सीक्लोराइड)।",Plant Protection,General,hi
प्रणालीगत फफूंदनाशक (Systemic Fungicides) क्या हैं?,"ये दवाएं पौधे के अंदर समाकर पूरे शरीर में फैल जाती हैं और अंदर छिपे फफूंद को नष्ट करती हैं (जैसे- कार्बेन्डाजिम, हेक्साकोनाजोल)।",Plant Protection,General,hi
मैंकोज़ेब (Mancozeb) का उपयोग किन रोगों में होता है?,"यह एक बहु-उपयोगी संपर्क फफूंदनाशक है जो झुलसा (Blight), रतुआ (Rust) और पत्ती धब्बा रोगों में बहुत प्रभावी है।",Plant Protection,General,hi
कार्बेन्डाजिम (Carbendazim) के मुख्य कार्य?,"यह बीज उपचार और मिट्टी के रोगों (जैसे- उकठा, जड़ सड़न) को रोकने के लिए सबसे लोकप्रिय प्रणालीगत फफूंदनाशक है।",Plant Protection,General,hi
कॉपर ऑक्सीक्लोराइड (Copper Oxychloride) कब उपयोगी है?,यह बैक्टीरियल रोगों और फल सड़न रोगों के नियंत्रण के लिए बहुत प्रभावी है (जैसे- नींबू का कैंकर)।,Plant Protection,General,hi
हेक्साकोनाजोल (Hexaconazole) का प्रयोग किस फसल में करें?,यह धान के 'शीथ ब्लाइट' और अन्य फसलों में चूर्णी फफूंद (Powdery Mildew) को रोकने के लिए श्रेष्ठ है।,Plant Protection,General,hi
प्रोपिकोनाजोल (Propiconazole) का मुख्य उपयोग?,गेहूं के पीला रतुआ (Yellow Rust) और धान के दाना झुलसा को रोकने के लिए यह सबसे अच्छी दवा मानी जाती है।,Plant Protection,General,hi
सल्फर (Wettable Sulphur) फफूंदनाशक के रूप में?,यह चूर्णी फफूंद (Powdery Mildew) के लिए रामबाण है और साथ ही मकड़ी (Mites) को भी नियंत्रित करता है।,Plant Protection,General,hi
मेटालैक्सिल (Metalaxyl) का विशेष कार्य क्या है?,यह 'डाउनी मिल्ड्यू' (Downy Mildew) और मिट्टी से होने वाले रोगों के लिए बहुत ही प्रभावी प्रणालीगत दवा है।,Plant Protection,General,hi
अजोक्सीस्ट्रोबिन (Azoxystrobin) क्या है?,"यह एक आधुनिक और व्यापक श्रेणी का फफूंदनाशक है जो झुलसा, रतुआ और चूर्णी फफूंद तीनों पर काम करता है।",Plant Protection,General,hi
बीज उपचार (Seed Treatment) के लिए फफूंदनाशक की मात्रा?,आमतौर पर 2 से 3 ग्राम फफूंदनाशक प्रति किग्रा बीज के लिए पर्याप्त होता है।,Plant Protection,General,hi
फफूंदनाशकों को मिलाने का नियम क्या है?,कभी भी सल्फर और तेल आधारित दवाओं को एक साथ न मिलाएं। हमेशा छिड़काव से पहले 'जार टेस्ट' करें।,Plant Protection,General,hi
स्यूडोमोनास फ्लोरोसेन्स (Pseudomonas fluorescens) के लाभ?,यह एक जैविक बैक्टीरिया है जो पौधों में रोग प्रतिरोधक क्षमता बढ़ाता है और झुलसा रोगों को रोकता है।,Plant Protection,General,hi
फफूंदनाशक छिड़कने का सही समय?,"हमेशा सुबह या शाम के समय जब ओस सूख गई हो और धूप तेज न हो, तब छिड़काव करें।",Plant Protection,General,hi
क्या फफूंदनाशकों का असर मिट्टी पर पड़ता है?,"अत्यधिक प्रयोग से मिट्टी के मित्र सूक्ष्मजीव मर सकते हैं, इसलिए केवल जरूरत पड़ने पर ही उपयोग करें।",Plant Protection,General,hi
'रिडोमिल गोल्ड' (Ridomil Gold) क्या है?,यह मेटालैक्सिल और मैंकोज़ेब का मिश्रण है जो आलू के पिछेती झुलसा के लिए सबसे शक्तिशाली दवा है।,Plant Protection,General,hi
'साफ' (Saaf) फफूंदनाशक में कौन से तत्व होते हैं?,इसमें कार्बेन्डाजिम (12%) और मैंकोज़ेब (63%) का संतुलित मिश्रण होता है।,Plant Protection,General,hi
फफूंदनाशकों के लेबल पर 'नीला' निशान क्या बताता है?,नीला निशान 'मध्यम जहरीला' (Slightly toxic) होने का संकेत देता है।,Plant Protection,General,hi
कवकनाशकों का 'प्रतीक्षा काल' (Waiting Period)?,दवा छिड़कने के बाद फसल तोड़ने से पहले का समय (आमतौर पर 7-15 दिन) ताकि जहर का असर खत्म हो जाए।,Plant Protection,General,hi
फफूंदनाशकों के साथ 'चिपकने वाला पदार्थ' (Sticker) क्यों मिलाएं?,ताकि दवा पत्तियों पर अच्छी तरह चिपक जाए और बारिश या हवा से जल्दी न धुले।,Plant Protection,General,hi
क्या फफूंदनाशक कीटों को भी मारते हैं?,"नहीं, फफूंदनाशक केवल कवक को मारते हैं। कीटों के लिए कीटनाशक (Insecticides) का प्रयोग करना पड़ता है।",Plant Protection,General,hi
स्ट्रेप्टोसायक्लिन (Streptocycline) क्या है?,यह एक एंटीबायोटिक है जिसका उपयोग बैक्टीरिया से होने वाले रोगों (जैसे- बैक्टीरियल ब्लाइट) को रोकने के लिए किया जाता है।,Plant Protection,General,hi
