Question,Answer,Category,Crop,Language
कीट (Pests) कृषि in क्या होते हैं?,"कीट वे जीव हैं जो फसलों को खाकर, रस चूसकर या बीमारियां फैलाकर उपज को नुकसान पहुँचाते हैं।",Pests,General,hi
कीटों के मुख्य प्रकार कौन से हैं?,"कृषि कीट मुख्य रूप से दो प्रकार के होते हैं: रस चूसने वाले (जैसे एफिड, सफेद मक्खी) और चबाने वाले (जैसे इल्ली, तना छेदक)।",Pests,General,hi
धान का 'तना छेदक' (Stem Borer) कीट क्या है?,"यह कीट धान के तने के अंदर छेद करके घुस जाता है, जिससे पौधा सूख जाता है और 'डेड हार्ट' बनता है।",Pests,Rice,hi
तना छेदक का रासायनिक नियंत्रण क्या है?,इसके लिए कार्बोफ्यूरान 3G (10 किग्रा/एकड़) या क्लोरेंट्रानिलिप्रोल (कोराजन) 60 मिली प्रति एकड़ का प्रयोग करें।,Pests,Rice,hi
धान का 'गंधी बग' (Gundhi Bug) क्या है?,"यह कीट दानों in दूध भरने के समय दानों का रस चूस लेता है, जिससे दाने खाली रह जाते हैं। इससे खेत in गंध आती है।",Pests,Rice,hi
गंधी बग को कैसे नियंत्रित करें?,मैलाथियान 5% धूल का 10 किग्रा प्रति एकड़ की दर से सुबह के समय छिड़काव करें।,Pests,Rice,hi
'फाल आर्मीवर्म' (Fall Armyworm) की पहचान क्या है?,इस इल्ली के सिर पर 'Y' आकार का निशान होता है और पिछले हिस्से पर चार वर्गाकार बिंदु होते हैं।,Pests,Maize,hi
फाल आर्मीवर्म का सबसे अच्छा इलाज क्या है?,इमामेक्टिन बेंजोएट 5% SG का 0.4 ग्राम प्रति लीटर पानी in मिलाकर गोभ (Whorl) के अंदर स्प्रे करें।,Pests,Maize,hi
'एफिड्स' (Aphids/चेपा) क्या हैं?,"ये छोटे, नरम शरीर वाले कीट हैं जो पत्तियों और तनों का रस चूसते हैं। ये अक्सर सरसों और सब्जियों in लगते हैं।",Pests,General,hi
एफिड्स (Aphids) का जैविक नियंत्रण क्या है?,नीम का तेल (1500 ppm) 5 मिली प्रति लीटर पानी in मिलाकर छिड़काव करें या पीला चिपचिपा ट्रैप लगाएं।,Pests,General,hi
'सफेद मक्खी' (Whitefly) फसलों को कैसे नुकसान पहुँचाती है?,यह रस चूसने के साथ-साथ 'लीफ कर्ल' और 'मोजेक' जैसे खतरनाक वायरस रोगों को एक पौधे से दूसरे in फैलाती है।,Pests,General,hi
सफेद मक्खी के नियंत्रण के लिए कौन सी दवा अच्छी है?,इसके लिए डायाफेंथियूरॉन (Diafenthiuron) 50% WP या स्पाइरोमेसिफेन का प्रयोग करें।,Pests,General,hi
'दीमक' (Termites) का प्रबंधन कैसे करें?,खेत in कच्ची गोबर की खाद न डालें। बुआई के समय क्लोरपायरीफॉस का प्रयोग करें या नीम की खली डालें।,Pests,General,hi
'थ्रिप्स' (Thrips) कीट के लक्षण क्या हैं?,पत्तियां ऊपर की ओर मुड़ जाती हैं (नाव जैसी) और पत्तियों की निचली सतह पर चांदी जैसी चमक दिखाई देती है।,Pests,Chilli,hi
'लीफ फोल्डर' (Leaf Folder) कीट क्या है?,"यह धान की पत्ती को लपेटकर उसके अंदर रहता है और हरे भाग को खुरच कर खाता है, जिससे पत्तियों पर सफेद धारियां दिखती हैं।",Pests,Rice,hi
मिर्च का 'फल छेदक' (Fruit Borer) क्या है?,"यह इल्ली मिर्च के फलों in छेद करके अंदर घुस जाती है और उन्हें खाती है, जिससे फल सड़ जाते हैं।",Pests,Chilli,hi
कपास का 'गुलाबी सुंडी' (Pink Bollworm) क्या है?,"यह कपास के टेंडों (Bolls) के अंदर घुसकर बीजों और रेशों को खाता है, जिससे कपास की गुणवत्ता खराब हो जाती है।",Pests,Cotton,hi
कीटों के लिए 'फेरोमोन ट्रैप' (Pheromone Trap) क्या है?,"यह एक गंध वाला जाल है जो नर कीटों को आकर्षित करके फंसा लेता है, जिससे कीटों की आबादी कम हो जाती है।",Pests,General,hi
'पीला चिपचिपा ट्रैप' (Yellow Sticky Trap) का क्या उपयोग है?,यह उड़ने वाले कीटों जैसे सफेद मक्खी और एफिड्स को अपनी ओर आकर्षित कर चिपका लेता है।,Pests,General,hi
'प्रकाश प्रपंच' (Light Trap) कीटों को कैसे नियंत्रित करता है?,रात in चलने वाले कीट (जैसे तना छेदक के पतंगे) रोशनी की ओर आकर्षित होकर पानी in गिरकर मर जाते हैं।,Pests,General,hi
'नीम का तेल' कीटनाशक के रूप in कैसे काम करता है?,"यह कीटों को अंडे देने से रोकता है, उन्हें भोजन करने से रोकता है और उनकी वृद्धि चक्र को बाधित करता है।",Pests,General,hi
'ब्राउन प्लांट हॉपर' (BPH) धान in क्या नुकसान करता है?,यह तने के आधार पर बैठकर रस चूसता है जिससे फसल पूरी तरह सूख जाती है (Hopper Burn)।,Pests,Rice,hi
धान in BPH के नियंत्रण के लिए क्या करें?,"खेत का पानी निकाल दें, यूरिया का प्रयोग कम करें और पाइमेट्रोजिन (Pymetrozine) 50% WG का छिड़काव करें।",Pests,Rice,hi
