Question,Answer,Category,Crop,Language
प्याज की खेती का परिचय क्या है?,प्याज (Allium cepa) भारत की सबसे महत्वपूर्ण व्यावसायिक सब्जी फसल है। यह दैनिक भोजन का अभिन्न अंग है और निर्यात के लिए भी प्रमुख है।,Crop,Onion,hi
प्याज के लिए उपयुक्त जलवायु?,प्याज के लिए मध्यम ठंडी और शुष्क जलवायु अच्छी है। कंद (Bulb) बनते समय अधिक तापमान और कम आर्द्रता की जरूरत होती है।,Crop,Onion,hi
खरीफ प्याज की बुआई का समय?,खरीफ प्याज के लिए नर्सरी मई-जून में डाली जाती है और रोपाई अगस्त में की जाती है।,Crop,Onion,hi
रबी प्याज की बुआई का समय?,रबी प्याज के लिए नर्सरी अक्टूबर-नवंबर में डाली जाती है और रोपाई दिसंबर-जनवरी में की जाती है।,Crop,Onion,hi
प्याज की प्रति एकड़ बीज दर?,नर्सरी तैयार करने के लिए 3 से 4 किग्रा बीज प्रति एकड़ पर्याप्त होता है।,Crop,Onion,hi
प्याज की नर्सरी कैसे तैयार करें?,बीज को ऊँची क्यारियों में बोएं। 6-8 सप्ताह में पौधे रोपाई के लिए तैयार हो जाते हैं।,Crop,Onion,hi
प्याज की रोपाई के लिए पौधों की सही उम्र?,"जब पौधों की ऊंचाई 15 सेमी हो जाए और वे 6-8 सप्ताह के हो जाएं, तब रोपाई करनी चाहिए।",Crop,Onion,hi
रोपाई के समय पौधों के बीच की दूरी?,पंक्ति से पंक्ति की दूरी 15 सेमी और पौधे से पौधे की दूरी 10 सेमी रखनी चाहिए।,Crop,Onion,hi
प्याज में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 40-50 किग्रा नाइट्रोजन, 25 किग्रा फास्फोरस और 25 किग्रा पोटाश की आवश्यकता होती है।",Crop,Onion,hi
प्याज में 'सल्फर' (गंधक) का महत्व?,"सल्फर प्याज के तीखेपन, रंग और भंडारण क्षमता को बढ़ाने के लिए अत्यंत आवश्यक है। बुआई के समय 20 किग्रा सल्फर प्रति एकड़ दें।",Crop,Onion,hi
प्याज में सिंचाई का सही तरीका?,प्याज में हल्की और बार-बार सिंचाई करनी चाहिए। कंद बनते समय पानी की कमी नहीं होनी चाहिए।,Crop,Onion,hi
सिंचाई बंद करने का सही समय?,खुदाई से 15 दिन पहले सिंचाई बंद कर देनी चाहिए जब प्याज की गर्दन गिरना (Neck fall) शुरू हो जाए।,Crop,Onion,hi
प्याज में 'थ्रिप्स' (Thrips) कीट के लक्षण?,पत्तियों के बीच में चांदी जैसी चमक दिखाई देना और पत्तियों का मुड़ना। इसे रोकने के लिए फिप्रोनिल या इमिडाक्लोप्रिड का छिड़काव करें।,Crop,Onion,hi
प्याज में 'बैंगनी धब्बा' (Purple Blotch) रोग?,पत्तियों पर नाव के आकार के बैंगनी धब्बे बनना। इसके नियंत्रण के लिए मैंकोज़ेब (2.5 ग्राम/लीटर) का छिड़काव करें।,Crop,Onion,hi
प्याज की कटाई (खुदाई) कब करें?,"जब 50-70% पौधों की गर्दन गिर जाए (Neck fall), तब प्याज की खुदाई कर लेनी चाहिए।",Crop,Onion,hi
प्याज का 'उपचार' (Curing) क्या है?,"खुदाई के बाद प्याज को खेत में ही 3-4 दिन छाया में सुखाना ताकि उसकी गर्दन और छिलका सूख जाए, जिससे भंडारण क्षमता बढ़ती है।",Crop,Onion,hi
प्याज की औसत उपज कितनी होती है?,रबी प्याज से 100 से 150 क्विंटल प्रति एकड़ तक उपज प्राप्त की जा सकती है।,Crop,Onion,hi
प्याज की प्रमुख उन्नत किस्में?,"बिहार के लिए एग्रीफाउंड डार्क रेड (खरीफ), एन-53, और रबी के लिए एग्रीफाउंड लाइट रेड, पूसा रेड अच्छी हैं।",Crop,Onion,hi
प्याज के भंडारण में सबसे बड़ी समस्या क्या है?,"सड़न (Rotting), वजन कम होना और समय से पहले अंकुरण होना भंडारण की मुख्य समस्याएं हैं।",Crop,Onion,hi
प्याज के लिए 'शीत भंडार' (Cold Storage) का तापमान?,प्याज को 0 से 0.5 डिग्री सेल्सियस तापमान और 65-70% आर्द्रता पर भंडारित किया जाता है।,Crop,Onion,hi
प्याज की खेती में 'मिट्टी चढ़ावा'?,प्याज में मिट्टी नहीं चढ़ाई जाती क्योंकि कंदों को मिट्टी के ऊपर ही फूलने के लिए जगह चाहिए होती है।,Crop,Onion,hi
प्याज की नर्सरी में 'खरपतवार' नियंत्रण?,बुआई के बाद और अंकुरण से पहले पेंडीमेथलीन का छिड़काव करें।,Crop,Onion,hi
प्याज के कंदों का 'छिलका' कड़ा कैसे करें?,पोटाश का संतुलित प्रयोग और खुदाई के बाद सही ढंग से सुखाना (Curing) छिलका कड़ा करता है।,Crop,Onion,hi
