Question,Answer,Category,Crop,Language
मक्का की खेती का परिचय क्या है?,"मक्का (Zea mays) एक बहुमुखी फसल है जिसका उपयोग अनाज, चारा और औद्योगिक कच्चे माल के रूप में किया जाता है। बिहार मक्का उत्पादन में अग्रणी है।",Crop,Maize,hi
मक्का किस मौसम की फसल है?,"मक्का खरीफ, रबी और जायद (गर्मी) तीनों मौसमों में उगाई जा सकती है, लेकिन बिहार में रबी मक्का की पैदावार सबसे अधिक होती है।",Crop,Maize,hi
मक्का के लिए उपयुक्त जलवायु कैसी होनी चाहिए?,मक्का के लिए 18-30°C तापमान और 500-750 मिमी वर्षा आदर्श है। यह पाले के प्रति बहुत संवेदनशील है।,Crop,Maize,hi
मक्का के लिए कैसी मिट्टी सबसे अच्छी होती है?,अच्छी जल निकासी वाली उपजाऊ दोमट मिट्टी मक्का के लिए सबसे अच्छी मानी जाती है। अधिक क्षारीय या अम्लीय मिट्टी इसके लिए ठीक नहीं है।,Crop,Maize,hi
खरीफ मक्का की बुआई का समय क्या है?,बिहार में खरीफ मक्का की बुआई जून के मध्य से जुलाई के पहले सप्ताह तक कर लेनी चाहिए।,Crop,Maize,hi
रबी मक्का की बुआई कब करनी चाहिए?,रबी मक्का की बुआई अक्टूबर के मध्य से नवंबर के मध्य तक करना सबसे अच्छा रहता है।,Crop,Maize,hi
मक्का की प्रति एकड़ बीज दर क्या है?,सामान्य किस्मों के लिए 8-10 किग्रा और हाइब्रिड किस्मों के लिए 6-7 किग्रा प्रति एकड़ बीज पर्याप्त होता है।,Crop,Maize,hi
मक्का का बीज उपचार कैसे करें?,बीज को थायरम या कैप्टन 2.5 ग्राम प्रति किग्रा बीज की दर से उपचारित करें। फाल आर्मीवर्म के बचाव के लिए फोर्टेंजा डुओ का प्रयोग करें।,Crop,Maize,hi
मक्का की बुआई की विधि क्या है?,मक्का की बुआई हमेशा मेड़ (Ridges) पर करनी चाहिए। इससे जल निकासी अच्छी रहती है और पौधों का विकास बेहतर होता है।,Crop,Maize,hi
मक्का में पौधों के बीच की दूरी क्या रखें?,पंक्ति से पंक्ति की दूरी 60 सेमी और पौधे से पौधे की दूरी 20 सेमी रखनी चाहिए।,Crop,Maize,hi
मक्का में खाद और उर्वरक की कितनी मात्रा डालें?,"मक्का को अधिक खाद की जरूरत होती है। प्रति एकड़ 60 किग्रा नाइट्रोजन, 30 किग्रा फास्फोरस और 20 किग्रा पोटाश दें।",Crop,Maize,hi
मक्का में नाइट्रोजन (यूरिया) का प्रबंधन कैसे करें?,"यूरिया को तीन बार में दें: बुआई के समय, जब पौधे घुटने तक ऊंचे हों (Knee high stage) और जब फूल (Tasseling) आ रहे हों।",Crop,Maize,hi
मक्का में 'फाल आर्मीवर्म' (Fall Armyworm) कीट क्या है?,यह मक्का का सबसे खतरनाक कीट है जो पत्तियों को बुरी तरह खा जाता है और गोभ के अंदर छिपकर रहता है।,Crop,Maize,hi
फाल आर्मीवर्म का नियंत्रण कैसे करें?,इसके लिए इमामेक्टिन बेंजोएट (Emamectin benzoate) 0.4 ग्राम प्रति लीटर पानी में मिलाकर गोभ के अंदर तक छिड़काव करें।,Crop,Maize,hi
