Question,Answer,Category,Crop,Language
ड्रैगन फ्रूट की खेती का परिचय क्या है?,ड्रैगन फ्रूट (Hylocereus undatus) एक उष्णकटिबंधीय कैक्टस फल है। इसे अपनी उच्च पोषण क्षमता और कम पानी की जरूरत के कारण 'सुपर फ्रूट' कहा जाता है।,Crop,Dragon Fruit,hi
ड्रैगन फ्रूट के लिए उपयुक्त जलवायु?,इसके लिए शुष्क और गर्म जलवायु अच्छी है। 20-35°C तापमान इसके विकास के लिए सबसे अच्छा माना जाता है।,Crop,Dragon Fruit,hi
ड्रैगन फ्रूट के पौधे लगाने का सही समय?,बिहार में इसे मानसून की शुरुआत (जून-जुलाई) या अगस्त-सितंबर में लगाना सबसे अच्छा रहता है।,Crop,Dragon Fruit,hi
ड्रैगन फ्रूट के लिए कैसी मिट्टी चाहिए?,अच्छी जल निकासी वाली रेतीली दोमट मिट्टी ड्रैगन फ्रूट के लिए सबसे अच्छी है। यह खराब मिट्टी में भी हो सकता है।,Crop,Dragon Fruit,hi
पौधे लगाने के लिए 'खंभों' (Poles) का क्या महत्व है?,"ड्रैगन फ्रूट एक बेल की तरह बढ़ता है, इसलिए इसे सहारा देने के लिए सीमेंट के खंभों और ऊपर एक रिंग (Rings) की जरूरत होती है।",Crop,Dragon Fruit,hi
खंभों के बीच की दूरी क्या रखें?,पंक्ति से पंक्ति की दूरी 3-4 मीटर और खंभे से खंभे की दूरी 2.5-3 मीटर रखनी चाहिए।,Crop,Dragon Fruit,hi
प्रति खंभा कितने पौधे लगाएं?,एक खंभे के चारों कोनों पर 4 पौधे (कलम) लगाने चाहिए ताकि वे खंभे के चारों ओर ऊपर तक चढ़ सकें।,Crop,Dragon Fruit,hi
ड्रैगन फ्रूट का पौधा कैसे तैयार करें?,इसे मुख्य रूप से कलम (Cuttings) के माध्यम से उगाया जाता है। 20-25 सेमी लंबी कलम रोपाई के लिए अच्छी होती है।,Crop,Dragon Fruit,hi
ड्रैगन फ्रूट में खाद और उर्वरक?,"पौधों को गोबर की खाद, वर्मीकम्पोस्ट और संतुलित एनपीके की जरूरत होती है। साल में 2-3 बार खाद देना अच्छा है।",Crop,Dragon Fruit,hi
ड्रैगन फ्रूट में सिंचाई का सही तरीका?,इसे बहुत कम पानी चाहिए। ड्रिप सिंचाई सबसे अच्छी है। सर्दियों में 10-15 दिन और गर्मियों में 4-5 दिन पर सिंचाई करें।,Crop,Dragon Fruit,hi
