Question,Answer,Category,Crop,Language
फसल सुरक्षा (Crop Safety) का क्या अर्थ है?,"फसलों को कीटों, रोगों, खरपतवारों, प्रतिकूल मौसम और जंगली जानवरों से बचाकर सुरक्षित रखना फसल सुरक्षा है।",Plant Protection,General,hi
फसल सुरक्षा के तीन मुख्य स्तंभ कौन से हैं?,"1. निगरानी (Monitoring), 2. रोकथाम (Prevention) और 3. समय पर उपचार (Control)।",Plant Protection,General,hi
'आर्थिक नुकसान स्तर' (ETL) क्यों महत्वपूर्ण है?,यह बताता है कि दवा तभी छिड़कनी चाहिए जब नुकसान होने की संभावना दवा के खर्च से अधिक हो।,Plant Protection,General,hi
जंगली जानवरों (नीलगाय,"सूअर) से फसल कैसे बचाएं?,'सोलर फेंसिंग' (झटका मशीन), कटीले तार या गंध वाले जैविक घोल का छिड़काव करके।",Plant Protection,General,hi
कीटनाशकों के प्रयोग में 'सुरक्षा' (Personal Safety)?,"छिड़काव करते समय हमेशा पीपीई किट, मास्क और दस्ताने पहनें और हवा के विपरीत छिड़काव न करें।",Plant Protection,General,hi
'वेटिंग पीरियड' (Waiting Period) का पालन क्यों करें?,ताकि फल और सब्जियों में रसायनों का जहरीला असर खत्म हो जाए और वे खाने के लिए सुरक्षित हों।,Plant Protection,General,hi
फसल सुरक्षा में 'मित्र कीटों' की भूमिका?,लेडीबर्ड बीटल जैसे मित्र कीट शत्रु कीटों को खाकर प्राकृतिक रूप से फसल की रक्षा करते हैं।,Plant Protection,General,hi
क्या अधिक कीटनाशक से फसल को नुकसान हो सकता है?,"हाँ, अत्यधिक रसायनों से फसल जल सकती है (Phytotoxicity) और पौधों की वृद्धि रुक सकती है।",Plant Protection,General,hi
'बीज उपचार' (Seed Treatment) फसल सुरक्षा की पहली सीढ़ी कैसे है?,यह मिट्टी और बीज के माध्यम से फैलने वाले रोगों को शुरुआत में ही नष्ट कर देता है।,Plant Protection,General,hi
खेत की मेड़ों को साफ रखने का लाभ?,"मेड़ पर उगे खरपतवार कीटों और बीमारियों के लिए घर का काम करते हैं, सफाई रखने से हमला कम होता है।",Plant Protection,General,hi
क्या प्रकाश प्रपंच (Light Trap) सभी फसलों के लिए उपयोगी है?,"हाँ, यह रात में सक्रिय होने वाले कीटों (जैसे- तना छेदक) की निगरानी और नियंत्रण के लिए श्रेष्ठ है।",Plant Protection,General,hi
फसल सुरक्षा में 'नीम' का महत्व?,नीम एक सुरक्षित और सस्ता जैविक कीटनाशक है जो कीटों के प्रजनन और भोजन चक्र को बाधित करता है।,Plant Protection,General,hi
'प्रतिरोधी किस्में' (Resistant Varieties) क्या हैं?,ऐसी किस्में जिनमें विशिष्ट रोगों या कीटों से लड़ने की प्राकृतिक क्षमता होती है।,Plant Protection,General,hi
फसल सुरक्षा में 'जल प्रबंधन'?,"अत्यधिक जल भराव फफूंद रोगों को न्योता देता है, जबकि सही नमी पौधों की शक्ति बनाए रखती है।",Plant Protection,General,hi
क्या मिट्टी परीक्षण फसल सुरक्षा में मदद करता है?,"हाँ, संतुलित पोषण मिलने पर पौधा रोगों और कीटों के हमले को बेहतर तरीके से झेल सकता है।",Plant Protection,General,hi
कीटनाशकों के लेबल (लाल,"पीला, नीला, हरा) का ज्ञान?,लेवल का रंग दवा के जहरीलेपन के स्तर को बताता है, हरा सबसे सुरक्षित और लाल सबसे खतरनाक है।",Plant Protection,General,hi
