Question,Answer,Category,Crop,Language
खरपतवारनाशी (Herbicides) क्या होते हैं?,ये वे रसायन हैं जिनका उपयोग फसलों में अनावश्यक घास और खरपतवारों (Weeds) को नष्ट करने के लिए किया जाता है।,Plant Protection,General,hi
जमाव पूर्व खरपतवारनाशी (Pre-emergence) क्या हैं?,इन दवाओं का प्रयोग बुआई के तुरंत बाद और खरपतवार उगने से पहले किया जाता है (जैसे- पेंडीमेथलीन)।,Plant Protection,General,hi
जमाव पश्चात खरपतवारनाशी (Post-emergence) क्या हैं?,"इन दवाओं का प्रयोग खरपतवार उगने के बाद खड़ी फसल में किया जाता है (जैसे- 2,4-D, इमैजेथापायर)।",Plant Protection,General,hi
वर्णात्मक खरपतवारनाशी (Selective Herbicides) क्या हैं?,ये दवाएं केवल विशिष्ट खरपतवारों को मारती हैं और मुख्य फसल को नुकसान नहीं पहुँचातीं (जैसे- सल्फोसल्फ्यूरान)।,Plant Protection,General,hi
अवर्णात्मक खरपतवारनाशी (Non-selective Herbicides) क्या हैं?,"ये दवाएं संपर्क में आने वाले हर हरे पौधे को नष्ट कर देती हैं (जैसे- ग्लाइफोसेट, पैराक्वाट)।",Plant Protection,General,hi
पेंडीमेथलीन (Pendimethalin) का मुख्य उपयोग?,"यह धान, गेहूं और सब्जियों में बुआई के बाद खरपतवारों के बीजों को जमने से रोकने के लिए सबसे लोकप्रिय दवा है।",Plant Protection,General,hi
2,"4-D का उपयोग किन फसलों में करें?,यह मुख्य रूप से गेहूं और मक्का में चौड़ी पत्ती वाले खरपतवारों के नियंत्रण के लिए उपयोग किया जाता है।",Plant Protection,General,hi
एट्राजीन (Atrazine) का प्रयोग किस फसल में होता है?,यह मक्का और गन्ने में खरपतवार नियंत्रण के लिए एक बहुत प्रभावी जमाव पूर्व दवा है।,Plant Protection,General,hi
ग्लाइफोसेट (Glyphosate/Roundup) का उपयोग?,इसका उपयोग खाली खेतों या मेड़ों पर हर तरह के खरपतवार को जड़ से खत्म करने के लिए किया जाता है।,Plant Protection,General,hi
पैराक्वाट (Paraquat) क्या है?,"यह एक संपर्क खरपतवारनाशी है जो पौधों के हरे भाग को तुरंत जला देता है, यह जड़ों तक नहीं जाता।",Plant Protection,General,hi
सल्फोसल्फ्यूरान (Sulfosulfuron) का विशेष उपयोग?,गेहूं में गुल्ली डंडा (Phalaris minor) और चौड़ी पत्ती वाले खरपतवारों को मारने के लिए यह श्रेष्ठ है।,Plant Protection,General,hi
इमैजेथापायर (Imazethapyr/Pursuit) कब उपयोग करें?,"यह सोयाबीन, मूंग और उड़द जैसी दलहनी फसलों में खरपतवार नियंत्रण के लिए बहुत प्रभावी है।",Plant Protection,General,hi
मेट्रिब्यूजिन (Metribuzin/Sencor) का उपयोग कहाँ होता है?,"इसका उपयोग मुख्य रूप से आलू, टमाटर और गन्ने में खरपतवारों को रोकने के लिए किया जाता है।",Plant Protection,General,hi
खरपतवारनाशी छिड़कने का सही समय?,हमेशा पर्याप्त नमी वाले खेत में और हवा की गति कम होने पर छिड़काव करें।,Plant Protection,General,hi
क्या खरपतवारनाशी मिट्टी की उर्वरता को कम करते हैं?,"अत्यधिक प्रयोग से मिट्टी के मित्र सूक्ष्मजीवों पर बुरा असर पड़ सकता है, इसलिए संतुलित प्रयोग करें।",Plant Protection,General,hi
खरपतवारनाशकों के छिड़काव के लिए 'नोजल'?,इनके छिड़काव के लिए 'फ्लैट फैन' (Flat Fan) या 'फ्लड जेट' (Flood Jet) नोजल का ही प्रयोग करना चाहिए।,Plant Protection,General,hi
क्या खरपतवारनाशी को कीटनाशकों के साथ मिला सकते हैं?,आमतौर पर इन्हें नहीं मिलाना चाहिए क्योंकि इससे फसल पर जहरीला असर (Phytotoxicity) हो सकता है।,Plant Protection,General,hi
छिड़काव के समय मिट्टी में 'नमी' का महत्व?,बिना नमी के खरपतवारनाशी सही ढंग से काम नहीं करते और फसल को जला सकते हैं।,Plant Protection,General,hi
'ऑक्सीफ्लोरफेन' (Oxyfluorfen) का उपयोग?,यह प्याज और लहसुन में खरपतवार नियंत्रण के लिए एक बहुत प्रभावी दवा है।,Plant Protection,General,hi
खरपतवारनाशकों के लेबल पर 'नीला' निशान क्या बताता है?,नीला निशान 'मध्यम जहरीला' होने का संकेत देता है।,Plant Protection,General,hi
क्या खरपतवारनाशी इंसानों के लिए खतरनाक हैं?,"हाँ, ये जहरीले रसायन हैं। छिड़काव के समय दस्ताने, मास्क और सावधानी बरतना अनिवार्य है।",Plant Protection,General,hi
खरपतवारनाशकों का 'प्रतीक्षा काल' (Waiting Period)?,दवा के प्रयोग के बाद फसल की कटाई या चराई से पहले का वह समय जब तक दवा का असर बना रहता है।,Plant Protection,General,hi
क्या खरपतवारों में भी 'प्रतिरोध' (Resistance) आता है?,"हाँ, एक ही दवा बार-बार प्रयोग करने से खरपतवार उस दवा के प्रति प्रतिरोधी हो जाते हैं (जैसे- गेहूं का मामा)।",Plant Protection,General,hi
दवाओं का 'अदला-बदली' क्यों जरूरी है?,प्रतिरोध से बचने के लिए अलग-अलग रसायनों वाले खरपतवारनाशकों का बारी-बारी से प्रयोग करें।,Plant Protection,General,hi
खरपतवारनाशकों के खाली डिब्बों का क्या करें?,"डिब्बों को तोड़कर जमीन में गहरा दबा दें, इनका घर में उपयोग बिल्कुल न करें।",Plant Protection,General,hi
क्लोडिनाफॉप (Clodinafop) का उपयोग?,गेहूं में संकरी पत्ती वाले खरपतवारों (जैसे- गुल्ली डंडा) के नियंत्रण के लिए यह एक बहुत प्रसिद्ध दवा है।,Plant Protection,General,hi
मेटसल्फ्यूरान (Metsulfuron) का विशेष कार्य?,यह गेहूं में बहुत कम मात्रा (8 ग्राम/एकड़) में चौड़ी पत्ती वाले खरपतवारों को प्रभावी ढंग से मारता है।,Plant Protection,General,hi
'बिसोडेक' (Bispyribac-sodium) का उपयोग?,धान की सीधी बुआई और रोपाई में घास वर्गीय खरपतवारों को मारने के लिए यह श्रेष्ठ दवा है।,Plant Protection,General,hi
जमाव पूर्व दवाओं का छिड़काव कब तक कर देना चाहिए?,बुआई के 24 से 48 घंटे के भीतर ही छिड़काव करना सबसे अधिक प्रभावी होता है।,Plant Protection,General,hi
खरपतवारनाशकों के साथ 'चिपकने वाला' पदार्थ (Sticker)?,खड़ी फसल में छिड़काव करते समय स्टिकर मिलाने से दवा पत्तियों पर अच्छी तरह चिपक जाती है।,Plant Protection,General,hi
छिड़काव के समय 'हवा की दिशा'?,हमेशा हवा की दिशा में छिड़काव करें ताकि दवा पड़ोसी के खेत की फसल को नुकसान न पहुँचाए।,Plant Protection,General,hi
'प्रेटिलाक्लोर' (Pretilachlor) का उपयोग?,धान की रोपाई के 2-3 दिन के भीतर इसका प्रयोग खरपतवारों को उगने से रोकता है।,Plant Protection,General,hi
'बूटाक्लोर' (Butachlor/Machete) क्या है?,यह धान में उपयोग होने वाला एक पारंपरिक और प्रभावी खरपतवारनाशी है।,Plant Protection,General,hi
खरपतवारनाशकों के घोल की सांद्रता?,हमेशा पैक पर दी गई सिफारिश के अनुसार ही पानी और दवा की मात्रा मिलाएं।,Plant Protection,General,hi
क्या खरपतवारनाशी मिट्टी में लंबे समय तक बने रहते हैं?,"कुछ रसायनों का असर कई महीनों तक रह सकता है, जिससे अगली फसल पर बुरा असर पड़ सकता है।",Plant Protection,General,hi
खरपतवारनाशकों के भंडारण का सही तरीका?,"इन्हें बच्चों और पशुओं की पहुँच से दूर, ठंडी और सूखी जगह पर रखें।",Plant Protection,General,hi
जैविक खेती में खरपतवार नियंत्रण कैसे करें?,"जैविक खेती में रसायनों के बजाय हाथ से निराई, मल्चिंग और फसल चक्र का उपयोग किया जाता है।",Plant Protection,General,hi
क्या खरपतवारनाशी से फसल की पैदावार बढ़ती है?,"हाँ, खरपतवारों को नष्ट करने से फसल को पूरे पोषक तत्व मिलते हैं जिससे पैदावार 20-30% तक बढ़ सकती है।",Plant Protection,General,hi
'सिंचर' (Sencor) का उपयोग किस फसल में न करें?,"मेट्रिब्यूजिन का प्रयोग उन फसलों में न करें जिनके लिए यह अनुशंसित नहीं है, क्योंकि यह फसल जला सकती है।",Plant Protection,General,hi
खरपतवारों का 'आर्थिक नुकसान स्तर'?,जब खरपतवारों की संख्या इतनी बढ़ जाए कि उनसे होने वाला नुकसान दवा के खर्च से अधिक हो।,Plant Protection,General,hi
छिड़काव मशीन की 'सफाई' क्यों जरूरी है?,"एक फसल की दवा दूसरी फसल पर छिड़कने से फसल बर्बाद हो सकती है, इसलिए मशीन को साबुन से अच्छी तरह धोएं।",Plant Protection,General,hi
मेड़ों पर खरपतवार नियंत्रण का लाभ?,इससे कीटों और रोगों के वैकल्पिक आवास (Alternate hosts) खत्म हो जाते हैं।,Plant Protection,General,hi
खरपतवारनाशकों के पैकेट पर 'Exp Date'?,एक्सपायरी के बाद दवा काम नहीं करती और मिट्टी को अधिक नुकसान पहुँचा सकती है।,Plant Protection,General,hi
क्या खरपतवारनाशी केंचुओं को मारते हैं?,"कुछ रसायन केंचुओं के लिए हानिकारक हो सकते हैं, इसलिए रसायनों का कम से कम प्रयोग करें।",Plant Protection,General,hi
'टेंडम' (Tendem) खरपतवारनाशी क्या है?,यह दो अलग-अलग रसायनों का मिश्रण होता है जो अधिक प्रकार के खरपतवारों को एक साथ नियंत्रित करता है।,Plant Protection,General,hi
खरपतवारनाशकों के प्रयोग में किसानों के लिए मुख्य सलाह?,हमेशा सही खरपतवार की पहचान करें और सही मात्रा में ही दवा का उपयोग करें।,Plant Protection,General,hi
क्या खरपतवारनाशकों से बीज का जमाव प्रभावित होता है?,"यदि मात्रा सही न हो या गलत समय पर छिड़काव किया जाए, तो बीज का जमाव रुक सकता है।",Plant Protection,General,hi
