Question,Answer,Category,Crop,Language
गन्ने की खेती का परिचय क्या है?,गन्ना (Saccharum officinarum) भारत की सबसे प्रमुख नकदी फसल है। यह चीनी उद्योग का मुख्य आधार है और बिहार में बड़े पैमाने पर उगाया जाता है।,Crop,Sugarcane,hi
गन्ने के लिए उपयुक्त जलवायु?,गन्ने के लिए गर्म और आर्द्र जलवायु अच्छी है। फसल की वृद्धि के लिए 25-32°C तापमान और पकते समय शुष्क मौसम आदर्श है।,Crop,Sugarcane,hi
गन्ने की बुआई का सबसे अच्छा समय?,बिहार में गन्ने की बुआई दो बार की जाती है: शरद कालीन (अक्टूबर-नवंबर) और बसंत कालीन (फरवरी-मार्च)।,Crop,Sugarcane,hi
गन्ने की प्रति एकड़ बीज दर?,बुआई की विधि के आधार पर प्रति एकड़ 30 से 35 क्विंटल गन्ने के टुकड़ों (Setts) की आवश्यकता होती है।,Crop,Sugarcane,hi
गन्ने के बीज का उपचार (Sett Treatment) क्यों जरूरी है?,लाल सड़न (Red Rot) और अन्य फफूंद रोगों से बचाव के लिए टुकड़ों को कार्बेन्डाजिम (0.1%) के घोल में 15-20 मिनट भिगोना अनिवार्य है।,Crop,Sugarcane,hi
गन्ने की बुआई की 'ट्रेंच' (Trench) विधि क्या है?,इसमें 20-25 सेमी गहरी नालियां बनाई जाती हैं और उनमें गन्ने बोए जाते हैं। इससे सिंचाई आसान होती है और फसल गिरती नहीं है।,Crop,Sugarcane,hi
बुआई के समय पंक्तियों के बीच की दूरी?,शरद कालीन गन्ने के लिए 90-120 सेमी और बसंत कालीन के लिए 75-90 सेमी की दूरी रखनी चाहिए।,Crop,Sugarcane,hi
गन्ने में 'मिट्टी चढ़ाना' (Earthing up) कब करें?,"बुआई के 90 से 120 दिन बाद जब पौधे बड़े हो जाएं, तब मिट्टी चढ़ानी चाहिए ताकि जड़ों को मजबूती मिले और जल निकास सुधरे।",Crop,Sugarcane,hi
गन्ने में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 60-80 किग्रा नाइट्रोजन, 30-40 किग्रा फास्फोरस और 30 किग्रा पोटाश की आवश्यकता होती है।",Crop,Sugarcane,hi
गन्ने में 'पोटाश' का क्या महत्व है?,"पोटाश गन्ने में चीनी की मात्रा (Sucrose) बढ़ाने, तने को मजबूत करने और सूखे से लड़ने की शक्ति देता है।",Crop,Sugarcane,hi
