Question,Answer,Category,Crop,Language
हल्दी की खेती का परिचय क्या है?,हल्दी (Curcuma longa) भारत की एक अत्यंत महत्वपूर्ण मसाला और औषधीय फसल है। यह अपने 'करक्यूमिन' (Curcumin) तत्व के कारण रंग और स्वास्थ्य लाभों के लिए प्रसिद्ध है।,Crop,Turmeric,hi
हल्दी के लिए उपयुक्त जलवायु?,हल्दी के लिए गर्म और आर्द्र जलवायु अच्छी है। 20-30°C तापमान और पर्याप्त वर्षा इसके विकास के लिए आदर्श है।,Crop,Turmeric,hi
हल्दी की बुआई का सही समय?,बिहार में हल्दी की बुआई मुख्य रूप से मई के मध्य से जून के अंत तक की जाती है।,Crop,Turmeric,hi
हल्दी की प्रति एकड़ बीज (प्रकंद) दर?,प्रति एकड़ लगभग 8 से 10 क्विंटल स्वस्थ हल्दी के प्रकंदों (Rhizomes) की आवश्यकता होती है।,Crop,Turmeric,hi
हल्दी के बीजों (प्रकंदों) का चयन कैसे करें?,"हमेशा 1-2 साल पुरानी, स्वस्थ, बिना कटी-फटी और कम से कम 2-3 आंखों वाली 'मदर राइजोम' का चुनाव करें।",Crop,Turmeric,hi
हल्दी की बुआई की विधि क्या है?,हल्दी को मेड़ों (Ridges) या ऊँची क्यारियों (Raised beds) पर बोना चाहिए। पंक्तियों की दूरी 30-45 सेमी और प्रकंद की दूरी 20-25 सेमी रखें।,Crop,Turmeric,hi
हल्दी के लिए कैसी मिट्टी सबसे अच्छी है?,"अच्छी जल निकासी वाली उपजाऊ दोमट या बलुई दोमट मिट्टी जिसमें प्रचुर मात्रा में कार्बनिक पदार्थ हों, हल्दी के लिए श्रेष्ठ है।",Crop,Turmeric,hi
हल्दी में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 40-50 किग्रा नाइट्रोजन, 30-40 किग्रा फास्फोरस और 30-40 किग्रा पोटाश की आवश्यकता होती है।",Crop,Turmeric,hi
हल्दी में 'पोटाश' का क्या महत्व है?,"पोटाश प्रकंदों के आकार, रंग और करक्यूमिन की मात्रा बढ़ाने के साथ-साथ पौधों को रोगों से बचाने में मदद करता है।",Crop,Turmeric,hi
हल्दी में सिंचाई का सही तरीका?,"हल्दी को नियमित सिंचाई की जरूरत होती है, विशेषकर प्रकंद बनते समय। जल भराव हल्दी के लिए बहुत हानिकारक है।",Crop,Turmeric,hi
