Question,Answer,Category,Crop,Language
कृषि अर्थशास्त्र (Agri Economics) का महत्व क्या है?,"यह किसानों को सीमित संसाधनों (जमीन, पैसा, पानी) का उपयोग करके अधिकतम लाभ कमाने और लागत घटाने में मदद करता है।",Business,Economics,hi
खेती की 'निश्चित लागत' (Fixed Cost) क्या है?,"वे खर्चे जो फसल हो या न हो, देने ही पड़ते हैं, जैसे- जमीन का लगान, मशीनों का बीमा और स्थाई मजदूरी।",Business,Economics,hi
खेती की 'परिवर्तनशील लागत' (Variable Cost) क्या है?,"वे खर्चे जो फसल और उत्पादन के अनुसार बदलते हैं, जैसे- बीज, खाद, डीजल और सिंचाई का खर्च।",Business,Economics,hi
शुद्ध लाभ (Net Profit) कैसे निकालें?,कुल कमाई (Gross Revenue) में से कुल लागत (Total Cost) को घटाने पर प्राप्त राशि शुद्ध लाभ कहलाती है।,Business,Economics,hi
'अवसर लागत' (Opportunity Cost) क्या है?,एक फसल उगाने के बदले छोड़ी गई दूसरी सबसे अच्छी फसल से होने वाला संभावित लाभ ही अवसर लागत है।,Business,Economics,hi
'रिटर्न ऑन इन्वेस्टमेंट' (ROI) क्या है?,यह बताता है कि निवेश किए गए हर 1 रुपये पर किसान को कितने रुपये का मुनाफा हुआ। यह बिजनेस की सफलता का मुख्य पैमाना है।,Business,Economics,hi
खेती में 'पूंजी' (Capital) का प्रबंधन कैसे करें?,हमेशा बुआई से पहले बजट बनाएं और आपात स्थिति के लिए कुल बजट का 10-15% हिस्सा अलग सुरक्षित रखें।,Business,Economics,hi
'ऋण' (Credit) लेते समय किन बातों का ध्यान रखें?,"ब्याज की दर, चुकाने की अवधि और सरकारी सब्सिडी वाली योजनाओं (जैसे- KCC) को प्राथमिकता दें।",Business,Economics,hi
'किफायती खेती' (Cost-Effective Farming) कैसे करें?,"मिट्टी परीक्षण के आधार पर खाद डालें, घर का बीज उपयोग करें और मशीनों को साझा (Sharing) करें।",Business,Economics,hi
'मूल्य ह्रास' (Depreciation) का हिसाब?,"ट्रैक्टर और यंत्रों की कीमत हर साल घटती है, इस घाटे को लागत में जोड़ना सही अकाउंटिंग के लिए जरूरी है।",Business,Economics,hi
'बाजार मूल्य' (Market Price) और 'एमएसपी' (MSP) में अंतर?,"एमएसपी सरकार द्वारा गारंटीकृत न्यूनतम मूल्य है, जबकि बाजार मूल्य मांग और आपूर्ति के आधार पर बदलता रहता है।",Business,Economics,hi
खेती में 'जोखिम का प्रबंधन' (Risk Management)?,"फसल बीमा कराना, मिश्रित खेती अपनाना और एक साथ कई तरह की फसलें उगाना जोखिम कम करता है।",Business,Economics,hi
'मांग और आपूर्ति' (Demand and Supply) का नियम?,"जब बाजार में फसल अधिक आती है (आपूर्ति ज्यादा), तो भाव गिर जाते हैं। मांग अधिक होने पर भाव बढ़ जाते हैं।",Business,Economics,hi
'ऑफ-सीजन' बिक्री का लाभ?,"फसल को तुरंत बेचने के बजाय भंडारित करके तब बेचना जब बाजार में उसकी कमी हो, अधिक मुनाफा देता है।",Business,Economics,hi
'वैल्यू एडिशन' (Value Addition) से कितनी आय बढ़ती है?,उत्पाद को प्रोसेस करके (जैसे- गेहूं से मैदा) बेचने से लाभ 20% से 50% तक बढ़ सकता है।,Business,Economics,hi
'पैमाने की अर्थव्यवस्था' (Economy of Scale)?,बड़े क्षेत्रफल में एक साथ खेती करने से प्रति एकड़ लागत कम हो जाती है क्योंकि संसाधनों का बेहतर उपयोग होता है।,Business,Economics,hi
एफपीओ (FPO) का आर्थिक लाभ?,थोक में खाद-बीज खरीदने पर छूट मिलती है और सामूहिक बिक्री से बाजार में बेहतर भाव प्राप्त होता है।,Business,Economics,hi
'अनुबंध खेती' (Contract Farming) के आर्थिक फायदे?,"किसान को फसल के भाव की गारंटी पहले ही मिल जाती है, जिससे बाजार के उतार-चढ़ाव का डर खत्म हो जाता है।",Business,Economics,hi
खेती में 'मजदूरी' (Labor Cost) को कैसे नियंत्रित करें?,समय पर मशीनीकरण अपनाकर और परिवार के सदस्यों के श्रम का सही नियोजन करके।,Business,Economics,hi
'क्रेडिट स्कोर' (CIBIL Score) का किसान के लिए महत्व?,अच्छा क्रेडिट स्कोर होने पर बैंक से आसानी से और कम ब्याज पर बड़े लोन मिल सकते हैं।,Business,Economics,hi
'ब्रेक-ईवन पॉइंट' (Break-even Point) क्या है?,"वह बिंदु जहाँ किसान की कुल लागत और कुल कमाई बराबर हो जाती है (न लाभ, न हानि)। इसके बाद होने वाली हर कमाई मुनाफा है।",Business,Economics,hi
खेती में 'पशुपालन' एक आर्थिक सुरक्षा कवच कैसे है?,"फसल खराब होने की स्थिति में दूध, अंडे या मांस की बिक्री से होने वाली नियमित आय किसान का सहारा बनती है।",Business,Economics,hi
'बिचौलियों' (Middlemen) का आर्थिक प्रभाव?,बिचौलिये अक्सर किसान के मुनाफे का 30-40% हिस्सा कमीशन के रूप में ले लेते हैं। ई-नाम (e-NAM) इससे बचने का तरीका है।,Business,Economics,hi
'ब्रांडिंग' पर निवेश करना क्या सही है?,"हाँ, एक विश्वसनीय ब्रांड बनने के बाद आप अपने उत्पाद को बाजार भाव से 10-20% अधिक पर बेच सकते हैं।",Business,Economics,hi
'कोल्ड स्टोरेज' का किराया बनाम लाभ?,कोल्ड स्टोरेज का किराया देने के बाद भी फसल को ऊँचे भाव पर बेचने से होने वाला लाभ कहीं अधिक होता है।,Business,Economics,hi
क्या खेती में 'बजट' (Budgeting) बनाना जरूरी है?,"हाँ, हर सीजन की शुरुआत में खर्चों और संभावित आय का लिखित हिसाब रखना ही सफल बिजनेस है।",Business,Economics,hi
'इनपुट सब्सिडी' (Input Subsidy) क्या है?,"सरकार द्वारा बीज, खाद और मशीनों पर दी जाने वाली आर्थिक मदद जो किसान की लागत को कम करती है।",Business,Economics,hi
'उत्पादकता' (Productivity) और 'उत्पादन' (Production) में अंतर?,"उत्पादन कुल पैदावार है, जबकि उत्पादकता प्रति एकड़ या प्रति इकाई होने वाली पैदावार है।",Business,Economics,hi
'विपणन योग्य अधिशेष' (Marketable Surplus)?,अपनी घरेलू जरूरतों के लिए अनाज रखने के बाद बचा हुआ वह हिस्सा जिसे किसान बाजार में बेचता है।,Business,Economics,hi
खेती में 'नकद प्रवाह' (Cash Flow) का प्रबंधन?,सब्जियों जैसी फसलें लगाएं जो हर दूसरे-तीसरे दिन नकद आय दें ताकि रोजमर्रा के खर्चे पूरे हो सकें।,Business,Economics,hi
'कृषि स्टार्टअप' में निवेश के अवसर?,"नौजवान किसान एआई, ड्रोन और आधुनिक प्रोसेसिंग यूनिट्स में निवेश करके खेती को आधुनिक बिजनेस बना सकते हैं।",Business,Economics,hi
'वेयरहाउस रसीद' (Warehouse Receipt) पर लोन?,गोदाम में रखी फसल की रसीद दिखाकर बैंक से कम ब्याज पर तुरंत कर्ज लिया जा सकता है।,Business,Economics,hi
'फसल विविधीकरण' (Crop Diversification) का अर्थशास्त्र?,केवल पारंपरिक फसलों पर निर्भर न रहकर नकदी फसलों और फलों की खेती से आय को कई गुना बढ़ाना।,Business,Economics,hi
'मार्केट इंटेलिजेंस' (Market Intelligence) क्या है?,बाजार की भविष्य की मांग और भावों का सही अंदाजा लगाकर उसके अनुसार बुआई की योजना बनाना।,Business,Economics,hi
'सप्लाई चेन' (Supply Chain) को छोटा करने के लाभ?,खेत से सीधे ग्राहक तक उत्पाद पहुँचाने से बिचौलियों का कमीशन बचता है और मुनाफा सीधे किसान को मिलता है।,Business,Economics,hi
'गुणवत्ता प्रमाणन' (Certification) का आर्थिक मूल्य?,जैविक या FSSAI प्रमाण पत्र होने पर उत्पादों की मांग बड़े शहरों और विदेशों में अधिक होती है।,Business,Economics,hi
'मशीनों का साझा उपयोग' (Machine Sharing) क्यों किफायती है?,ट्रैक्टर जैसी महंगी मशीनों को अकेले खरीदने के बजाय समूहों में उपयोग करना निवेश के बोझ को कम करता है।,Business,Economics,hi
'कृषि निर्यात' (Export) के लिए आवश्यक वित्तीय तैयारी?,"निर्यात के लिए गुणवत्ता मानकों पर अधिक खर्च हो सकता है, लेकिन विदेशी मुद्रा में होने वाली आय बहुत अधिक होती है।",Business,Economics,hi
खेती में 'बचत' (Savings) का महत्व?,हर फसल के मुनाफे का एक हिस्सा बैंक में जमा करना चाहिए ताकि भविष्य के बड़े निवेश (जैसे- ट्यूबवेल या नया ट्रैक्टर) किए जा सकें।,Business,Economics,hi
'प्रधानमंत्री फसल बीमा योजना' (PMFBY) की आर्थिक उपयोगिता?,यह प्राकृतिक आपदाओं के समय किसान की पूरी लागत की भरपाई करके उसे कर्ज के जाल से बचाती है।,Business,Economics,hi
'सहकारी विपणन' (Cooperative Marketing) क्या है?,किसानों का समूह मिलकर अपनी उपज को एक साथ बेचता है ताकि बड़े व्यापारियों से बेहतर भाव मिल सके।,Business,Economics,hi
'मृदा स्वास्थ्य कार्ड' से होने वाली आर्थिक बचत?,उर्वरकों के संतुलित प्रयोग से किसान प्रति एकड़ 2000 से 5000 रुपये तक की बचत कर सकते हैं।,Business,Economics,hi
खेती में 'प्रसंस्करण' (Processing) इकाई लगाने का जोखिम?,"शुरुआती निवेश अधिक हो सकता है, लेकिन सही मार्केटिंग होने पर यह 2-3 साल में पूरी लागत वसूल कर लेता है।",Business,Economics,hi
'कृषि पर्यटन' (Agri-tourism) से होने वाली अतिरिक्त आय?,शहरों के पास स्थित खेतों को पिकनिक स्पॉट के रूप में विकसित करना आय का एक नया और बेहतरीन स्रोत है।,Business,Economics,hi
