Question,Answer,Category,Crop,Language
फूलों की खेती (Floriculture) का परिचय क्या है?,"फूलों को व्यावसायिक उद्देश्यों (सजावट, पूजा, इत्र) के लिए उगाना फूलों की खेती है। यह पारंपरिक फसलों की तुलना में बहुत अधिक मुनाफा देती है।",Business,Floriculture,hi
बिहार में किन फूलों की खेती अधिक होती है?,"मुख्य रूप से गेंदा (Marigold), गुलाब, रजनीगंधा (Tuberose) और ग्लैडियोलस की खेती अधिक की जाती है।",Business,Floriculture,hi
गेंदा (Marigold) की खेती के लिए सबसे अच्छा समय?,"गेंदा साल में तीन बार बोया जा सकता है: मानसून (जून-जुलाई), सर्दी (सितंबर-अक्टूबर) और गर्मी (जनवरी-फरवरी)।",Business,Floriculture,hi
गेंदा की प्रति एकड़ बीज दर?,नर्सरी तैयार करने के लिए लगभग 600-800 ग्राम बीज प्रति एकड़ पर्याप्त होता है।,Business,Floriculture,hi
रजनीगंधा (Tuberose) की खेती कैसे करें?,इसे इसके कंदों (Bulbs) के माध्यम से लगाया जाता है। फरवरी-मार्च का समय इसकी बुआई के लिए सबसे अच्छा है।,Business,Floriculture,hi
गुलाब (Rose) की खेती के लिए 'ग्राफ्टिंग'?,व्यावसायिक खेती के लिए हमेशा 'बडिंग' (Grafting) किए हुए उन्नत किस्म के पौधों का ही चुनाव करें।,Business,Floriculture,hi
ग्लैडियोलस (Gladiolus) की क्या विशेषता है?,यह एक लोकप्रिय कट-फ्लावर (Cut flower) है जिसका उपयोग गुलदस्तों और सजावट में होता है। इसे सर्दियों में उगाया जाता है।,Business,Floriculture,hi
फूलों के लिए कैसी मिट्टी सबसे अच्छी है?,"अच्छी जल निकासी वाली उपजाऊ दोमट मिट्टी जिसका पीएच 6.5 से 7.5 हो, फूलों के लिए श्रेष्ठ है।",Business,Floriculture,hi
फूलों में खाद और उर्वरक की मात्रा?,"फूलों को भरपूर गोबर की खाद, वर्मीकम्पोस्ट और संतुलित एनपीके (19:19:19) की जरूरत होती है।",Business,Floriculture,hi
फूलों में 'पोटाश' का क्या महत्व है?,"पोटाश फूलों के रंग को गहरा बनाता है, डंठल को मजबूत करता है और फूलों की ताजगी (Vase life) बढ़ाता है।",Business,Floriculture,hi
फूलों में सिंचाई का सही तरीका?,फूलों को नियमित और हल्की सिंचाई की जरूरत होती है। ड्रिप सिंचाई फूलों की गुणवत्ता के लिए सबसे अच्छी है।,Business,Floriculture,hi
गेंदा में 'पिंचिंग' (Pinching) क्या है?,पौधे के ऊपरी सिरे को तोड़ना ताकि अधिक शाखाएं निकलें और फूलों की संख्या बढ़ जाए। यह 30-40 दिन की अवस्था पर किया जाता है।,Business,Floriculture,hi
फूलों की तुड़ाई (Harvesting) कब करें?,"खुले फूलों (गेंदा) को पूरी तरह खिलने पर और कट-फ्लावर्स (गुलाब, रजनीगंधा) को कली की अवस्था में सुबह जल्दी तोड़ें।",Business,Floriculture,hi
फूलों की औसत उपज कितनी होती है?,गेंदा से प्रति एकड़ 80-100 क्विंटल और रजनीगंधा से 1.5 से 2 लाख स्टिक्स प्रति एकड़ प्राप्त की जा सकती हैं।,Business,Floriculture,hi
फूलों की प्रमुख उन्नत किस्में?,"गेंदा में पूसा नारंगी, पूसा बसंती; रजनीगंधा में प्रज्वल, सुहासिनी और गुलाब में फर्स्ट प्राइज प्रसिद्ध हैं।",Business,Floriculture,hi
फूलों के भंडारण और पैकेजिंग?,फूलों को ठंडे स्थान पर रखें। गेंदा को जूट के बोरों में और स्टिक्स को कार्डबोर्ड बॉक्स में पैक करें।,Business,Floriculture,hi
फूलों की खेती में सबसे बड़ी चुनौती?,फूलों का जल्दी खराब होना (Perishable nature) और बाजार भाव में बहुत अधिक उतार-चढ़ाव।,Business,Floriculture,hi
क्या फूलों की खेती के लिए सरकारी सब्सिडी मिलती है?,"हाँ, 'एकीकृत बागवानी विकास मिशन' के तहत फूलों के बीज, पॉलीहाउस और कोल्ड स्टोरेज पर 40-50% अनुदान मिलता है।",Business,Floriculture,hi
फूलों की मार्केटिंग कैसे करें?,"स्थानीय मंडियों, मंदिर परिसरों, फूलों की दुकानों या सीधे इवेंट प्लानर्स को बेचकर अधिक लाभ कमाया जा सकता है।",Business,Floriculture,hi
बिहार में फूलों की खेती के प्रमुख केंद्र?,"नालंदा, वैशाली, मुजफ्फरपुर और पटना के आसपास के क्षेत्रों में फूलों की बड़े पैमाने पर खेती होती है।",Business,Floriculture,hi
रजनीगंधा की 'सिंगल' और 'डबल' किस्मों में अंतर?,"सिंगल किस्में अधिक सुगंधित होती हैं और इत्र के लिए अच्छी हैं, जबकि डबल किस्में सजावट के लिए उपयोग होती हैं।",Business,Floriculture,hi
फूलों में 'थ्रिप्स' कीट का प्रबंधन?,नीम तेल या अनुशंसित कीटनाशक का छिड़काव कलियों और फूलों पर करें।,Business,Floriculture,hi
