Question,Answer,Category,Crop,Language
कीटनाशक (Insecticides) क्या होते हैं?,ये वे रसायन या जैविक पदार्थ हैं जो फसलों को नुकसान पहुँचाने वाले कीटों (Insects) को मारने या उन्हें दूर भगाने के लिए उपयोग किए जाते हैं।,Plant Protection,Insecticides,hi
रस चूसने वाले कीटों (Sucking Pests) के लिए कौन से कीटनाशक अच्छे हैं?,"इनके लिए प्रणालीगत (Systemic) कीटनाशक जैसे इमिडाक्लोप्रिड, थायोमिथोक्सम और एसिटामिप्रिड सबसे प्रभावी होते हैं।",Plant Protection,Insecticides,hi
चबाने वाले कीटों (Chewing Pests) के लिए कीटनाशक?,इल्लियों और टिड्डों जैसे कीटों के लिए संपर्क और पेट विष (Stomach poison) दवाएं जैसे इमामेक्टिन बेंजोएट और स्पिनोसाड अच्छी हैं।,Plant Protection,Insecticides,hi
इमिडाक्लोप्रिड (Imidacloprid) का मुख्य कार्य क्या है?,"यह एफिड्स, सफेद मक्खी, थ्रिप्स और जैसिड्स जैसे रस चूसने वाले कीटों के नियंत्रण के लिए एक बहुत शक्तिशाली प्रणालीगत दवा है।",Plant Protection,Insecticides,hi
थायोमिथोक्सम (Thiamethoxam) कब उपयोग करें?,यह बीज उपचार और खड़ी फसल में सफेद मक्खी व अन्य चूसने वाले कीटों के लिए बहुत प्रभावी है।,Plant Protection,Insecticides,hi
क्लोरपायरीफॉस (Chlorpyrifos) का विशेष उपयोग?,इसका उपयोग मुख्य रूप से मिट्टी के कीटों जैसे दीमक (Termites) और सफेद ग्रब (White grub) के नियंत्रण के लिए किया जाता है।,Plant Protection,Insecticides,hi
इमामेक्टिन बेंजोएट (Emamectin Benzoate) किसके लिए है?,"यह मक्का के फाल आर्मीवर्म, चने की इल्ली और सब्जियों के फल छेदक कीटों के लिए सबसे अच्छी दवाओं में से एक है।",Plant Protection,Insecticides,hi
स्पिनोसाड (Spinosad) की क्या विशेषता है?,यह एक जैविक रूप से तैयार कीटनाशक है जो इल्लियों और थ्रिप्स पर बहुत प्रभावी है और पर्यावरण के लिए तुलनात्मक रूप से सुरक्षित है।,Plant Protection,Insecticides,hi
क्लोरेंट्रानिलिप्रोल (Coragen) का मुख्य कार्य?,यह गन्ने और धान के तना छेदक कीटों के लिए लंबे समय तक सुरक्षा देने वाला एक आधुनिक कीटनाशक है।,Plant Protection,Insecticides,hi
रिजेंट (Fipronil) का उपयोग कहाँ होता है?,यह थ्रिप्स और मिट्टी के कीटों के नियंत्रण के लिए बहुत प्रभावी है। यह दानेदार और तरल दोनों रूपों में आता है।,Plant Protection,Insecticides,hi
प्रोफेनोफॉस (Profenofos) की क्या भूमिका है?,यह एक संपर्क और पेट विष कीटनाशक है जो सुंडियों और मिली बग (Mealy bug) के नियंत्रण के लिए उपयोग होता है।,Plant Protection,Insecticides,hi
नीम तेल (Neem Oil) कीटनाशक के रूप में?,यह एक सुरक्षित जैविक कीटनाशक है जो कीटों को भोजन करने और अंडे देने से रोकता है (Antifeedant)।,Plant Protection,Insecticides,hi
कीटनाशकों के पैकेट पर 'लाल' निशान क्या दर्शाता है?,लाल निशान का मतलब है 'अत्यधिक जहरीला' (Extremely Toxic)। इसका उपयोग बहुत ही सावधानी से करना चाहिए।,Plant Protection,Insecticides,hi
'पीला' निशान कीटनाशक पर क्या बताता है?,पीला निशान 'अत्यधिक जहरीला' (Highly Toxic) होने का संकेत देता है।,Plant Protection,Insecticides,hi
'हरा' निशान वाला कीटनाशक?,यह 'सबसे कम जहरीला' (Slightly toxic) माना जाता है और पर्यावरण के लिए तुलनात्मक रूप से सुरक्षित होता है।,Plant Protection,Insecticides,hi
बीज उपचार (Seed Treatment) के लिए कीटनाशक की मात्रा?,आमतौर पर 3 से 5 मिली या ग्राम प्रति किग्रा बीज के लिए पर्याप्त होता है।,Plant Protection,Insecticides,hi
कीटनाशक छिड़कते समय सुरक्षा के उपाय?,"हमेशा मास्क, दस्ताने और पूरी आस्तीन के कपड़े पहनें। छिड़काव के दौरान धूम्रपान या भोजन न करें।",Plant Protection,Insecticides,hi
कीटनाशकों का 'प्रतीक्षा काल' (Waiting Period) क्या है?,दवा छिड़कने और फसल की तुड़ाई के बीच का समय ताकि रसायनों का जहरीला असर खत्म हो जाए।,Plant Protection,Insecticides,hi
क्या कीटनाशकों को फफूंदनाशकों के साथ मिला सकते हैं?,"अधिकांश कीटनाशकों को फफूंदनाशकों के साथ मिलाया जा सकता है, लेकिन पोटाश या सल्फर के साथ मिलाते समय सावधानी बरतें।",Plant Protection,Insecticides,hi
कीटनाशकों के घोल की सांद्रता (Concentration)?,आमतौर पर 0.5 मिली से 2 मिली दवा प्रति लीटर पानी में मिलाई जाती है।,Plant Protection,Insecticides,hi
कीटनाशकों के अधिक प्रयोग से नुकसान?,"इससे कीटों में प्रतिरोधक क्षमता (Resistance) बढ़ती है, मित्र कीट मर जाते हैं और वातावरण प्रदूषित होता है।",Plant Protection,Insecticides,hi
मित्र कीट (Beneficial Insects) क्या हैं?,लेडीबर्ड बीटल और ड्रैगनफ्लाई जैसे कीट जो शत्रु कीटों को खाकर किसान की मदद करते हैं।,Plant Protection,Insecticides,hi
क्या कीटनाशक मधुमक्खियों के लिए खतरनाक हैं?,"हाँ, अधिकांश कीटनाशक मधुमक्खियों के लिए बहुत जहरीले होते हैं। फूल आने के समय छिड़काव से बचें।",Plant Protection,Insecticides,hi
'एक्यूरेट' (Acetamiprid) का उपयोग?,यह कपास और सब्जियों में सफेद मक्खी व एफिड्स के नियंत्रण के लिए एक बहुत अच्छी दवा है।,Plant Protection,Insecticides,hi
कीटनाशकों का 'पर्णीय छिड़काव' (Foliar Spray)?,दवा को पानी में घोलकर पत्तियों पर छिड़कने की विधि को पर्णीय छिड़काव कहते हैं।,Plant Protection,Insecticides,hi
दानेदार कीटनाशक (Granular Insecticides) क्या हैं?,"ये दाने के रूप में होते हैं जिन्हें मिट्टी में डाला जाता है (जैसे- कार्बोफ्यूरान, फिपरोनिल), ये जड़ों के माध्यम से काम करते हैं।",Plant Protection,Insecticides,hi
कीटनाशकों के लेबल पर 'नीला' निशान?,नीला निशान 'मध्यम जहरीला' (Moderately Toxic) होने का संकेत देता है।,Plant Protection,Insecticides,hi
इमिडाक्लोप्रिड की 17.8% और 70% मात्रा में क्या अंतर है?,70% वाला दानेदार या पाउडर रूप में होता है और इसकी बहुत कम मात्रा की जरूरत होती है।,Plant Protection,Insecticides,hi
क्या कीटनाशक इंसानों के स्वास्थ्य पर असर डालते हैं?,"हाँ, लंबे समय तक रसायनों के संपर्क में रहने से त्वचा, फेफड़ों और तंत्रिका तंत्र की समस्याएं हो सकती हैं।",Plant Protection,Insecticides,hi
कीटनाशकों के खाली डिब्बों का सुरक्षित निपटान?,"डिब्बों को तोड़ दें और उन्हें जमीन में गहरा दबा दें, कभी भी इन्हें घरेलू काम में न लाएं।",Plant Protection,Insecticides,hi
डाइमेथोएट (Dimethoate/Rogor) का उपयोग?,यह एक पुराना लेकिन प्रभावी प्रणालीगत कीटनाशक है जो कई तरह के चूसने वाले कीटों को नियंत्रित करता है।,Plant Protection,Insecticides,hi
कीटनाशकों के साथ 'चिपकने वाला' (Spreader/Sticker) क्यों उपयोग करें?,ताकि दवा पत्तियों की सतह पर समान रूप से फैल जाए और बारिश से न धुले।,Plant Protection,Insecticides,hi
