Question,Answer,Category,Crop,Language
सरसों की खेती का परिचय क्या है?,सरसों (Brassica juncea) रबी मौसम की एक प्रमुख तिलहन फसल है। भारत में खाद्य तेल की आपूर्ति में इसका बड़ा योगदान है।,Crop,Mustard,hi
सरसों के लिए उपयुक्त जलवायु कैसी होनी चाहिए?,सरसों के लिए ठंडी और शुष्क जलवायु की आवश्यकता होती है। बुआई के समय 25-30°C और वृद्धि के समय 15-20°C तापमान आदर्श है।,Crop,Mustard,hi
सरसों की बुआई का सबसे अच्छा समय क्या है?,बिहार और उत्तर भारत में सरसों की बुआई 15 सितंबर से 31 अक्टूबर तक कर लेनी चाहिए।,Crop,Mustard,hi
पछेती सरसों की बुआई कब तक की जा सकती है?,"पछेती बुआई 15 नवंबर तक की जा सकती है, लेकिन इससे माहू (Aphids) का प्रकोप बढ़ने का खतरा रहता है।",Crop,Mustard,hi
सरसों के लिए कैसी मिट्टी सबसे अच्छी होती है?,सरसों के लिए उपजाऊ दोमट या बलुई दोमट मिट्टी सबसे अच्छी होती है। इसमें जल निकासी का उचित प्रबंध होना चाहिए।,Crop,Mustard,hi
सरसों के खेत की तैयारी कैसे करें?,खेत की एक गहरी जुताई और दो-तीन बार हल्की जुताई करके पाटा चलाएं ताकि मिट्टी भुरभुरी और समतल हो जाए।,Crop,Mustard,hi
सरसों की प्रति एकड़ बीज दर क्या है?,प्रति एकड़ 1.5 से 2 किग्रा बीज पर्याप्त होता है। हाइब्रिड किस्मों के लिए 1 किग्रा बीज काफी है।,Crop,Mustard,hi
सरसों का बीज उपचार कैसे करें?,बीज को थायरम या कार्बेन्डाजिम 2.5 ग्राम प्रति किग्रा बीज की दर से उपचारित करें ताकि मिट्टी जनित रोगों से बचाव हो सके।,Crop,Mustard,hi
सरसों की बुआई की कौन सी विधि श्रेष्ठ है?,पंक्तियों में बुआई करना सबसे अच्छा है। सीड ड्रिल या हल के पीछे पंक्तियों में बुआई करें।,Crop,Mustard,hi
सरसों की बुआई के समय दूरी क्या रखें?,पंक्ति से पंक्ति की दूरी 30 सेमी और पौधे से पौधे की दूरी 10-15 सेमी रखनी चाहिए।,Crop,Mustard,hi
सरसों में 'विरलीकरण' (Thinning) क्या है?,बुआई के 15-20 दिन बाद घने पौधों को उखाड़कर निश्चित दूरी बनाना विरलीकरण कहलाता है। यह अच्छी उपज के लिए बहुत जरूरी है।,Crop,Mustard,hi
सरसों में खाद और उर्वरक की कितनी मात्रा डालें?,"प्रति एकड़ 40 किग्रा यूरिया, 50 किग्रा एसएसपी और 15-20 किग्रा पोटाश की आवश्यकता होती है।",Crop,Mustard,hi
