Question,Answer,Category,Crop,Language
आम (Mango) के बाग लगाने का सही समय क्या है?,आम के पौधे लगाने का सबसे अच्छा समय मानसून की शुरुआत (जून-जुलाई) या अगस्त-सितंबर है।,Crop,Mango,hi
आम की प्रमुख किस्में कौन सी हैं?,"बिहार के लिए जर्दालू, दूधिया मालदा, बंबई, दशहरी और आम्रपाली बहुत अच्छी किस्में हैं।",Crop,Mango,hi
लीची (Litchi) की खेती के लिए बिहार का कौन सा जिला प्रसिद्ध है?,मुजफ्फरपुर जिला अपनी 'शाही लीची' के लिए पूरी दुनिया में मशहूर है।,Crop,Litchi,hi
लीची में 'फल फटना' (Fruit Cracking) कैसे रोकें?,फल आने के समय नियमित सिंचाई करें और अप्रैल-मई में बोरॉन (0.2%) का छिड़काव करें।,Crop,Litchi,hi
केले (Banana) की रोपाई के लिए कौन सी विधि श्रेष्ठ है?,केले के लिए 'टिश्यू कल्चर' (Tissue Culture) पौधों का उपयोग करना सबसे अच्छा है क्योंकि ये रोगमुक्त और एक समान बढ़ते हैं।,Crop,Banana,hi
केले में 'पनामा विल्ट' का प्रबंधन कैसे करें?,"संक्रमित पौधों को नष्ट करें, जल निकास सुधारें और मिट्टी में ट्राइकोडर्मा का प्रयोग करें।",Crop,Banana,hi
पपीता (Papaya) की खेती में नर और मादा पौधों का क्या महत्व है?,फल लगने के लिए मादा या उभयलिंगी पौधों की जरूरत होती है। बाग में 10% नर पौधे परागण के लिए होने चाहिए।,Crop,Papaya,hi
पपीते में 'मोजेक' वायरस का फैलाव कैसे रोकें?,यह कीटों (एफिड्स) द्वारा फैलता है। प्रभावित पौधों को उखाड़ दें और कीटनाशक का छिड़काव करें।,Crop,Papaya,hi
अमरूद (Guava) की 'इलाहाबादी सफेदा' किस्म की क्या खासियत है?,"इसके फल बड़े, गोल, सफेद गूदे वाले और बहुत मीठे होते हैं। यह व्यापारिक दृष्टि से बहुत लाभदायक है।",Crop,Guava,hi
अमरूद में 'उकठा' (Wilt) रोग का क्या उपचार है?,"यह एक गंभीर समस्या है। मिट्टी का उपचार करें, रोग प्रतिरोधी मूलवृंत (Rootstock) का प्रयोग करें और ट्राइकोडर्मा का उपयोग करें।",Crop,Guava,hi
मखाना (Makhana) की खेती बिहार के किस क्षेत्र में अधिक होती है?,"मखाना मुख्य रूप से उत्तर बिहार के दरभंगा, मधुबनी और पूर्णिया जिलों के तालाबों में उगाया जाता है।",Crop,Makhana,hi
मखाना की खेती के क्या लाभ हैं?,यह एक जलीय फसल है जिसे तालाबों के साथ-साथ अब खेतों में भी उगाया जा सकता है (Field system)। इसकी वैश्विक मांग बहुत अधिक है।,Crop,Makhana,hi
ड्रैगन फ्रूट (Dragon Fruit) की खेती की क्या विशेषताएं हैं?,"इसे कम पानी की जरूरत होती है, यह रेतीली मिट्टी में भी हो सकता है और एक बार लगाने पर 20-25 साल तक फल देता है।",Crop,Dragon Fruit,hi
नींबू (Lemon) के बाग में 'कैंकर' रोग कैसे पहचानें?,"पत्तियों और फलों पर खुरदरे, भूरे रंग के उभरे हुए धब्बे बन जाते हैं। यह बैक्टीरिया के कारण होता है।",Crop,Fruits,hi
फलों के पौधों के लिए 'गड्ढे' (Pits) कैसे तैयार करें?,"1x1x1 मीटर का गड्ढा खोदें, उसे 15-20 दिन धूप में खुला छोड़ें, फिर गोबर की खाद और मिट्टी के मिश्रण से भरें।",Crop,Fruits,hi
फलों के बाग में 'अंतःफसल' (Intercropping) के क्या लाभ हैं?,"शुरुआती 3-4 साल जब तक फल नहीं आते, खाली जगह में दालें या सब्जियां उगाकर अतिरिक्त आय ली जा सकती है।",Crop,Fruits,hi
फलों की 'कटाई-छंटाई' (Pruning) क्यों जरूरी है?,"इससे पुराने और बीमार हिस्से हट जाते हैं, सूर्य का प्रकाश अंदर तक पहुँचता है और फल बेहतर गुणवत्ता के आते हैं।",Crop,Fruits,hi
आम के बाग में 'मधुआ' (Mango Hopper) कीट का उपचार क्या है?,बौर (फूल) आने के समय और फल बनने के समय इमिडाक्लोप्रिड या थायोमिथोक्सम का छिड़काव करें।,Crop,Mango,hi
फलों के झड़ने (Fruit Drop) को कैसे रोकें?,उचित सिंचाई प्रबंधन करें और आवश्यकतानुसार 'प्लानोफिक्स' (NAA) जैसे हार्मोन का छिड़काव करें।,Crop,Fruits,hi
क्या फलों के बाग में ड्रिप सिंचाई आवश्यक है?,"हाँ, ड्रिप सिंचाई से सीधे जड़ों को पानी मिलता है जिससे खाद की बचत होती है और फल बड़े व मीठे होते हैं।",Crop,Fruits,hi
आम के 'कोयली' (Black Tip) रोग का क्या कारण है?,यह अक्सर ईंट के भट्टों से निकलने वाले धुएं (सल्फर डाइऑक्साइड) के कारण होता है। बोरैक्स का छिड़काव इससे बचाव में मदद करता है।,Crop,Mango,hi
लीची के 'माइट' (Litchi Mite) कीट का क्या लक्षण है?,पत्तियां नीचे की ओर मुड़ जाती हैं और उन पर मखमली भूरे रंग की परत (Erinose) बन जाती है।,Crop,Litchi,hi
