Question,Answer,Category,Crop,Language
पौधों में बीमारी (Disease) होने के मुख्य कारण क्या हैं?,"पौधों में बीमारियां मुख्य रूप से फफूंद (Fungi), बैक्टीरिया (Bacteria), वायरस (Virus) और पोषक तत्वों की कमी के कारण होती हैं।",Disease,General,hi
धान का 'ब्लास्ट' (Blast) रोग क्या है?,यह एक फफूंद जनित रोग है जिसमें पत्तियों पर आंख के आकार के धब्बे बन जाते हैं जिनका केंद्र भूरा और किनारे बैंगनी होते हैं।,Disease,Rice,hi
धान के ब्लास्ट रोग का नियंत्रण कैसे करें?,इसके लिए ट्राइसाइक्लाजोल (Tricyclazole) 75% WP का 0.6 ग्राम प्रति लीटर पानी in मिलाकर छिड़काव करें।,Disease,Rice,hi
गेहूं का 'पीला रतुआ' (Yellow Rust) कैसे पहचानें?,पत्तियों पर पीले रंग की लंबी धारियां दिखाई देती हैं। छूने पर हाथ in पीला पाउडर जैसा पाउडर लग जाता है।,Disease,Wheat,hi
पीला रतुआ के लिए सबसे प्रभावी दवा कौन सी है?,प्रोपिकोनाजोल (Propiconazole) 25% EC का 200 मिली प्रति एकड़ की दर से छिड़काव सबसे प्रभावी है।,Disease,Wheat,hi
आलू का 'अगेती झुलसा' (Early Blight) क्या है?,इसमें पत्तियों पर छोटे भूरे रंग के धब्बे बनते हैं जिनमें गोल घेरे (Concentric rings) दिखाई देते हैं।,Disease,Potato,hi
आलू के 'पिछेती झुलसा' (Late Blight) के लक्षण क्या हैं?,पत्तियों पर पानी सोखे हुए काले-भूरे धब्बे बनते हैं और पत्तियों के नीचे सफेद फफूंद दिखती है। यह फसल को बहुत जल्दी नष्ट कर देता है।,Disease,Potato,hi
पिछेती झुलसा का जैविक उपचार क्या है?,स्यूडोमोनास फ्लोरोसेन्स (10 ग्राम/लीटर) का छिड़काव करें या खट्टी छाछ का प्रयोग करें।,Disease,Potato,hi
टमाटर का 'लीफ कर्ल' (Leaf Curl) रोग क्या है?,यह वायरस के कारण होता है जिसमें पत्तियां मुड़कर छोटी हो जाती हैं। इसे सफेद मक्खी (Whitefly) फैलाती है।,Disease,Tomato,hi
गन्ने का 'लाल सड़न' (Red Rot) रोग क्या है?,तने को चीरने पर अंदर का हिस्सा लाल दिखाई देता है और उसमें सफेद आड़ी पट्टियां व शराब जैसी गंध आती है।,Disease,Sugarcane,hi
लाल सड़न रोग से बचाव के उपाय क्या हैं?,हमेशा रोग मुक्त बीज (Setts) का उपयोग करें और बीज को कार्बेन्डाजिम से उपचारित करें। संक्रमित पौधों को उखाड़कर जला दें।,Disease,Sugarcane,hi
मिर्च का 'आर्द्र पतन' (Damping Off) क्या है?,यह नर्सरी की मुख्य बीमारी है जिसमें छोटे पौधों का तना जमीन के पास से गल जाता है और पौधे गिर जाते हैं।,Disease,Chilli,hi
आर्द्र पतन (Damping Off) को कैसे रोकें?,नर्सरी in जल निकास अच्छा रखें और मिट्टी को कार्बेन्डाजिम या ट्राइकोडर्मा से उपचारित करें।,Disease,General,hi
सरसों का 'सफेद रतुआ' (White Rust) क्या है?,पत्तियों की निचली सतह पर सफेद रंग के उभरे हुए फफोले बन जाते हैं। इसे मैंकोज़ेब के छिड़काव से रोका जा सकता है।,Disease,Mustard,hi
दलहनी फसलों का 'उकठा' (Wilt) रोग क्या है?,इसमें पौधे की जड़ें काली पड़ जाती हैं और पौधा अचानक सूख जाता है। यह मिट्टी in रहने वाले कवक के कारण होता है।,Disease,Pulses,hi
उकठा (Wilt) रोग का प्रबंधन कैसे करें?,बीज उपचार के लिए ट्राइकोडर्मा विरिडी (Trichoderma viride) का प्रयोग करें और फसल चक्र अपनाएं।,Disease,Pulses,hi
