Question,Answer,Category,Crop,Language
औषधीय पौधों (Medicinal Plants) की खेती का क्या महत्व है?,"ये पौधे न केवल बीमारियों के इलाज में काम आते हैं, बल्कि किसानों को पारंपरिक फसलों की तुलना में अधिक लाभ भी देते हैं।",Crop,Medicinal Plants,hi
तुलसी (Tulsi) की खेती के लिए सबसे अच्छा समय?,तुलसी की बुआई मुख्य रूप से फरवरी-मार्च (जायद) या जून-जुलाई (खरीफ) में की जाती है।,Crop,Medicinal Plants,hi
तुलसी की प्रति एकड़ बीज दर?,नर्सरी तैयार करने के लिए 100 से 150 ग्राम बीज प्रति एकड़ पर्याप्त होता है।,Crop,Medicinal Plants,hi
एलोवेरा (Aloe Vera) की खेती के लिए कैसी मिट्टी चाहिए?,एलोवेरा के लिए अच्छी जल निकासी वाली रेतीली मिट्टी सबसे अच्छी है। यह बंजर और कम उपजाऊ जमीन पर भी हो सकता है।,Crop,Medicinal Plants,hi
एलोवेरा के पौधे कैसे लगाएं?,एलोवेरा को उसके छोटे पौधों (Suckers) के माध्यम से लगाया जाता है। पौधों की दूरी 60 x 60 सेमी रखें।,Crop,Medicinal Plants,hi
अश्वगंधा (Ashwagandha) की खेती के क्या लाभ हैं?,"इसकी जड़ों और पत्तियों की फार्मा कंपनियों में बहुत भारी मांग है, यह तनाव और कमजोरी दूर करने की मुख्य औषधि है।",Crop,Medicinal Plants,hi
अश्वगंधा की बुआई का सही समय?,अश्वगंधा की बुआई अगस्त के अंत से सितंबर के मध्य तक की जाती है।,Crop,Medicinal Plants,hi
सर्पगंधा (Sarpagandha) का उपयोग?,इसका उपयोग मुख्य रूप से उच्च रक्तचाप (Blood Pressure) और मानसिक रोगों के इलाज में किया जाता है।,Crop,Medicinal Plants,hi
सर्पगंधा के लिए उपयुक्त जलवायु?,इसके लिए गर्म और आर्द्र जलवायु अच्छी है। यह छायादार स्थानों पर भी अच्छी तरह विकसित होता है।,Crop,Medicinal Plants,hi
नीम (Neem) की व्यावसायिक खेती?,"नीम के तेल, पत्तियों और निंबोलियों की मांग कीटनाशक और सौंदर्य प्रसाधन उद्योगों में बहुत अधिक है।",Crop,Medicinal Plants,hi
शतावरी (Shatavari) की जड़ों का महत्व?,शतावरी की जड़ों का उपयोग शक्तिवर्धक दवाओं और पशुओं का दूध बढ़ाने के लिए किया जाता है।,Crop,Medicinal Plants,hi
शतावरी की खेती में कितना समय लगता है?,इसकी फसल तैयार होने में लगभग 18 से 24 महीने का समय लगता है।,Crop,Medicinal Plants,hi
मेंथा (Mentha) की खेती से आय?,मेंथा (पुदीना) से तेल निकालकर किसान बहुत कम समय (90-100 दिन) में अच्छी आय प्राप्त कर सकते हैं।,Crop,Medicinal Plants,hi
मेंथा की रोपाई का समय?,बिहार और उत्तर भारत में मेंथा की रोपाई जनवरी के अंत से फरवरी के मध्य तक की जाती है।,Crop,Medicinal Plants,hi
ब्राह्मी (Brahmi) की खेती के लाभ?,ब्राह्मी याददाश्त बढ़ाने वाली दवाओं की मुख्य सामग्री है। यह नमी वाले स्थानों पर बहुत अच्छी होती है।,Crop,Medicinal Plants,hi
कालमेघ (Kalmegh) क्या है?,इसे 'कड़वा चिरायता' भी कहते हैं। यह बुखार और लीवर की बीमारियों के इलाज में अत्यंत प्रभावी है।,Crop,Medicinal Plants,hi
लेमन ग्रास (Lemon Grass) की खेती?,इसके पत्तों से निकलने वाले सुगंधित तेल की मांग इत्र और साबुन उद्योगों में बहुत अधिक है।,Crop,Medicinal Plants,hi
लेमन ग्रास का पौधा कितने साल तक चलता है?,एक बार लगाने पर लेमन ग्रास का पौधा 4 से 5 साल तक लगातार उत्पादन देता है।,Crop,Medicinal Plants,hi
घृतकुमारी (Aloe Vera) की कटाई कब करें?,रोपाई के 10-12 महीने बाद जब पत्तियां पूरी तरह मोटी और रसीली हो जाएं।,Crop,Medicinal Plants,hi
क्या औषधीय पौधों के लिए सरकारी सब्सिडी मिलती है?,'राष्ट्रीय औषधीय पादप बोर्ड' (NMPB) विभिन्न औषधीय पौधों की खेती पर 30-75% तक अनुदान देता है।,Crop,Medicinal Plants,hi
सफ़ेद मूसली (Safed Musli) की खेती?,यह एक अत्यंत मूल्यवान औषधि है। इसकी जड़ों की बाजार में बहुत ऊँची कीमत मिलती है।,Crop,Medicinal Plants,hi
सफ़ेद मूसली की बुआई का समय?,इसकी बुआई मानसून की पहली बारिश (जून-जुलाई) के साथ की जाती है।,Crop,Medicinal Plants,hi
स्टीविया (Stevia) या 'मीठी तुलसी' क्या है?,यह चीनी का प्राकृतिक विकल्प है। इसकी पत्तियां चीनी से 20-30 गुना अधिक मीठी होती हैं और कैलोरी मुक्त होती हैं।,Crop,Medicinal Plants,hi
क्या औषधीय पौधों में कीटनाशकों का प्रयोग सही है?,"औषधीय पौधों में रसायनों का प्रयोग न्यूनतम होना चाहिए, जैविक खाद और कीटनाशकों का प्रयोग ही श्रेष्ठ है।",Crop,Medicinal Plants,hi
औषधीय पौधों की मार्केटिंग कैसे करें?,"सीधे फार्मा कंपनियों, आयुर्वेदिक क्लीनिकों या स्थानीय जड़ी-बूटी व्यापारियों से संपर्क करके बेचा जा सकता है।",Crop,Medicinal Plants,hi
क्या औषधीय पौधों की खेती के लिए अनुबंध (Contract) किया जा सकता है?,"हाँ, कई बड़ी कंपनियां किसानों के साथ पूर्व-निर्धारित भाव पर खेती का अनुबंध करती हैं।",Crop,Medicinal Plants,hi
खस (Khus) की खेती के लाभ?,खस की जड़ों से निकाला गया तेल बहुत महंगा होता है और इसका उपयोग ठंडे शरबत व इत्र में होता है।,Crop,Medicinal Plants,hi
अकरकरा (Akarkara) की खेती?,यह दांत दर्द और गले की समस्याओं के लिए उपयोगी है। इसकी खेती रबी मौसम में की जाती है।,Crop,Medicinal Plants,hi
औषधीय पौधों को सुखाने का सही तरीका?,"इन्हें कभी भी सीधी धूप में नहीं सुखाना चाहिए, छायादार और हवादार स्थान पर सुखाना ही गुणों को सुरक्षित रखता है।",Crop,Medicinal Plants,hi
क्या औषधीय पौधों की खेती पारंपरिक खेती से बेहतर है?,"हाँ, क्योंकि इनमें कम पानी और खाद की जरूरत होती है और बाजार भाव अधिक स्थिर रहते हैं।",Crop,Medicinal Plants,hi
ईसबगोल (Psyllium) की खेती?,यह पेट की समस्याओं के लिए रामबाण है। इसकी खेती मुख्य रूप से रबी मौसम (सर्दियों) में की जाती है।,Crop,Medicinal Plants,hi
आंवला (Aonla) एक औषधीय फल के रूप में?,आंवला विटामिन सी का सबसे बड़ा स्रोत है और त्रिफला जैसी मुख्य आयुर्वेदिक दवाओं का आधार है।,Crop,Medicinal Plants,hi
बेल (Bael) की खेती के लाभ?,बेल का शरबत और गूदा पाचन के लिए श्रेष्ठ है। इसके पेड़ों को बंजर जमीन पर भी लगाया जा सकता है।,Crop,Medicinal Plants,hi
गिलोय (Giloy) की खेती?,गिलोय एक बेल है जो इम्यून सिस्टम को मजबूत करती है। इसे किसी भी पेड़ के सहारे उगाया जा सकता है।,Crop,Medicinal Plants,hi
मुलहठी (Liquorice) की खेती?,गले की खराश और खांसी के लिए मुलहठी की जड़ों की बहुत मांग है। यह शुष्क क्षेत्रों में अच्छी होती है।,Crop,Medicinal Plants,hi
पचौली (Patchouli) की खेती?,यह एक सुगंधित पौधा है जिसका तेल इत्र और सौंदर्य प्रसाधनों में आधार के रूप में उपयोग होता है।,Crop,Medicinal Plants,hi
केसर (Saffron) की खेती बिहार में संभव है?,"पारंपरिक केसर केवल कश्मीर में होता है, लेकिन अब 'अमेरिकन केसर' की खेती मैदानी इलाकों में भी की जा रही है।",Crop,Medicinal Plants,hi
औषधीय पौधों की 'प्रमाणन' (Certification) क्यों जरूरी है?,जैविक और शुद्धता का प्रमाण पत्र होने पर उत्पादों की अंतरराष्ट्रीय बाजार में अधिक कीमत मिलती है।,Crop,Medicinal Plants,hi
वच (Acorus calamus) की खेती?,यह एक जलीय पौधा है जो मानसिक शांति और श्वसन रोगों में काम आता है। इसे नमी वाले खेतों में उगाया जाता है।,Crop,Medicinal Plants,hi
क्या औषधीय पौधों की खेती में 'फसल विविधीकरण' संभव है?,"हाँ, तुलसी या कालमेघ जैसी फसलों को मुख्य फसलों के साथ अंतर-फसल के रूप में उगाया जा सकता है।",Crop,Medicinal Plants,hi
औषधीय पौधों की 'पैकेजिंग' कैसे करें?,सूखी जड़ों या पत्तियों को नमी रहित जूट के बोरों या लकड़ी के बक्सों में पैक करना चाहिए।,Crop,Medicinal Plants,hi
क्या घर के पीछे औषधीय पौधों का 'न्यूट्री-गार्डन' बना सकते हैं?,"हाँ, गिलोय, तुलसी, एलोवेरा और अश्वगंधा जैसे पौधे घर के बगीचे में आसानी से उगाए जा सकते हैं।",Crop,Medicinal Plants,hi
कौंच (Kaunch) के बीजों का महत्व?,कौंच के बीज तंत्रिका तंत्र की दवाओं और शारीरिक शक्ति बढ़ाने के लिए उपयोग किए जाते हैं।,Crop,Medicinal Plants,hi
सिंकोना (Cinchona) की खेती?,इसकी छाल से कुनैन (Quinine) बनाई जाती है जो मलेरिया के इलाज में काम आती है।,Crop,Medicinal Plants,hi
क्या औषधीय पौधों को जंगली जानवरों से खतरा है?,"अधिकांश औषधीय पौधे कड़वे या तीखे होते हैं, इसलिए नीलगाय या अन्य जानवर इन्हें नहीं खाते।",Crop,Medicinal Plants,hi
औषधीय पौधों की 'प्रोसेसिंग' के लिए छोटी इकाई?,किसान छोटे डिस्टिलेशन प्लांट लगाकर तेल निकाल सकते हैं और अपना लाभ 5 गुना तक बढ़ा सकते हैं।,Crop,Medicinal Plants,hi
चिरायता (Chirata) की खेती?,यह खून साफ करने और त्वचा रोगों के लिए प्रसिद्ध है। इसकी खेती ठंडे और पहाड़ी क्षेत्रों में बेहतर होती है।,Crop,Medicinal Plants,hi
क्या औषधीय पौधों की खेती के लिए मिट्टी परीक्षण जरूरी है?,"हाँ, सही गुणवत्ता और तेल की मात्रा के लिए मिट्टी के पोषक तत्वों का संतुलन जरूरी है।",Crop,Medicinal Plants,hi
औषधीय पौधों की खेती में सफलता का सूत्र?,सही किस्म का चुनाव + शुद्ध जैविक पद्धति + पक्का बाजार संपर्क।,Crop,Medicinal Plants,hi
किसानों के लिए औषधीय खेती की मुख्य सलाह?,शुरुआत छोटे क्षेत्र से करें और पहले बाजार की मांग को अच्छी तरह समझ लें।,Crop,Medicinal Plants,hi
एलोवेरा के जेल (Gel) का निष्कर्षण?,पत्तियों को काटकर उनमें से ताजा जेल निकालकर उसे ठंडा करके भंडारित करना चाहिए।,Crop,Medicinal Plants,hi
तुलसी के तेल का उपयोग?,"इसका उपयोग सर्दी-खांसी की दवाओं, टूथपेस्ट और सौंदर्य प्रसाधनों में प्रचुर मात्रा में होता है।",Crop,Medicinal Plants,hi
मेंथा के तेल की 'प्योरिटी' कैसे जांचें?,इसकी जांच प्रयोगशाला में 'गैस क्रोमैटोग्राफी' तकनीक द्वारा की जाती है।,Crop,Medicinal Plants,hi
क्या औषधीय पौधों को बहुत अधिक पानी चाहिए?,"नहीं, अधिकांश औषधीय पौधे (जैसे- एलोवेरा, अश्वगंधा) कम पानी में भी अच्छी पैदावार देते हैं।",Crop,Medicinal Plants,hi
सफ़ेद मूसली की खेती में 'फिंगर्स' क्या हैं?,"इसके प्रकंदों को फिंगर्स कहा जाता है, जिन्हें सुखाकर दवाएं बनाई जाती हैं।",Crop,Medicinal Plants,hi
शतावरी की खेती के लिए 'मेड़' विधि क्यों अच्छी है?,"क्योंकि इसकी जड़ें जमीन के नीचे फैलती हैं, ढीली मिट्टी में जड़ों का विकास बेहतर होता है।",Crop,Medicinal Plants,hi
क्या औषधीय पौधों की खेती के लिए 'नर्सरी' जरूरी है?,तुलसी और सर्पगंधा जैसे पौधों के लिए नर्सरी तैयार करना ही सबसे अच्छा तरीका है।,Crop,Medicinal Plants,hi
लेमन ग्रास की कटाई का अंतराल?,एक बार पौधा स्थापित होने पर हर 3-4 महीने में पत्तियों की कटाई की जा सकती है।,Crop,Medicinal Plants,hi
क्या औषधीय पौधों में 'उर्वरक' का प्रयोग करना चाहिए?,केमिकल उर्वरकों के बजाय केवल गोबर की खाद और वर्मीकम्पोस्ट का प्रयोग करें।,Crop,Medicinal Plants,hi
अश्वगंधा की जड़ों की 'ग्रेडिंग'?,जड़ों की लंबाई और मोटाई के आधार पर ग्रेडिंग करने से बाजार में बेहतर भाव मिलता है।,Crop,Medicinal Plants,hi
क्या औषधीय पौधों की खेती पर्यावरण को बचाती है?,"हाँ, ये पौधे जैव विविधता बढ़ाते हैं और रसायनों के प्रयोग को कम करते हैं।",Crop,Medicinal Plants,hi
धतूरा (Dhatura) की खेती के औषधीय लाभ?,इसका उपयोग दर्द निवारक दवाओं और श्वसन रोगों के इलाज में सीमित मात्रा में किया जाता है।,Crop,Medicinal Plants,hi
क्या औषधीय पौधों को छाया में उगाया जा सकता है?,"हाँ, सर्पगंधा और कुछ अन्य पौधे घने पेड़ों की छाया में भी अच्छी तरह बढ़ते हैं।",Crop,Medicinal Plants,hi
औषधीय पौधों के 'बीज' कहाँ से प्राप्त करें?,"कृषि विश्वविद्यालयों, सीमैप (CIMAP) या प्रमाणित बीज विक्रेताओं से ही बीज खरीदें।",Crop,Medicinal Plants,hi
मेंथा की खेती में 'सकर्स' (Stolons) क्या हैं?,"मेंथा की जड़ें जो जमीन के नीचे फैलती हैं, उन्हीं के टुकड़ों से नई फसल लगाई जाती है।",Crop,Medicinal Plants,hi
क्या औषधीय खेती के लिए बैंक 'लोन' देते हैं?,"हाँ, नाबार्ड (NABARD) और अन्य सरकारी बैंक औषधीय खेती के लिए विशेष ऋण योजनाएं चलाते हैं।",Crop,Medicinal Plants,hi
औषधीय पौधों की 'सफाई' क्यों जरूरी है?,मिट्टी या अन्य कचरा होने पर दवा की गुणवत्ता खराब हो जाती है और भाव कम मिलते हैं।,Crop,Medicinal Plants,hi
क्या एलोवेरा के कांटे खतरनाक हैं?,"हाँ, इसकी पत्तियों के किनारे नुकीले होते हैं, इसलिए कटाई के समय सावधानी बरतें।",Crop,Medicinal Plants,hi
औषधीय खेती में 'रिकॉर्ड' रखना?,"हर बैच की बुआई, खाद और कटाई का रिकॉर्ड रखना प्रमाणन के लिए अनिवार्य है।",Crop,Medicinal Plants,hi
