Question,Answer,Category,Crop,Language
जैविक नियंत्रण (Biological Control) क्या है?,"कीटों और रोगों को रसायनों के बजाय उनके प्राकृतिक शत्रुओं (जैसे मित्र कीट, मित्र फफूंद या बैक्टीरिया) द्वारा नियंत्रित करना जैविक नियंत्रण है।",Plant Protection,General,hi
ट्राइकोडर्मा विरिडी (Trichoderma viride) क्या है?,यह एक फायदेमंद फफूंद है जो मिट्टी में रहने वाले हानिकारक कवकों को नष्ट करके उकठा (Wilt) और जड़ सड़न जैसे रोगों को रोकती है।,Plant Protection,General,hi
स्यूडोमोनास फ्लोरोसेन्स (Pseudomonas fluorescens) के क्या लाभ हैं?,यह एक मित्र बैक्टीरिया है जो पौधों के विकास को बढ़ावा देता है और कई तरह के फफूंद व बैक्टीरियल रोगों को नियंत्रित करता है।,Plant Protection,General,hi
ब्यूवेरिया बासियाना (Beauveria bassiana) का उपयोग?,"यह एक कीटभक्षी फफूंद है जो इल्लियों, सफेद मक्खी और अन्य हानिकारक कीटों के शरीर पर उगकर उन्हें मार देती है।",Plant Protection,General,hi
मेटारिज़ियम (Metarhizium anisopliae) किसके लिए उपयोगी है?,यह विशेष रूप से मिट्टी के कीटों जैसे दीमक (Termites) और सफेद ग्रब (White grub) को नियंत्रित करने के लिए श्रेष्ठ है।,Plant Protection,General,hi
फेरोमोन ट्रैप (Pheromone Trap) क्या है?,"यह एक गंध वाला जाल है जो नर कीटों को आकर्षित करके फंसा लेता है, जिससे कीटों का प्रजनन रुक जाता है और उनकी संख्या कम होती है।",Plant Protection,General,hi
पीला चिपचिपा ट्रैप (Yellow Sticky Trap) का उपयोग?,"यह उड़ने वाले कीटों जैसे सफेद मक्खी, एफिड्स और जैसिड्स को अपनी ओर आकर्षित कर चिपका लेता है।",Plant Protection,General,hi
नीला चिपचिपा ट्रैप (Blue Sticky Trap) कब लगाएं?,नीला ट्रैप मुख्य रूप से 'थ्रिप्स' कीट को नियंत्रित करने के लिए उपयोग किया जाता है।,Plant Protection,General,hi
प्रकाश प्रपंच (Light Trap) कैसे काम करता है?,रात में उड़ने वाले कीट (जैसे तना छेदक के पतंगे) रोशनी की ओर आकर्षित होकर पानी में गिरकर मर जाते हैं।,Plant Protection,General,hi
चिड़िया बैठने के स्टैंड (Bird Perches) क्यों जरूरी हैं?,खेत में जगह-जगह 'T' आकार के स्टैंड लगाने से पक्षी उन पर बैठते हैं और फसल की इल्लियों को खाकर किसान की मदद करते हैं।,Plant Protection,General,hi
नीम का तेल (Neem Oil) कीटनाशक के रूप में?,"यह कीटों को भोजन करने से रोकता है, उनके विकास चक्र को बाधित करता है और उन्हें अंडे देने से रोकता है।",Plant Protection,General,hi
बी.टी. (Bacillus thuringiensis) क्या है?,यह एक प्राकृतिक बैक्टीरिया है जो इल्लियों के पेट में जाकर उन्हें मार देता है। यह पर्यावरण के लिए पूरी तरह सुरक्षित है।,Plant Protection,General,hi
एन.पी.वी. (NPV Virus) का उपयोग?,यह एक विशिष्ट वायरस है जो केवल चने की इल्ली (Helicoverpa) या तंबाकू की इल्ली को संक्रमित करके मारता है।,Plant Protection,General,hi
ट्राइको-कार्ड (Tricho-card) क्या है?,इसमें ट्राइकोडर्मा मित्र कीट के अंडे होते हैं जो तना छेदक और अन्य हानिकारक कीटों के अंडों को खाकर उन्हें नष्ट कर देते हैं।,Plant Protection,General,hi
जैविक नियंत्रण के क्या फायदे हैं?,"यह सस्ता है, पर्यावरण के लिए सुरक्षित है, कीटों में प्रतिरोध नहीं आता और इससे पैदावार की गुणवत्ता बेहतर होती है।",Plant Protection,General,hi
मित्र कीट (Beneficial Insects) कौन से हैं?,"लेडीबर्ड बीटल, सिरफिड फ्लाई और ड्रैगनफ्लाई जैसे जीव हानिकारक कीटों को खाकर फसलों की रक्षा करते हैं।",Plant Protection,General,hi
दशपर्णी अर्क (Dashparni Arka) क्या है?,यह 10 तरह की कड़वी पत्तियों से बनाया गया एक शक्तिशाली जैविक कीटनाशक है जो लगभग हर तरह के कीट पर प्रभावी है।,Plant Protection,General,hi
ब्रह्मास्त्र और अग्निस्त्र क्या हैं?,"ये गौमूत्र, नीम और अन्य तीखी औषधियों से बनाए गए जैविक घोल हैं जो सुंडियों और बड़े कीटों को मारने के काम आते हैं।",Plant Protection,General,hi
जीवामृत (Jeevamrut) का रोग नियंत्रण में महत्व?,"जीवामृत मिट्टी के मित्र सूक्ष्मजीवों की संख्या बढ़ाता है, जिससे पौधों की रोग प्रतिरोधक क्षमता (Immunity) बढ़ती है।",Plant Protection,General,hi
जैविक नियंत्रण में 'फसल चक्र' की भूमिका?,फसल बदलकर लगाने से विशिष्ट कीटों और रोगों का जीवन चक्र टूट जाता है जिससे वे अगली फसल पर हमला नहीं कर पाते।,Plant Protection,General,hi
क्या जैविक दवाओं का असर तुरंत होता है?,"नहीं, जैविक दवाएं रसायनों की तुलना में धीरे काम करती हैं, लेकिन इनका असर लंबे समय तक बना रहता है।",Plant Protection,General,hi
वर्टिसिलियम लेकानी (Verticillium lecani) किसके लिए है?,यह मिली बग (Mealy bug) और चूसने वाले कीटों के नियंत्रण के लिए एक बहुत प्रभावी मित्र फफूंद है।,Plant Protection,General,hi
जैविक दवाओं को भंडारित करते समय सावधानी?,"इन्हें सीधी धूप से बचाएं और ठंडी जगह पर रखें, क्योंकि इनमें जीवित सूक्ष्मजीव होते हैं।",Plant Protection,General,hi
क्या जैविक और रासायनिक दवाओं को मिलाकर डाल सकते हैं?,"नहीं, रसायनों (विशेषकर फफूंदनाशकों) के साथ जैविक दवाओं को मिलाने से मित्र सूक्ष्मजीव मर सकते हैं।",Plant Protection,General,hi
मिट्टी उपचार (Soil Treatment) के लिए ट्राइकोडर्मा की मात्रा?,1 से 2 किग्रा ट्राइकोडर्मा को 50-100 किग्रा सड़ी हुई गोबर की खाद में मिलाकर प्रति एकड़ खेत में डालें।,Plant Protection,General,hi
स्यूडोमोनास का बीज उपचार कैसे करें?,10 ग्राम पाउडर प्रति किग्रा बीज की दर से बीजों पर लेप लगाएं।,Plant Protection,General,hi
जैविक खेती में 'ट्रैप क्रॉप' (Trap Crop) क्या है?,"मुख्य फसल के चारों ओर ऐसी फसल लगाना जिसे कीट ज्यादा पसंद करते हों (जैसे- गोभी के साथ सरसों), ताकि मुख्य फसल बच जाए।",Plant Protection,General,hi
फेरोमोन लूअर (Lure) को कितने समय बाद बदलना चाहिए?,आमतौर पर हर 30 से 45 दिन में लूअर को बदल देना चाहिए ताकि उसकी गंध बनी रहे।,Plant Protection,General,hi
