Question,Answer,Category,Crop,Language
गेहूं की खेती का परिचय क्या है?,गेहूं (Triticum aestivum) रबी मौसम की सबसे प्रमुख फसल है। यह भारत की खाद्य सुरक्षा के लिए अत्यंत महत्वपूर्ण है।,Crop,Wheat,hi
गेहूं के लिए उपयुक्त जलवायु कैसी होनी चाहिए?,गेहूं के लिए ठंडी और शुष्क जलवायु की आवश्यकता होती है। बुआई के समय 20-22°C और पकते समय 25°C तापमान आदर्श है।,Crop,Wheat,hi
गेहूं की बुआई का सबसे अच्छा समय क्या है?,बिहार और पूर्वी उत्तर प्रदेश में गेहूं की बुआई का सबसे अच्छा समय 1 नवंबर से 15 नवंबर तक है।,Crop,Wheat,hi
पछेती गेहूं की बुआई कब तक की जा सकती है?,"पछेती किस्मों की बुआई 15 दिसंबर से 25 दिसंबर तक की जा सकती है, लेकिन इससे उपज में कमी आती है।",Crop,Wheat,hi
गेहूं के लिए कैसी मिट्टी सबसे अच्छी होती है?,गेहूं के लिए जल निकासी वाली उपजाऊ दोमट (Loam) या मटियार दोमट मिट्टी सबसे अच्छी मानी जाती है।,Crop,Wheat,hi
गेहूं के खेत की तैयारी कैसे करें?,खरीफ फसल की कटाई के बाद खेत की एक बार गहरी जुताई और दो-तीन बार हल्की जुताई करके पाटा चलाएं ताकि मिट्टी भुरभुरी हो जाए।,Crop,Wheat,hi
गेहूं की प्रति एकड़ बीज दर क्या है?,समय पर बुआई के लिए 40 किग्रा और पछेती बुआई के लिए 50 किग्रा प्रति एकड़ बीज की आवश्यकता होती है।,Crop,Wheat,hi
गेहूं का बीज उपचार कैसे करें?,बीज को वीटावैक्स (Vitavax) या कार्बेन्डाजिम 2.5 ग्राम प्रति किग्रा बीज की दर से उपचारित करें ताकि 'कंगियारी' (Smut) रोग न लगे।,Crop,Wheat,hi
गेहूं की बुआई की कौन सी विधि श्रेष्ठ है?,सीड ड्रिल (Seed Drill) से बुआई करना सबसे अच्छा है क्योंकि इससे बीज समान गहराई और निश्चित दूरी पर गिरते हैं।,Crop,Wheat,hi
गेहूं की बुआई के समय पंक्तियों के बीच की दूरी कितनी रखें?,समय पर बुआई के लिए पंक्तियों की दूरी 20-22 सेमी और पछेती बुआई के लिए 15-18 सेमी रखनी चाहिए।,Crop,Wheat,hi
गेहूं में खाद और उर्वरक की कितनी मात्रा डालें?,"प्रति एकड़ लगभग 50-60 किग्रा यूरिया, 50 किग्रा डीएपी और 20-25 किग्रा पोटाश की आवश्यकता होती है।",Crop,Wheat,hi
गेहूं में यूरिया की टॉप ड्रेसिंग कब करें?,यूरिया की आधी मात्रा बुआई के समय और बाकी आधी मात्रा पहली और दूसरी सिंचाई के बाद दो बराबर किस्तों में दें।,Crop,Wheat,hi
गेहूं की सिंचाई की सबसे महत्वपूर्ण अवस्था कौन सी है?,"शिखर जड़ निकलने की अवस्था (CRI Stage), जो बुआई के 21-25 दिन बाद आती है, सिंचाई के लिए सबसे महत्वपूर्ण है।",Crop,Wheat,hi
गेहूं में कुल कितनी सिंचाइयों की आवश्यकता होती है?,मिट्टी और जलवायु के आधार पर गेहूं को 4 से 6 सिंचाइयों की आवश्यकता होती है।,Crop,Wheat,hi
गेहूं में खरपतवार नियंत्रण कैसे करें?,"चौड़ी पत्ती वाले खरपतवारों के लिए 2,4-D और संकरी पत्ती (गुल्ली डंडा) के लिए सल्फोसल्फ्यूरान का प्रयोग करें।",Crop,Wheat,hi
गेहूं का 'पीला रतुआ' (Yellow Rust) रोग क्या है?,इसमें पत्तियों पर पीले रंग की धारियां बन जाती हैं जो पाउडर की तरह हाथ पर लगती हैं। यह ठंडे और नम मौसम में फैलता है।,Crop,Wheat,hi
पीला रतुआ का उपचार क्या है?,पीला रतुआ दिखने पर प्रोपिकोनाजोल (Propiconazole) 25% EC का 200 मिली प्रति एकड़ की दर से छिड़काव करें।,Crop,Wheat,hi
गेहूं का 'कंगियारी' या 'लूज स्मट' (Loose Smut) क्या है?,इस रोग में बालियां काली पड़ जाती हैं और उनमें दानों की जगह काला पाउडर भर जाता है। यह बीज जनित रोग है।,Crop,Wheat,hi
गेहूं की प्रमुख उन्नत किस्में कौन सी हैं?,"बिहार के लिए HD 2967, HD 3086, DBW 187 (करन वंदना) और HI 1544 बहुत अच्छी किस्में हैं।",Crop,Wheat,hi
गेहूं में 'चूहा' नियंत्रण कैसे करें?,चूहों के बिलों में जिंक फास्फाइड या ब्रोमोडायलोन की गोलियां रखें और शाम के समय बिलों को बंद कर दें।,Crop,Wheat,hi
गेहूं की कटाई का सही समय क्या है?,"जब दानों को दांत से काटने पर 'कट' की आवाज आए और नमी 15% से कम हो, तब गेहूं की कटाई कर लेनी चाहिए।",Crop,Wheat,hi
