Question,Answer,Category,Crop,Language
पत्तागोभी की खेती का परिचय क्या है?,"पत्तागोभी (Brassica oleracea var. capitata) भारत की एक प्रमुख शीतकालीन सब्जी है। यह विटामिन सी, के और फाइबर का बेहतरीन स्रोत है और इसका उपयोग सलाद व सब्जी में किया जाता है।",Crop,Cabbage,hi
पत्तागोभी के लिए उपयुक्त जलवायु?,पत्तागोभी के लिए ठंडी और आर्द्र जलवायु अच्छी है। सिर (Head) बनते समय 15-20°C तापमान आदर्श माना जाता है।,Crop,Cabbage,hi
पत्तागोभी की बुआई का समय?,मध्यम और पछेती किस्मों के लिए सितंबर से नवंबर के बीच नर्सरी तैयार की जाती है। बिहार में अक्टूबर-नवंबर मुख्य समय है।,Crop,Cabbage,hi
पत्तागोभी की प्रति एकड़ बीज दर?,सामान्य किस्मों के लिए 250-300 ग्राम और हाइब्रिड किस्मों के लिए 150-200 ग्राम प्रति एकड़ बीज पर्याप्त है।,Crop,Cabbage,hi
पत्तागोभी की नर्सरी कैसे तैयार करें?,बीज को ऊँची क्यारियों या प्रो-ट्रे में बोएं। क्यारियों में गोबर की खाद और ट्राइकोडर्मा मिलाएं। 25-30 दिन में पौधे तैयार हो जाते हैं।,Crop,Cabbage,hi
पत्तागोभी के पौधों की रोपाई कब करें?,जब नर्सरी के पौधे 12-15 सेमी ऊंचे हो जाएं और उनमें 4-5 पत्तियां निकल आएं।,Crop,Cabbage,hi
पत्तागोभी में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 50 किग्रा नाइट्रोजन, 30 किग्रा फास्फोरस और 25 किग्रा पोटाश की आवश्यकता होती है।",Crop,Cabbage,hi
पत्तागोभी में 'पोटाश' का क्या महत्व है?,"पोटाश सिर (Head) को ठोस बनाने, दानों में चमक लाने और पौधों को रोगों से बचाने के लिए बहुत जरूरी है।",Crop,Cabbage,hi
पत्तागोभी में सिंचाई का सही तरीका?,पत्तागोभी में नियमित और मध्यम सिंचाई करें। सिर बनते समय नमी की कमी से सिर फट सकते हैं।,Crop,Cabbage,hi
पत्तागोभी में 'सिर का फटना' (Head Splitting) क्यों होता है?,यह पकने की अवस्था में अचानक अधिक सिंचाई करने या मिट्टी में नमी के भारी उतार-चढ़ाव के कारण होता है।,Crop,Cabbage,hi
पत्तागोभी का 'डायमंड बैक मोथ' (DBM) कीट?,यह इल्ली पत्तियों को खाकर छलनी कर देती है। इसके नियंत्रण के लिए स्पिनोसाड या बीटी (Bt) आधारित कीटनाशकों का प्रयोग करें।,Crop,Cabbage,hi
पत्तागोभी में 'काली सड़न' (Black Rot) रोग?,पत्तियों के किनारों से पीलापन शुरू होकर नसों का काला पड़ना। बीज उपचार और फसल चक्र ही इसका मुख्य बचाव है।,Crop,Cabbage,hi
पत्तागोभी की कटाई कब करें?,"जब सिर पूरी तरह विकसित और ठोस (Solid) हो जाएं। दबाने पर यदि सिर न दबे, तो वह कटाई के लिए तैयार है।",Crop,Cabbage,hi
पत्तागोभी की औसत उपज कितनी होती है?,उन्नत किस्मों से 100 से 150 क्विंटल प्रति एकड़ तक उपज प्राप्त की जा सकती है।,Crop,Cabbage,hi
पत्तागोभी की प्रमुख उन्नत किस्में?,"बिहार के लिए गोल्डन एकर, प्राइड ऑफ इंडिया, पूसा ड्रमहेड और हाइब्रिड में 'क्विस्टो' अच्छी किस्में हैं।",Crop,Cabbage,hi
पत्तागोभी के भंडारण और पैकेजिंग?,फलों को ठंडा और हवादार स्थान पर रखें। परिवहन के लिए जालीदार बोरों या क्रेट्स का उपयोग करें।,Crop,Cabbage,hi
पत्तागोभी की खेती में 'मिट्टी चढ़ावा'?,पौधों को मजबूती देने और खरपतवार दबाने के लिए रोपाई के 25-30 दिन बाद मिट्टी चढ़ाना जरूरी है।,Crop,Cabbage,hi
पत्तागोभी के बाग में 'अंतःफसल'?,"पत्तागोभी के साथ मूली, धनिया या मेथी जैसी कम समय वाली फसलें उगाई जा सकती हैं।",Crop,Cabbage,hi
पत्तागोभी में 'जिंक सल्फेट' का लाभ?,जिंक की कमी से पौधों की वृद्धि रुक जाती है। 0.5% जिंक सल्फेट का स्प्रे पत्तियों को हरा और स्वस्थ रखता है।,Crop,Cabbage,hi
पत्तागोभी की खेती में सबसे बड़ी चुनौती?,"DBM कीट का हमला, सिर फटने की समस्या और काली सड़न रोग का प्रबंधन।",Crop,Cabbage,hi
क्या बिहार में पत्तागोभी की खेती सफल है?,"हाँ, बिहार के वैशाली, मुजफ्फरपुर और नालंदा जिलों में पत्तागोभी की बड़े पैमाने पर सफल खेती होती है।",Crop,Cabbage,hi
पत्तागोभी की खेती शुरू करने वाले किसानों के लिए सलाह?,हमेशा ठोस सिर वाली किस्मों का चुनाव करें और कीट नियंत्रण के लिए 'ट्रैप क्रॉप' (जैसे सरसों) लगाएं।,Crop,Cabbage,hi
'गोल्डन एकर' किस्म की क्या विशेषता है?,यह एक बहुत ही लोकप्रिय और जल्दी तैयार होने वाली किस्म है जिसके सिर छोटे और गोल होते हैं।,Crop,Cabbage,hi
पत्तागोभी में 'सरसों' को ट्रैप क्रॉप क्यों लगाते हैं?,"क्योंकि DBM कीट पत्तागोभी के बजाय सरसों पर पहले हमला करता है, जिससे मुख्य फसल बच जाती है।",Crop,Cabbage,hi
पत्तागोभी के बीजों का उपचार कैसे करें?,बीज को कार्बेन्डाजिम या ट्राइकोडर्मा 2-3 ग्राम प्रति किग्रा बीज की दर से उपचारित करें।,Crop,Cabbage,hi
पत्तागोभी में 'नत्रजन' (Nitrogen) की अधिकता से नुकसान?,सिर बहुत ढीले रह जाते हैं और जल्दी सड़ने की संभावना रहती है।,Crop,Cabbage,hi
पत्तागोभी की खेती में 'पोटाश' की टॉप ड्रेसिंग कब करें?,सिर बनने की शुरुआत (Head initiation) के समय पोटाश देना बहुत प्रभावी होता है।,Crop,Cabbage,hi
पत्तागोभी के 'अवशेषों' (बाहरी पत्तियों) का उपयोग?,इन्हें काटकर पशुओं को खिलाया जा सकता है या सड़ाकर जैविक खाद बनाई जा सकती है।,Crop,Cabbage,hi
पत्तागोभी में 'मैग्नीशियम' की कमी के लक्षण?,"पुरानी पत्तियां पीली पड़ जाती हैं जबकि उनकी नसें हरी रहती हैं, विकास धीमा हो जाता है।",Crop,Cabbage,hi
पत्तागोभी की 'अगेती' और 'पछेती' किस्मों में अंतर?,"अगेती किस्में जल्दी तैयार होती हैं और आकार में छोटी होती हैं, पछेती किस्में बड़े और ठोस सिर देती हैं।",Crop,Cabbage,hi
पत्तागोभी में 'फास्फोरस' का महत्व?,जड़ों के मजबूत विकास और सिर के सही आकार के लिए फास्फोरस अनिवार्य है।,Crop,Cabbage,hi
पत्तागोभी की कटाई के समय 'सावधानी'?,सिर को 2-3 बाहरी पत्तियों के साथ काटें ताकि वह परिवहन के समय रगड़ और चोट से बचा रहे।,Crop,Cabbage,hi
पत्तागोभी में 'बोरोन' की कमी?,तने का खोखला होना और सिर के अंदर भूरे धब्बे दिखना बोरॉन की कमी का संकेत है।,Crop,Cabbage,hi
