Question,Answer,Category,Crop,Language,Source_File
'कपास का सफेद मक्खी' प्रकोप?,"गर्म और उमस भरे मौसम में इसका प्रकोप बहुत बढ़ जाता है, जिससे रुई की गुणवत्ता खराब होती है।",Pests,Cotton,hi,pest_advanced.csv
'कपास का सफेद मक्खी' प्रकोप?,"गर्म और उमस भरे मौसम in इसका प्रकोप बहुत बढ़ जाता है, जिससे रुई की गुणवत्ता खराब होती है।",Pests,Cotton,hi,pest.csv
'कीट प्रबंधन' में विशेषज्ञों का अंतिम संदेश?,"प्रकृति के मित्र बनें, शत्रु कीटों को पूरी तरह खत्म करने के बजाय उन्हें प्रबंधित (Manage) करें।",Plant Protection,General,hi,crop_safety_2.csv
'कीट प्रबंधन' में विशेषज्ञों का अंतिम संदेश?,"प्रकृति का सम्मान करें, मित्र कीटों को बचाएं और केवल 'अंतिम हथियार' के रूप में ही रसायनों का प्रयोग करें।",Pests,General,hi,pest_advanced.csv
'कीटनाशक' और 'गर्भवती महिलाएं'?,गर्भवती महिलाओं और बच्चों को दवा के छिड़काव वाले क्षेत्र से दूर रहना चाहिए।,Pests,General,hi,pest_advanced.csv
'कीटनाशक' और 'गर्भवती महिलाएं'?,गर्भवती महिलाओं और बच्चों को दवा के छिड़काव वाले क्षेत्र से दूर रहना चाहिए।,Pests,General,hi,pest.csv
'कीटनाशक' और 'जल प्रदूषण'?,"छिड़काव के बाद मशीनों को तालाब या नहर in न धोएं, इससे जलीय जीवन नष्ट होता है।",Pests,General,hi,pest.csv
'कीटनाशक' और 'जल प्रदूषण'?,"छिड़काव के बाद मशीनों को तालाब या नहर में न धोएं, इससे जलीय जीवन (मछलियों) को खतरा होता है।",Pests,General,hi,pest_advanced.csv
'कीटनाशकों' के खाली पैकेट और 'पर्यावरण'?,पैकेटों को कभी भी जलाएं नहीं क्योंकि उनसे निकलने वाला धुआं स्वास्थ्य के लिए खतरनाक है।,Pests,General,hi,pest_advanced.csv
'कीटनाशकों' के खाली पैकेट और 'पर्यावरण'?,इन्हें कभी भी जलाएं नहीं क्योंकि निकलने वाला धुआं जहरीला होता है।,Pests,General,hi,pest.csv
'कीटनाशकों' के खाली पैकेट और 'पशु'?,पैकेटों को खेत में खुला न छोड़ें क्योंकि पशु उन्हें चाटकर गंभीर रूप से बीमार हो सकते हैं।,Plant Protection,General,hi,crop_safety_2.csv
'कीटनाशकों' के खाली पैकेट और 'पशु'?,पैकेटों को खेत in खुला न छोड़ें क्योंकि पशु उन्हें चाटकर बीमार हो सकते हैं।,Pests,General,hi,pest.csv
'कीटनाशकों' को बच्चों की पहुँच से दूर क्यों रखें?,क्योंकि ये अत्यंत जहरीले रसायन हैं और जानलेवा हो सकते हैं।,Pests,General,hi,pest.csv
