Question,Answer,Category,Crop,Language
बैंगन की खेती का परिचय क्या है?,बैंगन (Solanum melongena) भारत की एक प्रमुख सब्जी फसल है। यह साल भर उगाई जा सकती है और इसमें विटामिन व खनिज प्रचुर मात्रा में होते हैं।,Crop,Brinjal,hi
बैंगन के लिए उपयुक्त जलवायु?,बैंगन के लिए गर्म जलवायु अच्छी है। 25-30°C तापमान इसके विकास के लिए आदर्श है। यह पाले के प्रति संवेदनशील है।,Crop,Brinjal,hi
बैंगन की बुआई का समय?,"खरीफ के लिए जून-जुलाई, रबी के लिए अक्टूबर-नवंबर और जायद (गर्मी) के लिए फरवरी-मार्च में बुआई की जाती है।",Crop,Brinjal,hi
बैंगन की प्रति एकड़ बीज दर?,सामान्य किस्मों के लिए 250-300 ग्राम और हाइब्रिड किस्मों के लिए 120-150 ग्राम प्रति एकड़ बीज पर्याप्त है।,Crop,Brinjal,hi
बैंगन की नर्सरी कैसे तैयार करें?,बीज को ऊँची क्यारियों या प्रो-ट्रे में बोएं। क्यारियों में गोबर की खाद और ट्राइकोडर्मा मिलाएं। 30-35 दिन में पौधे तैयार हो जाते हैं।,Crop,Brinjal,hi
नर्सरी में 'आर्द्र पतन' (Damping off) रोग?,यह छोटे पौधों के तने गलने की बीमारी है। इससे बचने के लिए बीज उपचार करें और जल निकास का प्रबंध रखें।,Crop,Brinjal,hi
बैंगन के पौधों की रोपाई कब करें?,जब नर्सरी के पौधे 12-15 सेमी ऊंचे हो जाएं और उनमें 4-5 पत्तियां निकल आएं।,Crop,Brinjal,hi
बैंगन में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 40-50 किग्रा नाइट्रोजन, 30 किग्रा फास्फोरस और 20-25 किग्रा पोटाश की आवश्यकता होती है।",Crop,Brinjal,hi
बैंगन में 'पोटाश' का क्या महत्व है?,"पोटाश फलों का आकार बढ़ाने, दानों में चमक लाने और पौधों को कीटों व रोगों से बचाने के लिए जरूरी है।",Crop,Brinjal,hi
बैंगन में सिंचाई का सही तरीका?,नियमित अंतराल पर सिंचाई करें। फूल आने और फल बनने के समय नमी की कमी नहीं होनी चाहिए।,Crop,Brinjal,hi
बैंगन का 'तना व फल छेदक' (Shoot and Fruit Borer) कीट?,यह बैंगन का सबसे खतरनाक कीट है। इल्ली कोमल तनों और फलों में छेद करके उन्हें खाती है। इसके लिए कोराजन या फेम का प्रयोग करें।,Crop,Brinjal,hi
तना व फल छेदक का जैविक नियंत्रण?,प्रभावित तनों और फलों को तोड़कर जमीन में दबा दें और फेरोमोन ट्रैप (10/एकड़) लगाएं।,Crop,Brinjal,hi
बैंगन का 'छोटी पत्ती' (Little Leaf) रोग?,पत्तियां बहुत छोटी और गुच्छेदार हो जाती हैं। यह फाइटोप्लाज्मा के कारण होता है जिसे 'फुदका' कीट फैलाता है। संक्रमित पौधों को उखाड़ दें।,Crop,Brinjal,hi
बैंगन में 'फोमोप्सिस ब्लाइट' (Phomopsis Blight)?,पत्तियों और फलों पर भूरे धब्बे पड़ना जिससे फल सड़ जाते हैं। इसके लिए मैंकोज़ेब का छिड़काव करें।,Crop,Brinjal,hi
बैंगन की कटाई कब करें?,"जब फल पूरी तरह विकसित हो जाएं, उनमें अच्छी चमक हो और बीज कड़े न हुए हों।",Crop,Brinjal,hi
बैंगन की औसत उपज कितनी होती है?,हाइब्रिड किस्मों से 150 से 300 क्विंटल प्रति एकड़ तक उपज प्राप्त की जा सकती है।,Crop,Brinjal,hi
बैंगन की प्रमुख उन्नत किस्में?,"बिहार के लिए स्वर्ण श्यामली, स्वर्ण शक्ति, काशी तरु और हाइब्रिड में पूसा हाइब्रिड-6 अच्छी किस्में हैं।",Crop,Brinjal,hi
बैंगन के भंडारण और पैकेजिंग?,फलों को ठंडा और हवादार स्थान पर रखें। परिवहन के लिए जालीदार जूट के बोरों या प्लास्टिक क्रेट्स का उपयोग करें।,Crop,Brinjal,hi
बैंगन की खेती में 'मिट्टी चढ़ावा'?,पौधों को मजबूती देने और खरपतवार दबाने के लिए रोपाई के 25-30 दिन बाद मिट्टी चढ़ाना जरूरी है।,Crop,Brinjal,hi
बैंगन के बाग में 'अंतःफसल'?,"बैंगन के साथ मूली, धनिया या पालक जैसी कम समय वाली फसलें उगाई जा सकती हैं।",Crop,Brinjal,hi
बैंगन में 'जिंक सल्फेट' का लाभ?,जिंक डालने से पौधों का विकास तेज होता है और फलों का रंग गहरा व चमकदार बनता है।,Crop,Brinjal,hi
बैंगन की खेती में सबसे बड़ी चुनौती?,तना व फल छेदक कीट का प्रबंधन और 'बैक्टीरियल विल्ट' जैसी बीमारियां।,Crop,Brinjal,hi
क्या बिहार में बैंगन की खेती सफल है?,"हाँ, बिहार के हर जिले में बैंगन की बड़े पैमाने पर और बहुत ही लाभदायक खेती की जाती है।",Crop,Brinjal,hi
बैंगन की खेती शुरू करने वाले किसानों के लिए सलाह?,हमेशा कीट प्रतिरोधी किस्मों का चुनाव करें और 'एकीकृत कीट प्रबंधन' (IPM) अपनाएं।,Crop,Brinjal,hi
स्वर्ण श्यामली किस्म की क्या विशेषता है?,यह किस्म विल्ट रोग के प्रति सहनशील है और बिहार व झारखंड के लिए बहुत अच्छी मानी जाती है।,Crop,Brinjal,hi
बैंगन में 'सफेद मक्खी' का नियंत्रण?,नीम तेल या अनुशंसित कीटनाशक का छिड़काव पत्तियों के नीचे करें।,Crop,Brinjal,hi
बैंगन के पौधों की 'छंटाई' (Pruning)?,पुरानी और सूखी पत्तियों को हटाने से रोशनी अंदर तक पहुँचती है और फल बेहतर बनते हैं।,Crop,Brinjal,hi
बैंगन में 'नत्रजन' (Nitrogen) की अधिकता से नुकसान?,पौधे बहुत बड़े हो जाते हैं लेकिन फल कम लगते हैं और कीटों का हमला बढ़ जाता है।,Crop,Brinjal,hi
बैंगन की खेती में 'पोटाश' की टॉप ड्रेसिंग?,फल लगने की अवस्था में पोटाश देने से फलों की गुणवत्ता और वजन बढ़ता है।,Crop,Brinjal,hi
बैंगन के 'अवशेषों' का उपयोग?,फसल कटने के बाद पौधों को सड़ाकर जैविक खाद बनाना बेहतर है।,Crop,Brinjal,hi
बैंगन में 'मैग्नीशियम' की कमी के लक्षण?,पुरानी पत्तियां पीली पड़ जाती हैं जबकि उनकी नसें हरी रहती हैं।,Crop,Brinjal,hi
बैंगन की 'गोल' और 'लंबी' किस्मों में अंतर?,गोल बैंगन भरता बनाने के लिए और लंबे बैंगन सब्जी व कलौंजी के लिए अधिक पसंद किए जाते हैं।,Crop,Brinjal,hi
