Question,Answer,Category,Crop,Language
पपीते की खेती का परिचय क्या है?,पपीता (Carica papaya) बहुत जल्दी फल देने वाला और विटामिन ए का बेहतरीन स्रोत है। यह कम जगह में अधिक मुनाफा देने वाली नकदी फसल है।,Crop,Papaya,hi
पपीते के लिए उपयुक्त जलवायु?,पपीते के लिए गर्म और आर्द्र जलवायु अच्छी है। यह पाले (Frost) के प्रति बहुत संवेदनशील है। 25-30°C तापमान इसके लिए आदर्श है।,Crop,Papaya,hi
पपीते के बीज की बुआई का समय?,नर्सरी के लिए बीज जून-जुलाई (खरीफ) या सितंबर-अक्टूबर में बोए जाते हैं।,Crop,Papaya,hi
पपीते के लिए कैसी मिट्टी सबसे अच्छी है?,"अच्छी जल निकासी वाली उपजाऊ दोमट मिट्टी जिसका पीएच 6.5 से 7.0 हो, पपीते के लिए श्रेष्ठ है।",Crop,Papaya,hi
पपीते के लिए 'नर्सरी' कैसे तैयार करें?,बीज को छोटे पॉलीथिन बैग या प्रो-ट्रे में बोएं। 150-200 ग्राम बीज एक एकड़ के लिए पर्याप्त है।,Crop,Papaya,hi
पपीते के पौधों की रोपाई कब करें?,जब पौधे 15-20 सेमी ऊंचे हो जाएं और उनमें 4-5 पत्तियां निकल आएं (लगभग 2 महीने बाद)।,Crop,Papaya,hi
पपीते के लिए गड्ढे (Pits) कैसे तैयार करें?,"0.5 x 0.5 x 0.5 मीटर के गड्ढे खोदें और उन्हें गोबर की खाद, मिट्टी व कवकनाशी से भरें।",Crop,Papaya,hi
पपीते में खाद और उर्वरक की मात्रा?,"प्रति पौधा 200 ग्राम नाइट्रोजन, 200 ग्राम फास्फोरस और 400 ग्राम पोटाश प्रति वर्ष 3-4 किस्तों में देना चाहिए।",Crop,Papaya,hi
पपीते में पोटाश का क्या महत्व है?,"पोटाश फलों का आकार बढ़ाने, मिठास लाने और पौधों को पाले व रोगों से बचाने के लिए बहुत जरूरी है।",Crop,Papaya,hi
पपीते में सिंचाई का सही तरीका?,पपीते को नियमित लेकिन हल्की सिंचाई चाहिए। ड्रिप सिंचाई सबसे अच्छी है क्योंकि यह तने के पास पानी जमा नहीं होने देती।,Crop,Papaya,hi
पपीते का 'मोजेक' (Ring Spot) वायरस?,पत्तियों पर पीले धब्बे और फलों पर गोल छल्ले बनना। इसे एफिड्स फैलाते हैं। प्रभावित पौधों को तुरंत उखाड़कर जला दें।,Crop,Papaya,hi
पपीते में 'आर्द्र पतन' (Damping off) रोग?,यह नर्सरी की मुख्य बीमारी है। इससे बचने के लिए बीज उपचार करें और क्यारियों में जल भराव न होने दें।,Crop,Papaya,hi
पपीते में 'नर और मादा' पौधों की समस्या?,किस्म के आधार पर 10% नर पौधे परागण के लिए रखने चाहिए। गायनोडियोसियस (Gynodioecious) किस्मों में नर की जरूरत नहीं होती।,Crop,Papaya,hi
गायनोडियोसियस (Gynodioecious) किस्में क्या हैं?,"ये ऐसी किस्में हैं जिनमें केवल मादा और उभयलिंगी (Hermaphrodite) पौधे होते हैं, जिससे हर पौधे पर फल लगते हैं।",Crop,Papaya,hi
पपीते की कटाई कब करें?,जब फलों का रंग हरे से बदलकर हल्का पीला होने लगे और उनसे निकलने वाला दूध पानी जैसा हो जाए।,Crop,Papaya,hi
पपीते की औसत उपज कितनी होती है?,उन्नत किस्मों से प्रति पौधा 30 से 50 किग्रा तक फल प्राप्त किए जा सकते हैं।,Crop,Papaya,hi
