Question,Answer,Category,Crop,Language
'कृषि वानिकी' (Agroforestry) क्या है?,"खेत में फसलों के साथ-साथ मेड़ों पर इमारती या फलदार पेड़ लगाना, जो मिट्टी की रक्षा के साथ अतिरिक्त आय देते हैं।",General,General,hi
मालाबार नीम (Melia dubia) के फायदे?,यह बहुत तेजी से बढ़ने वाला पेड़ है जिसकी लकड़ी का उपयोग प्लाईवुड उद्योग में होता है और 5-6 साल में बंपर मुनाफा देता है।,General,General,hi
सहजन (Drumstick) की खेती?,सहजन एक बहुउपयोगी पौधा है जिसकी पत्तियां और फलियां पोषक तत्वों से भरपूर होती हैं। यह कम पानी में भी अच्छी आय देता है।,General,General,hi
'रेशम कीट पालन' (Sericulture) क्या है?,शहतूत के पेड़ लगाकर उन पर रेशम के कीड़ों को पालना और उनसे कीमती रेशम के कोकून प्राप्त करना।,General,General,hi
'मत्स्य पालन' (Pisciculture) के साथ बत्तख पालन?,"बत्तखें तालाब की सफाई करती हैं, उनका मल मछलियों के लिए खाद बनता है और अंडा-मांस अतिरिक्त आय देते हैं।",General,General,hi
'लाख' (Lac) की खेती क्या है?,पलाश या कुसुम के पेड़ों पर लाख के कीड़ों को पालकर प्राकृतिक राल (Lac) का उत्पादन करना।,General,General,hi
'एजोला' (Azolla) का चारा के रूप में उपयोग?,एजोला एक जलीय फर्न है जो पशुओं का दूध बढ़ाने और मुर्गियों के वजन के लिए बहुत पौष्टिक माना जाता है।,General,General,hi
'वर्मीकम्पोस्ट' बेड को धूप से बचाना क्यों जरूरी है?,"क्योंकि सीधी धूप और गर्मी से केंचुए मर सकते हैं, हमेशा बेड को शेड के नीचे या बोरे से ढक कर रखें।",General,General,hi
'जीवामृत' में गौमूत्र ही क्यों?,गौमूत्र में प्रचुर मात्रा में नाइट्रोजन और सूक्ष्मजीव होते हैं जो मिट्टी की उर्वरता को तेजी से सुधारते हैं।,General,General,hi
'मिट्टी की सघनता' (Soil Compaction) का पौधों पर असर?,"सख्त मिट्टी में जड़ों का विस्तार नहीं हो पाता, जिससे पौधों को पर्याप्त भोजन और पानी नहीं मिलता।",General,General,hi
'बोरॉन' का पौधों में मुख्य कार्य?,यह पौधों के अंदर पोषक तत्वों के परिवहन और फलों की बनावट व मिठास को बनाए रखने के लिए जरूरी है।,General,General,hi
'जिंक' की कमी से पौधों का बौनापन?,जस्ता (Zinc) की कमी से पौधों में वृद्धि हार्मोन का संतुलन बिगड़ जाता है और वे छोटे रह जाते हैं।,General,General,hi
'सल्फर' का तिलहन फसलों में महत्व?,गंधक (Sulphur) तेल की मात्रा और बीजों की सुगंध बढ़ाने के लिए सबसे महत्वपूर्ण तत्व है।,General,General,hi
'मृदा स्वास्थ्य कार्ड' में सूक्ष्म तत्वों की जांच क्यों?,"क्योंकि जस्ता, लोहा और बोरॉन जैसे तत्वों की थोड़ी सी कमी भी उपज को 20-30% तक कम कर सकती है।",General,General,hi
'हरी खाद' को मिट्टी में कब जोतना चाहिए?,"जब फसल में फूल आने शुरू हों (लगभग 45-50 दिन पर), तब उसे मिट्टी में मिला देना सबसे अच्छा है।",General,General,hi
'कंपोस्ट' और 'कम्पोस्टिंग' में अंतर?,"कंपोस्ट खाद है, और कचरे को सड़ाकर खाद बनाने की वैज्ञानिक प्रक्रिया को कम्पोस्टिंग कहते हैं।",General,General,hi
'वेस्ट डीकम्पोजर' का छिड़काव?,इसे मिट्टी में डालने के साथ-साथ खड़ी फसल पर स्प्रे करने से भी रोगों का प्रकोप कम होता है।,General,General,hi
'एकीकृत पोषक तत्व प्रबंधन' (INM)?,"पौधों को भोजन देने के लिए रासायनिक, जैविक और जैव-उर्वरकों का संतुलित उपयोग करना।",General,General,hi
'ड्रिप सिंचाई' में 'वेंचुरी' (Venturi) का काम?,यह सिंचाई के पानी के साथ उर्वरक को घोलकर पौधों तक पहुँचाने के लिए उपयोग होने वाला यंत्र है।,General,General,hi
'मल्चिंग' में प्लास्टिक फिल्म की मोटाई?,सब्जियों के लिए आमतौर पर 25 से 30 माइक्रोन की प्लास्टिक मल्चिंग फिल्म का उपयोग किया जाता है।,General,General,hi
'सोलर लाइट ट्रैप' का रात में उपयोग?,यह बिना बिजली के जलता है और रात में उड़ने वाले हानिकारक कीटों के पतंगों को अपनी ओर आकर्षित करता है।,General,General,hi
'बीज उत्पादन' और 'सामान्य खेती' में अंतर?,बीज उत्पादन में किस्म की शुद्धता (Isolation distance) और गुणवत्ता मानकों का कड़ाई से पालन करना पड़ता है।,General,General,hi
