Question,Answer,Category,Crop,Language
कृषि यंत्रीकरण (Farm Mechanization) का क्या लाभ है?,"इससे कृषि कार्यों में लगने वाले समय और श्रम की बचत होती है, लागत कम होती है और समय पर कार्य होने से पैदावार बढ़ती है।",Machinery,General,hi
ट्रैक्टर (Tractor) खरीदते समय किन बातों का ध्यान रखें?,"खेत के आकार, मिट्टी के प्रकार, आवश्यक हॉर्सपावर (HP), सर्विस सेंटर की उपलब्धता और ईंधन की खपत का ध्यान रखें।",Machinery,General,hi
पावर टिलर (Power Tiller) छोटे किसानों के लिए कैसे उपयोगी है?,"यह छोटे और पहाड़ी खेतों के लिए बहुत उपयुक्त है। इसका उपयोग जुताई, ढुलाई और पंप चलाने के लिए किया जा सकता है।",Machinery,General,hi
रोटावेटर (Rotavator) का क्या उपयोग है?,"यह मिट्टी को बारीक पीसने, फसल अवशेषों को मिट्टी में मिलाने और खेत को बुआई के लिए तैयार करने में बहुत प्रभावी है।",Machinery,General,hi
सीड ड्रिल (Seed Drill) से बुआई के क्या फायदे हैं?,"इससे बीज सही गहराई और उचित दूरी पर गिरते हैं, जिससे जमाव एक समान होता है और बीज की बचत होती है।",Machinery,General,hi
कल्टीवेटर (Cultivator) और हल (Plough) में क्या अंतर है?,"हल का उपयोग मिट्टी को पलटने और गहरी जुताई के लिए किया जाता है, जबकि कल्टीवेटर का उपयोग ऊपरी मिट्टी को भुरभुरा बनाने और खरपतवार निकालने के लिए किया जाता है।",Machinery,General,hi
लेजर लैंड लेवलर (Laser Land Leveler) के क्या लाभ हैं?,"यह खेत को पूरी तरह समतल करता है, जिससे सिंचाई के पानी की 20-30% बचत होती है और उपज 10-15% तक बढ़ जाती है।",Machinery,General,hi
हैप्पी सीडर (Happy Seeder) मशीन क्या है?,"यह मशीन धान के पुआल को बिना जलाए, उसी खेत में सीधे गेहूं की बुआई कर सकती है। यह पर्यावरण के लिए बहुत अच्छी है।",Machinery,General,hi
जीरो टिलेज मशीन (Zero Tillage Machine) का उपयोग कब करें?,"जब खेत की जुताई के बिना सीधे पिछली फसल के अवशेषों में बुआई करनी हो, इससे समय और डीजल की बचत होती है।",Machinery,General,hi
कंबाइन हार्वेस्टर (Combine Harvester) क्या है?,"यह एक ऐसी मशीन है जो फसल की कटाई, मड़ाई (थ्रेसिंग) और सफाई का काम एक साथ करती है।",Machinery,General,hi
रीपर (Reaper) मशीन का क्या कार्य है?,"रीपर का उपयोग केवल फसल (जैसे गेहूं, धान) को काटने के लिए किया जाता है। यह मजदूरों की कमी की समस्या को दूर करता है।",Machinery,General,hi
ड्रोन स्प्रेइंग (Drone Spraying) के क्या फायदे हैं?,"ड्रोन से कीटनाशकों का छिड़काव बहुत तेजी से होता है (15 मिनट में 1 एकड़), दवा की बचत होती है और किसान के स्वास्थ्य पर जहरीली दवाओं का असर नहीं पड़ता।",Machinery,General,hi
स्प्रेयर (Sprayer) मशीन के कितने प्रकार होते हैं?,"मुख्य रूप से नैपसैक (पीठ वाला), पावर स्प्रेयर, बैटरी चालित स्प्रेयर और ट्रैक्टर चालित स्प्रेयर होते हैं।",Machinery,General,hi
थ्रेशर (Thresher) चलाते समय क्या सावधानी बरतें?,"हाथों को फीडिंग रोलर से दूर रखें, ढीले कपड़े न पहनें और मशीन की गति को फसल की नमी के अनुसार सेट करें।",Machinery,General,hi
