Question,Answer,Category,Crop,Language
'पौधों में बीमारी' (Plant Disease) क्या है?,"पौधे की सामान्य जैविक क्रियाओं में होने वाला वह बदलाव जो उसकी वृद्धि, विकास या उपज को कम कर देता है।",Disease,General,hi
'धान का झुलसा' (Blast) और 'नमी'?,उच्च आर्द्रता (90%+) और रात का ठंडा तापमान (20-25°C) ब्लास्ट रोग के फैलने के लिए सबसे अनुकूल है।,Disease,Rice,hi
'गेहूं का पीला रतुआ' (Yellow Rust) और 'हवा'?,"यह रोग हवा के माध्यम से एक खेत से दूसरे खेत में बहुत तेजी से फैलता है, विशेषकर ठंडे मौसम में।",Disease,Wheat,hi
'आलू का पिछेती झुलसा' (Late Blight) और 'बादल'?,लगातार 2-3 दिन बादल छाए रहने और हल्की बारिश होने पर यह रोग पूरी फसल को मात्र 48 घंटे में नष्ट कर सकता है।,Disease,Potato,hi
'टमाटर' में 'बैक्टीरियल विल्ट' (Bilt) की पहचान?,"पौधे की ताजी पत्तियां अचानक मुरझा जाती हैं, लेकिन वे हरी ही रहती हैं। तने को काटकर पानी में डालने पर सफेद रस निकलता है।",Disease,Tomato,hi
'गन्ने का लाल सड़न' (Red Rot) और 'शराब जैसी गंध'?,संक्रमित गन्ने को चीरने पर उसमें से सड़ी हुई शराब जैसी गंध आना इस रोग की पक्की पहचान है।,Disease,Sugarcane,hi
'मिर्च का आर्द्र पतन' (Damping Off) और 'नर्सरी'?,यह नर्सरी की मुख्य बीमारी है जहाँ छोटे पौधों का तना जमीन के पास से गल कर गिर जाता है।,Disease,Chilli,hi
'सरसों का सफेद रतुआ' (White Rust) और 'पत्तियां'?,पत्तियों की निचली सतह पर सफेद रंग के उभरे हुए फफोले दिखाई देते हैं जो बाद में फलियों को भी खराब करते।,Disease,Mustard,hi
'दलहनी फसलों' में 'उकठा' (Wilt) और 'जड़ें'?,उकठा रोग में पौधे की मुख्य जड़ काली पड़ जाती है और पौधा ऊपर से नीचे की ओर सूखने लगता है।,Disease,Pulses,hi
'आम का गुच्छा रोग' (Malformation) और 'बौर'?,फूलों का गुच्छा बन जाना और उनका काला होकर सूख जाना। इसमें फल नहीं लगते।,Disease,Mango,hi
'नींबू का कैंकर' (Citrus Canker) और 'बारिश'?,यह बैक्टीरिया जनित रोग बारिश की बूंदों और हवा के साथ बहुत तेजी से पूरे बाग में फैलता है।,Disease,Fruits,hi
