Question,Answer,Category,Crop,Language
मखाना की खेती का परिचय क्या है?,मखाना (Euryale ferox) एक जलीय जड़ी-बूटी है जिसके बीजों को भूनकर स्वादिष्ट मखाना तैयार किया जाता है। बिहार दुनिया का 80-90% मखाना पैदा करता है।,Crop,Makhana,hi
मखाना के लिए उपयुक्त जलवायु?,इसके लिए उष्णकटिबंधीय जलवायु अच्छी है। 20-35°C तापमान और 70-90% आर्द्रता इसके विकास के लिए आदर्श है।,Crop,Makhana,hi
मखाना की खेती के दो मुख्य तरीके क्या हैं?,1. पारंपरिक तालाब विधि (Pond System) और 2. आधुनिक खेत विधि (Field System)।,Crop,Makhana,hi
मखाना की 'खेत विधि' (Field System) क्या है?,खेतों में 1-2 फीट पानी भरकर मखाना उगाना। यह विधि पारंपरिक तालाबों की तुलना में आसान और अधिक लाभदायक है।,Crop,Makhana,hi
मखाना की बुआई का सही समय?,नर्सरी के लिए बीज दिसंबर-जनवरी में डाले जाते हैं और रोपाई फरवरी-मार्च में की जाती है।,Crop,Makhana,hi
मखाना के लिए कैसी मिट्टी सबसे अच्छी है?,मखाना के लिए भारी मटियार मिट्टी सबसे अच्छी है जो लंबे समय तक पानी रोक सके।,Crop,Makhana,hi
मखाना की प्रति एकड़ बीज दर?,खेत विधि के लिए 30-40 किग्रा बीज प्रति हेक्टेयर नर्सरी के लिए पर्याप्त होता है।,Crop,Makhana,hi
मखाना की नर्सरी कैसे तैयार करें?,बीज को पानी से भरे छोटे तालाब या खेत के हिस्से में बोएं। 2 महीने में पौधे रोपाई के लिए तैयार हो जाते हैं।,Crop,Makhana,hi
मखाना के पौधों की रोपाई कब करें?,जब पौधों में 4-5 पत्तियां निकल आएं और वे 2 महीने के हो जाएं।,Crop,Makhana,hi
मखाना में खाद और उर्वरक की मात्रा?,"खेत विधि में प्रति हेक्टेयर 100 किग्रा नाइट्रोजन, 60 किग्रा फास्फोरस और 40 किग्रा पोटाश की आवश्यकता होती है।",Crop,Makhana,hi
मखाना में 'पोटाश' का क्या महत्व है?,पोटाश बीजों के आकार और उनकी चमक बढ़ाने के साथ-साथ पौधों को रोगों से बचाने में मदद करता है।,Crop,Makhana,hi
मखाना में जल प्रबंधन?,खेत में पूरे समय 1-2 फीट पानी बना रहना चाहिए। पानी सूखने पर पत्तियां गलने लगती हैं।,Crop,Makhana,hi
मखाना के 'फूल' कब आते हैं?,रोपाई के 2-3 महीने बाद (अप्रैल-मई) फूल आने शुरू हो जाते हैं। फूल पानी की सतह पर खिलते हैं।,Crop,Makhana,hi
मखाना के बीजों (Gauri) की कटाई कब करें?,जब फल पानी के अंदर फट जाएं और बीज (गुरी) तालाब के तल पर बैठ जाएं। आमतौर पर अगस्त-सितंबर में।,Crop,Makhana,hi
मखाना की औसत उपज कितनी होती है?,खेत विधि से 2.5 से 3 टन प्रति हेक्टेयर बीजों की उपज प्राप्त की जा सकती है।,Crop,Makhana,hi
मखाना की प्रमुख उन्नत किस्में?,स्वर्ण वैदेही और सबौर मखाना-1 बिहार के लिए बहुत अच्छी और अधिक उपज देने वाली किस्में हैं।,Crop,Makhana,hi
मखाना का 'पोपिंग' (Popping) क्या है?,बीजों को भूनकर उन्हें लकड़ी के हथौड़े से मारना जिससे वे फूटकर सफेद मखाना बन जाते हैं।,Crop,Makhana,hi
मखाना की खेती में 'मिट्टी चढ़ावा'?,"मखाना एक जलीय फसल है, इसमें मिट्टी नहीं चढ़ाई जाती, लेकिन खेत की सफाई जरूरी है।",Crop,Makhana,hi
मखाना के साथ 'मछली पालन'?,मखाना के खेत में मछली पालन करना बहुत लाभदायक है। मछलियाँ मखाना के कीटों को खाती हैं और अतिरिक्त आय देती हैं।,Crop,Makhana,hi
मखाना में 'जिंक सल्फेट' का लाभ?,जिंक की कमी से पौधों का विकास रुक जाता है। 20-25 किग्रा जिंक सल्फेट प्रति हेक्टेयर मिट्टी में डालना अच्छा है।,Crop,Makhana,hi
