Question,Answer,Category,Crop,Language
दलहनी फसलों (Pulses) का कृषि में क्या महत्व है?,दलहनी फसलें मिट्टी की उर्वरता बढ़ाती हैं (नाइट्रोजन स्थिरीकरण) और मनुष्यों के लिए प्रोटीन का मुख्य स्रोत हैं।,Crop,Pulses,hi
चना (Chickpea) की खेती के लिए सबसे उपयुक्त मिट्टी?,चने के लिए अच्छी जल निकासी वाली दोमट या मटियार दोमट मिट्टी सबसे अच्छी है। भारी काली मिट्टी भी उपयुक्त है।,Crop,Pulses,hi
चने की बुआई का सही समय?,बिहार में चने की बुआई 15 अक्टूबर से 15 नवंबर तक कर लेनी चाहिए।,Crop,Pulses,hi
चने की प्रति एकड़ बीज दर?,देशी किस्मों के लिए 30-35 किग्रा और काबुली चने के लिए 40-50 किग्रा प्रति एकड़ बीज की जरूरत होती है।,Crop,Pulses,hi
दलहनी फसलों का बीज उपचार क्यों जरूरी है?,बीज जनित रोगों (उकठा) और कीटों से बचाव के लिए कार्बेन्डाजिम या ट्राइकोडर्मा से बीज उपचार अनिवार्य है।,Crop,Pulses,hi
राइजोबियम कल्चर (Rhizobium) क्या है?,यह एक जैव-उर्वरक है जो दलहनी फसलों की जड़ों में गांठें बनाकर हवा से नाइट्रोजन सोखने में मदद करता है।,Crop,Pulses,hi
चने में 'निकोलाई' या 'निपिंग' (Nipping) क्या है?,"बुआई के 30-40 दिन बाद चने के ऊपरी कोमल सिरों को तोड़ना निपिंग कहलाता है, इससे अधिक शाखाएं निकलती हैं और पैदावार बढ़ती है।",Crop,Pulses,hi
मसूर (Lentil) की खेती के लिए बिहार का कौन सा क्षेत्र प्रसिद्ध है?,बिहार का 'ताल' (Tal) क्षेत्र मसूर और चने के उत्पादन के लिए बहुत प्रसिद्ध है।,Crop,Pulses,hi
मसूर की बुआई का समय?,मसूर की बुआई अक्टूबर के मध्य से नवंबर के मध्य तक की जाती है।,Crop,Pulses,hi
मूंग (Mung bean) किस मौसम की फसल है?,मूंग खरीफ और जायद (गर्मी) दोनों मौसमों में उगाई जा सकती है। बिहार में जायद मूंग बहुत लोकप्रिय है।,Crop,Pulses,hi
जायद मूंग की बुआई कब करें?,गेहूं की कटाई के तुरंत बाद यानी मार्च के मध्य से अप्रैल के पहले सप्ताह तक बुआई कर देनी चाहिए।,Crop,Pulses,hi
अरहर (Pigeon Pea) की लंबी अवधि वाली किस्में कितने दिन में पकती हैं?,लंबी अवधि वाली किस्में पकने में 240 से 280 दिन (8-9 महीने) का समय लेती हैं।,Crop,Pulses,hi
अरहर की बुआई का सही समय?,खरीफ अरहर की बुआई जून के मध्य से जुलाई के मध्य तक मानसून आने पर करनी चाहिए।,Crop,Pulses,hi
उड़द (Urad bean) की खेती के क्या लाभ हैं?,यह कम समय में तैयार होने वाली फसल है और मिट्टी की उर्वरता में सुधार करती है।,Crop,Pulses,hi
दलहनी फसलों में खाद की मात्रा?,इन्हें नाइट्रोजन की कम (20 किग्रा) और फास्फोरस की अधिक (40-50 किग्रा) मात्रा की आवश्यकता होती है।,Crop,Pulses,hi
दलहनी फसलों में जल भराव (Waterlogging) का प्रभाव?,"दलहनी फसलें जल भराव के प्रति बहुत संवेदनशील होती हैं, 24 घंटे पानी रुकने पर फसल बर्बाद हो सकती है।",Crop,Pulses,hi
चने का 'उकठा' (Wilt) रोग क्या है?,इसमें पौधा अचानक सूख जाता है और जड़ें काली पड़ जाती हैं। यह फफूंद के कारण होता है।,Crop,Pulses,hi
उकठा रोग का नियंत्रण कैसे करें?,"फसल चक्र अपनाएं, प्रतिरोधी किस्में लगाएं और बीज को ट्राइकोडर्मा से उपचारित करें।",Crop,Pulses,hi
दलहनी फसलों में 'फली छेदक' (Pod Borer) कीट?,यह इल्ली फलियों में छेद करके दानों को खा जाती है। यह चना और अरहर का मुख्य शत्रु है।,Crop,Pulses,hi
फली छेदक का नियंत्रण?,नीम तेल का छिड़काव करें या इमामेक्टिन बेंजोएट (Emamectin benzoate) का प्रयोग करें।,Crop,Pulses,hi
मूंग में 'पीला मोजेक' (Yellow Mosaic) वायरस?,पत्तियां पीली पड़ जाती हैं। इसे सफेद मक्खी फैलाती है। प्रतिरोधी किस्में लगाना ही सबसे अच्छा बचाव है।,Crop,Pulses,hi
दलहनी फसलों की कटाई कब करें?,जब 80-90% फलियां सूखकर भूरी या काली पड़ जाएं और दाने कड़े हो जाएं।,Crop,Pulses,hi
दालों के भंडारण में 'धोरा' (Pulse Beetle) कीट?,यह दानों में छेद करके उन्हें खोखला कर देता है। भंडारण से पहले दानों को अच्छी तरह सुखाएं।,Crop,Pulses,hi
दालों के भंडारण के लिए कितनी नमी होनी चाहिए?,सुरक्षित भंडारण के लिए नमी 9-10% से कम होनी चाहिए।,Crop,Pulses,hi
चने की प्रमुख किस्में?,"बिहार के लिए राजेंद्र चना-1, पूसा-256 और पूसा-372 अच्छी किस्में हैं।",Crop,Pulses,hi
अरहर की 'बहार' (Bahar) किस्म की क्या विशेषता है?,यह बिहार के लिए बहुत प्रसिद्ध किस्म है जो उकठा रोग के प्रति सहनशील है और अधिक उपज देती है।,Crop,Pulses,hi
मसूर की 'HUL-57' किस्म?,यह छोटे दाने वाली और अधिक उपज देने वाली एक लोकप्रिय किस्म है।,Crop,Pulses,hi
दलहनी फसलों में 'गंधक' (Sulphur) का महत्व?,सल्फर दानों में प्रोटीन की मात्रा बढ़ाता है और पौधों के विकास में सहायक है।,Crop,Pulses,hi
चने में 'सिंचाई' कब करनी चाहिए?,यदि नमी कम हो तो फूल आने से पहले और फलियां बनते समय हल्की सिंचाई करें। फूल आने के समय सिंचाई न करें।,Crop,Pulses,hi
मूंग की 'सम्राट' किस्म?,यह केवल 60-65 दिनों में तैयार होने वाली जायद मूंग की एक बेहतरीन किस्म है।,Crop,Pulses,hi
दलहनी फसलों में 'खरपतवार' नियंत्रण?,बुआई के तुरंत बाद पेंडीमेथलीन का छिड़काव करें या 20-25 दिन पर निराई करें।,Crop,Pulses,hi
दालों के दानों को चमक बढ़ाने के लिए क्या करें?,पोटाश का संतुलित प्रयोग दानों के आकार और गुणवत्ता में सुधार करता है।,Crop,Pulses,hi
खेती में 'दाल' आधारित फसल चक्र के लाभ?,दालों के बाद बोई जाने वाली फसल (जैसे गेहूं या धान) में नाइट्रोजन की 20-25% बचत होती है।,Crop,Pulses,hi
चने में 'खरा' (Acidic exudate) क्या है?,"चने की पत्तियों से निकलने वाला खट्टा पदार्थ जिसमें मैलिक और ऑक्सालिक एसिड होता है, यह चने की औषधीय विशेषता है।",Crop,Pulses,hi
अरहर में 'बांझपन रोग' (Sterility Mosaic)?,पत्तियां छोटी और हल्की हरी हो जाती हैं और फूल नहीं आते। इसे मकड़ी (Mites) फैलाती है।,Crop,Pulses,hi
दलहनी फसलों के लिए 'मृदा परीक्षण' क्यों?,फास्फोरस और सूक्ष्म तत्वों की सही मात्रा जानने के लिए मिट्टी की जांच बहुत जरूरी है।,Crop,Pulses,hi
राजमा (Kidney Bean) की खेती बिहार में?,बिहार के मैदानी इलाकों में रबी मौसम में राजमा की सफल खेती की जा सकती है।,Crop,Pulses,hi
दलहनी फसलों में 'जिंक' की कमी के लक्षण?,पौधों की वृद्धि रुक जाती है और पत्तियों पर कत्थई धब्बे पड़ जाते हैं।,Crop,Pulses,hi
दालों की 'मड़ाई' (Threshing) कैसे करें?,पूरी तरह सुखाकर थ्रेशर या डंडे से पीटकर दानों को अलग करें।,Crop,Pulses,hi
दालों के भंडारण में 'नीम तेल' का उपयोग?,दानों पर हल्का नीम तेल मल देने से धोरा कीट का आक्रमण नहीं होता।,Crop,Pulses,hi
चने की खेती में 'मिट्टी की ढेलेदार अवस्था' क्यों अच्छी है?,चने की जड़ों को हवा मिलने (Aeration) के लिए मिट्टी का बहुत ज्यादा भुरभुरा न होना फायदेमंद है।,Crop,Pulses,hi
