Question,Answer,Category,Crop,Language
मुर्गी पालन (Poultry Farming) का परिचय क्या है?,मुर्गियों को उनके मांस (Broiler) और अंडों (Layer) के लिए पालना मुर्गी पालन कहलाता है। यह बहुत ही कम समय में अधिक मुनाफा देने वाला व्यवसाय है।,Business,Poultry,hi
'ब्रॉयलर' (Broiler) मुर्गियां क्या होती हैं?,ब्रॉयलर मुर्गियां मांस उत्पादन के लिए पाली जाती हैं। ये 40-45 दिनों में 1.5 से 2 किग्रा वजन प्राप्त कर लेती हैं।,Business,Poultry,hi
'लेयर' (Layer) मुर्गियां क्या होती हैं?,लेयर मुर्गियां विशेष रूप से अंडा उत्पादन के लिए पाली जाती हैं। ये लगभग 18-20 सप्ताह की उम्र से अंडे देना शुरू करती हैं।,Business,Poultry,hi
मुर्गी फार्म के लिए 'आदर्श आवास' कैसा हो?,"फार्म ऊँचे स्थान पर, पूर्व-पश्चिम दिशा में लंबा और अच्छी हवादार जाली वाला होना चाहिए।",Business,Poultry,hi
मुर्गियों के लिए 'संतुलित आहार' में क्या दें?,"आहार में मक्का, सोयाबीन की खली, चोकर, मछली का चूरा और विटामिन-खनिज का मिश्रण होना चाहिए।",Business,Poultry,hi
मुर्गियों में 'टीकाकरण' (Vaccination) क्यों जरूरी है?,रानीखेत (Ranikhet) और गंबोरो (Gumboro) जैसी खतरनाक बीमारियों से बचाने के लिए टीकाकरण अनिवार्य है।,Business,Poultry,hi
मुर्गियों को दिन में कितनी बार पानी देना चाहिए?,मुर्गियों के पास 24 घंटे साफ और ताजा पानी उपलब्ध होना चाहिए। पानी में समय-समय पर कीटाणुनाशक मिलाएं।,Business,Poultry,hi
'ब्रूडिंग' (Brooding) क्या है?,छोटे चूजों को शुरू के 2-3 सप्ताह तक कृत्रिम रूप से गर्मी देना ब्रूडिंग कहलाता है। इसके लिए बिजली के बल्ब या हीटर का उपयोग होता है।,Business,Poultry,hi
'देसी मुर्गी' पालन के क्या लाभ हैं?,"देसी मुर्गियां (जैसे- कड़कनाथ) सख्त होती हैं, कम बीमार पड़ती हैं और इनके मांस व अंडों की बाजार में बहुत ऊँची कीमत मिलती है।",Business,Poultry,hi
'कड़कनाथ' मुर्गी की क्या विशेषता है?,"इसका मांस, हड्डियाँ और यहाँ तक कि खून भी काला होता है। यह औषधीय गुणों से भरपूर और बहुत महंगा बिकता है।",Business,Poultry,hi
मुर्गी फार्म में 'बिछावन' (Litter) का प्रबंधन?,फर्श पर धान की भूसी या लकड़ी का बुरादा बिछाएं और उसे हमेशा सूखा रखें ताकि अमोनिया गैस न बने।,Business,Poultry,hi
मुर्गियों में 'रानीखेत' रोग के लक्षण क्या हैं?,"मुर्गियों को सांस लेने में दिक्कत, गर्दन मुड़ जाना और हरे रंग की दस्त होना। इसका एकमात्र बचाव समय पर टीका है।",Business,Poultry,hi
मुर्गी पालन में 'प्रकाश' (Lighting) का महत्व?,लेयर मुर्गियों में अंडा उत्पादन बढ़ाने के लिए रात में अतिरिक्त रोशनी (कुल 16 घंटे) की जरूरत होती है।,Business,Poultry,hi
'FCR' (Feed Conversion Ratio) क्या है?,"यह बताता है कि मुर्गी ने कितना दाना खाकर कितना वजन बढ़ाया। जितना कम FCR होगा, उतना अधिक मुनाफा होगा।",Business,Poultry,hi
मुर्गी फार्म में 'बायो-सिक्योरिटी' (Bio-security) क्या है?,"बाहरी लोगों, पक्षियों और जानवरों का प्रवेश रोकना और फार्म पर कीटाणुनाशक का नियमित छिड़काव करना।",Business,Poultry,hi
मुर्गियों के अंडों का भंडारण?,अंडों को ठंडी और सूखी जगह पर रखें। अधिक समय के लिए उन्हें 10-12 डिग्री सेल्सियस तापमान पर भंडारित करें।,Business,Poultry,hi
मुर्गी पालन में 'रिकॉर्ड' रखना क्यों जरूरी है?,"दाना खर्च, मृत्यु दर, वजन और दवाइयों का रिकॉर्ड रखने से फार्म की लाभप्रदता का पता चलता है।",Business,Poultry,hi
मुर्गियों के लिए 'खनिज मिश्रण' (Mineral Mixture) की मात्रा?,दाना मिश्रण में 2-3% खनिज और विटामिन का पाउडर जरूर मिलाएं।,Business,Poultry,hi
मुर्गियों में 'पेट के कीड़े' (Deworming) की दवा कब दें?,लेयर मुर्गियों को हर 2-3 महीने में एक बार कीड़े की दवा पानी में मिलाकर देनी चाहिए।,Business,Poultry,hi
क्या मुर्गी पालन के लिए सरकारी 'सब्सिडी' मिलती है?,"हाँ, बिहार और अन्य राज्यों में 'पोल्ट्री फार्म' खोलने के लिए 25-50% तक सब्सिडी और बैंक ऋण मिलता है।",Business,Poultry,hi
'चूजों' (Chicks) को लाने के बाद पहली खुराक?,चूजों को पहले चीनी या गुड़ का पानी और फिर मक्के का दलिया देना चाहिए ताकि उन्हें तुरंत ऊर्जा मिले।,Business,Poultry,hi
मुर्गी फार्म में 'तापमान' का नियंत्रण?,"गर्मियों में छत पर पुआल बिछाएं, फोगर्स लगाएं और सर्दियों में पर्दों का उपयोग करके तापमान संतुलित रखें।",Business,Poultry,hi
मुर्गियों के 'बीट' (Droppings) का खाद के रूप में उपयोग?,मुर्गियों की खाद नाइट्रोजन और फास्फोरस से भरपूर होती है और फसलों के लिए बहुत अच्छी मानी जाती है।,Business,Poultry,hi
अंडे देने वाली मुर्गियों के लिए 'कैल्शियम' का महत्व?,कैल्शियम अंडों के छिलके को मजबूत बनाता है। इसके लिए दाने में सीप का चूरा या मार्बल पाउडर मिलाएं।,Business,Poultry,hi
मुर्गियों में 'चोंच काटना' (Debeaking) क्यों जरूरी है?,ताकि मुर्गियाँ एक-दूसरे को न चोंच मारें (Cannibalism) और दाना बर्बाद न करें।,Business,Poultry,hi
मुर्गी पालन शुरू करने वाले नए किसानों के लिए सलाह?,हमेशा अच्छे हैचरी (Hatchery) से ही चूजे खरीदें और शुरू में कम संख्या (500 चूजे) से शुरुआत करें।,Business,Poultry,hi
'फ्री रेंज' (Free Range) मुर्गी पालन क्या है?,मुर्गियों को बाड़े में बंद करने के बजाय खुले में चरने के लिए छोड़ना। इससे दाने का खर्च कम होता है।,Business,Poultry,hi
