Question,Answer,Category,Crop,Language
सिंचाई (Irrigation) का कृषि में क्या महत्व है?,फसलों को उनकी आवश्यकतानुसार समय-समय पर कृत्रिम रूप से पानी देना सिंचाई कहलाता है। यह पोषक तत्वों को सोखने और पौधों की वृद्धि के लिए अनिवार्य है।,Irrigation,General,hi
सिंचाई की प्रमुख विधियाँ कौन सी हैं?,"मुख्य विधियाँ हैं: सतही सिंचाई (Flood), ड्रिप (टपक), स्प्रिंकलर (फुहारा) और मेड़-नाली सिंचाई।",Irrigation,General,hi
ड्रिप सिंचाई (Drip Irrigation) क्या है?,इस विधि में पाइप और एमिटर की मदद से पानी को सीधे पौधों की जड़ों में बूंद-बूंद करके दिया जाता है। इससे पानी की 50-70% बचत होती है।,Irrigation,General,hi
स्प्रिंकलर सिंचाई (Sprinkler Irrigation) के क्या लाभ हैं?,यह विधि बारिश की तरह छिड़काव करती है। यह ऊबड़-खाबड़ जमीन और रेतीली मिट्टी के लिए सबसे अच्छी है।,Irrigation,General,hi
बाढ़ सिंचाई (Flood Irrigation) के नुकसान क्या हैं?,"इसमें पानी की बहुत बर्बादी होती है, पोषक तत्व मिट्टी के नीचे बह जाते हैं और जलभराव का खतरा रहता है।",Irrigation,General,hi
मेड़-नाली सिंचाई (Furrow Irrigation) कब उपयोगी है?,"यह आलू, गन्ना और सब्जियों जैसी फसलों के लिए उपयुक्त है जहाँ पानी सीधे तने के संपर्क में नहीं आता।",Irrigation,General,hi
फसलों की सिंचाई के लिए 'क्रांतिक अवस्था' (Critical Stage) क्या है?,"वह समय जब फसल को पानी की सबसे अधिक जरूरत होती है, जैसे- गेहूं में CRI अवस्था और धान में फूल आने का समय।",Irrigation,General,hi
धान में सिंचाई का प्रबंधन कैसे करें?,"धान में 2-5 सेमी पानी बना रहना चाहिए, लेकिन कल्ले निकलने के समय पानी थोड़ा कम करना फायदेमंद होता है।",Irrigation,General,hi
गेहूं में पहली सिंचाई कब करें?,बुआई के 21 से 25 दिन बाद (Crown Root Initiation अवस्था) पहली सिंचाई करना सबसे महत्वपूर्ण है।,Irrigation,General,hi
क्या खारे पानी (Saline Water) से सिंचाई की जा सकती है?,"हल्का खारा पानी कुछ फसलों (जैसे- सरसों, जौ) के लिए उपयोग किया जा सकता है, लेकिन यह मिट्टी का स्वास्थ्य बिगाड़ सकता है।",Irrigation,General,hi
मल्चिंग (Mulching) सिंचाई में कैसे मदद करती है?,"मिट्टी की सतह को ढकने से वाष्पीकरण कम होता है, जिससे सिंचाई का अंतराल बढ़ जाता है और पानी की बचत होती है।",Irrigation,General,hi
प्लास्टिक मल्चिंग के क्या लाभ हैं?,"यह खरपतवारों को रोकता है, मिट्टी की नमी बनाए रखता है और फलों को सड़ने से बचाता है।",Irrigation,General,hi
लेजर लैंड लेवलर (Laser Land Leveler) का सिंचाई में महत्व?,यह खेत को पूरी तरह समतल कर देता है जिससे पानी पूरे खेत में एक समान और तेजी से फैलता है।,Irrigation,General,hi
ड्रिप सिंचाई पर सरकारी सब्सिडी कितनी है?,प्रधानमंत्री कृषि सिंचाई योजना (PMKSY) के तहत छोटे किसानों को 75-90% तक सब्सिडी दी जाती है।,Irrigation,General,hi
वाटर हार्वेस्टिंग (Water Harvesting) क्या है?,बारिश के पानी को तालाबों या टैंकों में इकट्ठा करके उसे सूखे के समय सिंचाई के लिए उपयोग करना।,Irrigation,General,hi
फार्म पॉन्ड (Farm Pond) योजना क्या है?,"खेत के एक हिस्से में तालाब बनाकर बारिश का पानी जमा करना, इसके लिए सरकार अनुदान देती है।",Irrigation,General,hi
नहर (Canal) सिंचाई के क्या लाभ हैं?,यह सिंचाई का सबसे सस्ता स्रोत है और नहर के पानी के साथ आने वाली गाद मिट्टी को उपजाऊ बनाती है।,Irrigation,General,hi
ट्यूबवेल (Tube well) सिंचाई की समस्या?,"भूजल स्तर का लगातार नीचे जाना एक बड़ी समस्या है, इसलिए अब सोलर पंपों को बढ़ावा दिया जा रहा है।",Irrigation,General,hi
सोलर पंप (Solar Pump) के लाभ?,इससे बिजली और डीजल का खर्च शून्य हो जाता है और दिन के समय सिंचाई करना आसान होता है।,Irrigation,General,hi
क्या अधिक सिंचाई से मिट्टी खराब हो सकती है?,"हाँ, अधिक पानी से मिट्टी लवणीय (Saline) हो सकती है और जड़ों को ऑक्सीजन नहीं मिलती।",Irrigation,General,hi
पाइप लाइन सिंचाई (Pipe Irrigation) का महत्व?,खुली नालियों की तुलना में पाइप से पानी ले जाने पर 20-30% पानी की बर्बादी रुकती है।,Irrigation,General,hi
क्या पौधों को 'रात' में सिंचाई करनी चाहिए?,"सर्दियों में रात में सिंचाई पाले से बचाती है, लेकिन सब्जियों में रात की सिंचाई फफूंद रोगों को बढ़ा सकती है।",Irrigation,General,hi
