Question,Answer,Category,Crop,Language
लहसुन की खेती का परिचय क्या है?,लहसुन (Allium sativum) भारत की एक महत्वपूर्ण मसाला फसल है। यह अपने औषधीय गुणों और विशिष्ट स्वाद के लिए पूरी दुनिया में प्रसिद्ध है।,Crop,Garlic,hi
लहसुन के लिए उपयुक्त जलवायु?,लहसुन के लिए ठंडी जलवायु अच्छी है। कंद बनते समय मध्यम तापमान और शुष्क मौसम की आवश्यकता होती है।,Crop,Garlic,hi
लहसुन की बुआई का सबसे अच्छा समय?,बिहार और उत्तर भारत में लहसुन की बुआई 15 सितंबर से 15 अक्टूबर तक कर लेनी चाहिए।,Crop,Garlic,hi
लहसुन की प्रति एकड़ बीज (कली) दर?,प्रति एकड़ लगभग 200 से 250 किग्रा स्वस्थ लहसुन की कलियों (Cloves) की आवश्यकता होती है।,Crop,Garlic,hi
लहसुन के बीजों का चयन कैसे करें?,"हमेशा बड़े आकार की, स्वस्थ और रोगमुक्त कलियों का ही चुनाव करें। बाहरी कलियां बुआई के लिए श्रेष्ठ होती हैं।",Crop,Garlic,hi
लहसुन की बुआई की विधि क्या है?,कलियों को 3-5 सेमी गहराई पर बोना चाहिए। पंक्तियों की दूरी 15 सेमी और कलियों की दूरी 10 सेमी रखें।,Crop,Garlic,hi
लहसुन के लिए कैसी मिट्टी सबसे अच्छी है?,"अच्छी जल निकासी वाली उपजाऊ दोमट मिट्टी जिसमें प्रचुर मात्रा में कार्बनिक पदार्थ हों, लहसुन के लिए श्रेष्ठ है।",Crop,Garlic,hi
लहसुन में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 40 किग्रा नाइट्रोजन, 20 किग्रा फास्फोरस और 20 किग्रा पोटाश की आवश्यकता होती है।",Crop,Garlic,hi
लहसुन में 'सल्फर' (गंधक) का महत्व?,"सल्फर लहसुन के तीखेपन, गंध और भंडारण क्षमता को बढ़ाने के लिए सबसे जरूरी तत्व है। 20 किग्रा सल्फर प्रति एकड़ दें।",Crop,Garlic,hi
लहसुन में सिंचाई का सही तरीका?,लहसुन में हल्की और नियमित सिंचाई करें। कंद बनते समय पानी की कमी से कंद छोटे रह जाते हैं।,Crop,Garlic,hi
लहसुन में सिंचाई बंद करने का समय?,खुदाई से 15-20 दिन पहले सिंचाई बंद कर देनी चाहिए जब पत्तियां पीली पड़कर सूखने लगें।,Crop,Garlic,hi
लहसुन में 'थ्रिप्स' (Thrips) कीट के लक्षण?,पत्तियों पर चांदी जैसी चमक दिखाई देना और पत्तियों का मुड़ना। इसके लिए फिप्रोनिल या इमिडाक्लोप्रिड का छिड़काव करें।,Crop,Garlic,hi
लहसुन में 'बैंगनी धब्बा' (Purple Blotch) रोग?,पत्तियों पर बैंगनी रंग के धब्बे बनना। इसके नियंत्रण के लिए मैंकोज़ेब या कॉपर ऑक्सीक्लोराइड का छिड़काव करें।,Crop,Garlic,hi
लहसुन की खुदाई कब करें?,जब 50-70% पौधों की पत्तियां पीली पड़कर सूख जाएं और गर्दन (Neck) पतली हो जाए।,Crop,Garlic,hi
लहसुन का 'उपचार' (Curing) क्या है?,"खुदाई के बाद लहसुन को 3-4 दिन छाया में सुखाना ताकि उसका छिलका और गर्दन अच्छी तरह सूख जाए, जिससे वह लंबे समय तक सुरक्षित रहे।",Crop,Garlic,hi
लहसुन की औसत उपज कितनी होती है?,उन्नत किस्मों से प्रति एकड़ 40 से 60 क्विंटल तक पैदावार प्राप्त की जा सकती है।,Crop,Garlic,hi
लहसुन की प्रमुख उन्नत किस्में?,"बिहार के लिए यमुना सफेद-3 (G-282), एग्रीफाउंड व्हाइट, एग्रीफाउंड पार्वती और जी-50 अच्छी किस्में हैं।",Crop,Garlic,hi
लहसुन के भंडारण में सबसे बड़ी समस्या?,"कंदों का सूखना, वजन कम होना और फफूंद लगना भंडारण की मुख्य समस्याएं हैं।",Crop,Garlic,hi
लहसुन को लंबे समय तक सुरक्षित रखने के तरीके?,सूखे और हवादार स्थान पर जूट के बोरों में भरकर या रैक पर फैलाकर रखने से लहसुन 6-8 महीने सुरक्षित रहता है।,Crop,Garlic,hi
लहसुन की खेती में 'निराई-गुड़ाई'?,"लहसुन की जड़ें उथली होती हैं, इसलिए बहुत सावधानी से 2-3 बार निराई-गुड़ाई करनी चाहिए।",Crop,Garlic,hi
लहसुन में 'मिट्टी चढ़ावा'?,"लहसुन में मिट्टी नहीं चढ़ाई जाती, केवल खरपतवार नियंत्रण और हल्की गुड़ाई ही पर्याप्त है।",Crop,Garlic,hi
लहसुन के बाग में 'अंतःफसल'?,लहसुन को गन्ने या बागवानी फसलों के बीच में अंतर-फसल के रूप में आसानी से उगाया जा सकता है।,Crop,Garlic,hi
लहसुन में 'जिंक सल्फेट' का लाभ?,जिंक की कमी से पौधों की वृद्धि रुक जाती है। 0.5% जिंक सल्फेट का स्प्रे पत्तियों को स्वस्थ रखता है।,Crop,Garlic,hi
लहसुन की खेती में सबसे बड़ी चुनौती?,थ्रिप्स कीट का हमला और खुदाई के बाद सही ढंग से भंडारण न होना।,Crop,Garlic,hi
क्या बिहार में लहसुन की खेती सफल है?,"हाँ, बिहार के कई जिलों में लहसुन की बहुत लाभदायक खेती की जा रही है।",Crop,Garlic,hi
लहसुन की खेती शुरू करने वाले किसानों के लिए सलाह?,हमेशा बड़े आकार की कलियां ही बोएं और पोटाश व सल्फर का संतुलित प्रयोग करें।,Crop,Garlic,hi
यमुना सफेद-3 (G-282) किस्म की विशेषता?,इसके कंद बड़े और सफेद होते हैं और यह निर्यात के लिए बहुत उपयुक्त किस्म मानी जाती है।,Crop,Garlic,hi
लहसुन में 'सफेद मक्खी' का नियंत्रण?,नीम तेल या अनुशंसित कीटनाशक का छिड़काव पत्तियों के नीचे करें।,Crop,Garlic,hi
लहसुन के पौधों की 'छंटाई'?,"लहसुन में छंटाई की जरूरत नहीं होती, केवल सूखी पत्तियों को खुदाई के बाद हटाया जाता है।",Crop,Garlic,hi
लहसुन में 'नत्रजन' (Nitrogen) की अधिकता से नुकसान?,कंद बहुत नाजुक हो जाते हैं और भंडारण में जल्दी सड़ सकते हैं।,Crop,Garlic,hi
लहसुन की खेती में 'पोटाश' की टॉप ड्रेसिंग?,कंद बनने की शुरुआत में पोटाश देने से लहसुन का वजन और चमक बढ़ती है।,Crop,Garlic,hi
लहसुन के 'अवशेषों' का उपयोग?,खुदाई के बाद बची पत्तियों को सड़ाकर खाद बनाई जा सकती है।,Crop,Garlic,hi
लहसुन में 'मैग्नीशियम' की कमी के लक्षण?,पुरानी पत्तियों के किनारे पीले पड़ जाते हैं और कंदों का आकार छोटा रह जाता है।,Crop,Garlic,hi
लहसुन की 'तीखी' और 'हल्की' किस्में?,"देशी किस्में आमतौर पर अधिक तीखी होती हैं, जबकि कुछ उन्नत किस्में बड़े आकार और मध्यम तीखेपन वाली होती हैं।",Crop,Garlic,hi
लहसुन में 'फास्फोरस' का महत्व?,जड़ों के विकास और कंदों की मजबूती के लिए फास्फोरस अनिवार्य है।,Crop,Garlic,hi
लहसुन की खुदाई के समय 'सावधानी'?,कंदों को चोट न लगने दें अन्यथा वहां से फफूंद का संक्रमण शुरू हो सकता है।,Crop,Garlic,hi
लहसुन में 'बोरोन' की कमी?,कंदों का फटना और कलियों का अलग-अलग हो जाना बोरॉन की कमी का संकेत है।,Crop,Garlic,hi
लहसुन की 'मृदा' का पीएच मान?,6.0 से 7.5 के बीच का पीएच लहसुन के लिए सबसे अच्छा है।,Crop,Garlic,hi
लहसुन में 'आयरन' (लोहा) की कमी?,नई पत्तियां पूरी तरह पीली या सफेद हो जाती हैं। 0.5% फेरस सल्फेट का छिड़काव करें।,Crop,Garlic,hi
लहसुन की फसल में 'पाले' से बचाव?,ठंड के दिनों में खेत में हल्की सिंचाई करें और मल्चिंग का प्रयोग करें।,Crop,Garlic,hi
लहसुन की 'पेड़ी' फसल नहीं होती?,"हाँ, लहसुन हर साल नया बोया जाता है।",Crop,Garlic,hi
लहसुन में 'यूरिया' की मात्रा मिट्टी के अनुसार?,भारी मिट्टी में यूरिया कम किस्तों में और रेतीली मिट्टी में अधिक बार दें।,Crop,Garlic,hi
लहसुन के भंडारण में 'नमी'?,"भंडारण के समय लहसुन पूरी तरह सूखा होना चाहिए, नमी से वह जल्दी सड़ सकता है।",Crop,Garlic,hi
लहसुन की 'जी-50' किस्म की विशेषता?,यह अधिक उपज देने वाली और रोगों के प्रति मध्यम सहनशील किस्म है।,Crop,Garlic,hi
लहसुन में 'सफेद सड़न' (White Rot) रोग?,जड़ों के पास सफेद फफूंद जमना और पौधों का सूखना। मिट्टी का उपचार करें।,Crop,Garlic,hi
लहसुन की खेती में 'नर्सरी' नहीं होती?,"हाँ, लहसुन की कलियों को सीधे खेत में बोया जाता है।",Crop,Garlic,hi
लहसुन के कंदों को 'चमकदार' बनाने के लिए पोटाश?,"हाँ, पोटाश का उचित प्रयोग लहसुन के सफेद रंग और चमक को निखारता है।",Crop,Garlic,hi
लहसुन की खेती में 'मजदूरी' कम करने के तरीके?,मल्चिंग और मशीनी वीडर का उपयोग निराई का खर्च कम करता है।,Crop,Garlic,hi
लहसुन की कलियों में 'अंकुरण' न होने का कारण?,"खराब या पुरानी कलियां, बहुत अधिक गहराई या मिट्टी में नमी की कमी।",Crop,Garlic,hi
लहसुन की खेती के लिए सरकारी सब्सिडी?,बीज और सिंचाई यंत्रों पर उद्यान विभाग से अनुदान मिल सकता है।,Crop,Garlic,hi
लहसुन में 'लीफ माइनर' कीट की पहचान?,पत्तियों पर टेढ़ी-मेढ़ी सफेद लकीरें। नीम तेल का प्रयोग करें।,Crop,Garlic,hi
लहसुन की 'सघन' बुआई में उपज?,कलियों के बीच की दूरी कम करके उपज बढ़ाई जा सकती है लेकिन कंद छोटे रह सकते हैं।,Crop,Garlic,hi
लहसुन में 'सिंचाई' का अंतराल सर्दियों में?,सर्दियों में 10-15 दिन के अंतराल पर सिंचाई करना पर्याप्त है।,Crop,Garlic,hi
लहसुन की खुदाई के बाद 'गर्दन' की कटाई?,गर्दन को कंद से 2-3 सेमी छोड़कर काटना चाहिए ताकि कंद सुरक्षित रहे।,Crop,Garlic,hi
लहसुन में 'जिंक' की कमी से कंदों का विकास?,कलियां छोटी रह जाती हैं और लहसुन का कुल वजन कम हो जाता है।,Crop,Garlic,hi
लहसुन की 'अगेती' बुआई के लाभ?,बाजार में नया लहसुन जल्दी आने से बहुत अच्छी कीमत मिलती है।,Crop,Garlic,hi
लहसुन में 'पोटाश' की मात्रा मिट्टी परीक्षण के आधार पर?,हमेशा रिपोर्ट के अनुसार ही पोटाश डालें ताकि कंदों की गुणवत्ता सही मिले।,Crop,Garlic,hi
लहसुन के भंडारण में 'चूहों' का प्रबंधन?,"चूहे लहसुन को नुकसान पहुँचा सकते हैं, भंडारण क्षेत्र में जाली लगाएं।",Crop,Garlic,hi
लहसुन में 'यूरिया' को मेड़ के किनारे ही क्यों डालें?,ताकि सिंचाई के साथ घुलकर वह सीधे जड़ों तक पहुँचे।,Crop,Garlic,hi
लहसुन की 'एग्रीफाउंड पार्वती' किस्म?,यह किस्म बड़े कंदों और लंबी भंडारण क्षमता के लिए जानी जाती है।,Crop,Garlic,hi
लहसुन में 'फास्फोरस' के लिए 'एसएसपी' क्यों अच्छा है?,क्योंकि लहसुन को गंधक (Sulfur) की बहुत जरूरत होती है जो एसएसपी में होता है।,Crop,Garlic,hi
लहसुन की खुदाई के बाद 'त्रिपाल' से ढकना?,खेत में सुखाते समय लहसुन को उनकी अपनी ही पत्तियों से ढकें ताकि धूप से रंग न उड़े।,Crop,Garlic,hi
लहसुन में 'कल्ले' नहीं बल्कि 'कलियां' (Cloves) ही मुख्य उत्पाद हैं?,"हाँ, कलियों का विकास ही लहसुन की खेती का मुख्य उद्देश्य है।",Crop,Garlic,hi
लहसुन की 'मशीनी' बुआई?,अब लहसुन बोने के लिए प्लांटर मशीनें उपलब्ध हैं जो समय और श्रम बचाती हैं।,Crop,Garlic,hi
लहसुन में 'सल्फर' की कमी का प्रभाव?,लहसुन का तीखापन कम हो जाता है और छिलका बहुत पतला रह जाता है।,Crop,Garlic,hi
लहसुन की खुदाई के समय 'मिट्टी' सूखी होनी चाहिए?,"हाँ, ताकि कलियों पर कीचड़ न लगे और वे साफ रहें।",Crop,Garlic,hi
लहसुन में 'जिंक सल्फेट' का छिड़काव?,0.5% जिंक सल्फेट का छिड़काव पौधों की मजबूती के लिए लाभकारी है।,Crop,Garlic,hi
लहसुन की 'भीमा ओमकार' किस्म?,यह अधिक उपज देने वाली और अच्छी भंडारण क्षमता वाली एक नई किस्म है।,Crop,Garlic,hi
लहसुन में 'चूहों' के लिए 'जिंक फास्फाइड' का उपयोग?,इसे दानों या आटे में मिलाकर बिलों के पास रखें।,Crop,Garlic,hi
लहसुन की खुदाई के बाद 'ग्रेडिंग' का लाभ?,बड़े और साफ लहसुन को अलग करने से बाजार में बहुत ऊँची कीमत मिलती है।,Crop,Garlic,hi
लहसुन में 'पोटाश' की कमी से छिलके की मजबूती?,पोटाश कम होने पर लहसुन का छिलका जल्दी उतर जाता है जिससे वह खराब हो सकता है।,Crop,Garlic,hi
लहसुन की खेती में 'जल निकास' अनिवार्य क्यों है?,जड़ों के पास पानी रुकने से कलियां बहुत जल्दी गलने लगती हैं।,Crop,Garlic,hi
लहसुन में 'खरपतवार' नियंत्रण के लिए 'मल्चिंग'?,"लहसुन में मल्चिंग का प्रयोग बहुत सफल है, यह नमी बचाने के साथ खरपतवार रोकता है।",Crop,Garlic,hi
लहसुन की सिंचाई के लिए 'ड्रिप' और 'स्प्रिंकलर'?,"लहसुन के लिए दोनों विधियां अच्छी हैं, लेकिन ड्रिप सिंचाई कंदों के आकार के लिए श्रेष्ठ है।",Crop,Garlic,hi
लहसुन में 'एनपीके 19:19:19' का छिड़काव?,बुआई के 40 दिन बाद इसका छिड़काव पौधों को अतिरिक्त शक्ति देता है।,Crop,Garlic,hi
लहसुन की खुदाई के बाद 'खेत' को खाली न छोड़ें?,लहसुन के बाद जायद मूंग या मक्का बोना एक बहुत अच्छा फसल चक्र है।,Crop,Garlic,hi
