Question,Answer,Category,Crop,Language
धनिया की खेती का परिचय क्या है?,धनिया (Coriandrum sativum) भारत की एक प्रमुख मसाला और पत्तेदार सब्जी फसल है। इसका उपयोग सुगंध और स्वाद के लिए हर रसोई में किया जाता है।,Crop,Coriander,hi
धनिया के लिए उपयुक्त जलवायु?,धनिया के लिए ठंडी और शुष्क जलवायु अच्छी है। बीज बनते समय पाला (Frost) धनिया की फसल के लिए बहुत हानिकारक है।,Crop,Coriander,hi
धनिया की बुआई का सबसे अच्छा समय?,बिहार में धनिया की बुआई मुख्य रूप से 15 अक्टूबर से 15 नवंबर के बीच की जाती है।,Crop,Coriander,hi
धनिया की प्रति एकड़ बीज दर?,पत्ते के लिए 10-12 किग्रा और बीज उत्पादन के लिए 6-8 किग्रा प्रति एकड़ बीज पर्याप्त होता है।,Crop,Coriander,hi
धनिया के बीज को दो भागों में क्यों तोड़ा जाता है?,धनिया का फल (मरिकार्प) दो बीजों से बना होता है। इसे हल्के से रगड़कर तोड़ने से अंकुरण जल्दी और बेहतर होता है।,Crop,Coriander,hi
धनिया की बुआई की विधि क्या है?,धनिया को पंक्तियों में या छिड़काव विधि से बोया जा सकता है। पंक्तियों की दूरी 25-30 सेमी रखना बेहतर है।,Crop,Coriander,hi
धनिया के लिए कैसी मिट्टी सबसे अच्छी है?,"अच्छी जल निकासी वाली उपजाऊ दोमट मिट्टी जिसका पीएच 6.5 से 7.5 हो, धनिया के लिए श्रेष्ठ है।",Crop,Coriander,hi
धनिया में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 30 किग्रा नाइट्रोजन, 15 किग्रा फास्फोरस और 10 किग्रा पोटाश की आवश्यकता होती है।",Crop,Coriander,hi
धनिया में पोटाश का क्या महत्व है?,"पोटाश पौधों को रोगों से बचाने, बीजों की सुगंध बढ़ाने और पाले से सुरक्षा देने में मदद करता है।",Crop,Coriander,hi
धनिया में सिंचाई का सही तरीका?,धनिया में हल्की और नियमित सिंचाई करें। फूल आने और बीज बनते समय नमी की कमी नहीं होनी चाहिए।,Crop,Coriander,hi
धनिया का 'तना गाँठ' (Stem Gall) रोग?,तने और पत्तियों पर छोटी-छोटी गाँठें बनना। यह मिट्टी के कवक के कारण होता है। बीज उपचार ही मुख्य बचाव है।,Crop,Coriander,hi
धनिया में 'चूर्णी फफूंद' (Powdery Mildew) रोग?,पत्तियों और फूलों पर सफेद पाउडर जैसा जमाव। इसे रोकने के लिए घुलनशील सल्फर का छिड़काव करें।,Crop,Coriander,hi
धनिया का 'माहू' (Aphids) कीट?,यह कीट फूलों और पत्तियों का रस चूसता है। इसके नियंत्रण के लिए नीम तेल या इमिडाक्लोप्रिड का छिड़काव करें।,Crop,Coriander,hi
धनिया की कटाई कब करें?,हरे पत्तों के लिए बुआई के 30-40 दिन बाद। बीज के लिए जब 70-80% बीज भूरे रंग के हो जाएं।,Crop,Coriander,hi
धनिया की औसत उपज कितनी होती है?,उन्नत किस्मों से 5 से 8 क्विंटल सूखा बीज या 40 से 60 क्विंटल हरे पत्ते प्रति एकड़ प्राप्त किए जा सकते हैं।,Crop,Coriander,hi
धनिया की प्रमुख उन्नत किस्में?,"बिहार के लिए राजेंद्र धनिया-1, पंत हरितमा, स्वाति और साधना बहुत अच्छी किस्में हैं।",Crop,Coriander,hi
धनिया के बीजों का भंडारण?,बीजों को अच्छी तरह सुखाकर नमी रहित एयर-टाइट बैग्स या ड्रमों में ठंडी जगह पर रखें।,Crop,Coriander,hi
धनिया की खेती में 'निराई-गुड़ाई'?,बुआई के 25-30 दिन बाद एक हल्की निराई करना खरपतवार नियंत्रण के लिए बहुत जरूरी है।,Crop,Coriander,hi
धनिया के बाग (खेत) में 'अंतःफसल'?,"धनिया को गन्ने, आलू या चने के बीच में अंतर-फसल के रूप में आसानी से उगाया जा सकता है।",Crop,Coriander,hi
धनिया में 'जिंक सल्फेट' का लाभ?,जिंक की कमी से पौधों की वृद्धि रुक जाती है। 0.5% जिंक सल्फेट का स्प्रे पत्तियों की सुगंध और हरियाली बढ़ाता है।,Crop,Coriander,hi
धनिया की खेती में सबसे बड़ी चुनौती?,तना गाँठ रोग (Stem Gall) और बीज बनते समय पाले (Frost) का प्रकोप।,Crop,Coriander,hi
क्या बिहार में धनिया की खेती सफल है?,"हाँ, बिहार के मैदानी इलाकों में धनिया की बहुत लाभदायक और बड़े पैमाने पर खेती की जाती है।",Crop,Coriander,hi
धनिया की खेती शुरू करने वाले किसानों के लिए सलाह?,हमेशा बीज को दो भागों में तोड़कर और उपचारित करके ही बोएं।,Crop,Coriander,hi
