Question,Answer,Category,Crop,Language
केले की खेती का परिचय क्या है?,केला (Musa paradisiaca) भारत का सबसे महत्वपूर्ण फल है। यह ऊर्जा का बेहतरीन स्रोत है और साल भर उपलब्ध रहता है।,Crop,Banana,hi
केले के लिए उपयुक्त जलवायु?,केले के लिए गर्म और आर्द्र जलवायु अच्छी है। 20-30°C तापमान और उच्च आर्द्रता इसके विकास के लिए आदर्श है।,Crop,Banana,hi
केले की रोपाई का सही समय?,बिहार में केले की रोपाई मुख्य रूप से जून-जुलाई (मानसून की शुरुआत) में की जाती है।,Crop,Banana,hi
केले के लिए कैसी मिट्टी सबसे अच्छी है?,"अच्छी जल निकासी वाली उपजाऊ दोमट या मटियार दोमट मिट्टी जिसका पीएच 6.5 से 7.5 हो, केले के लिए सबसे अच्छी है।",Crop,Banana,hi
केले के लिए 'टिश्यू कल्चर' (Tissue Culture) पौधे क्यों श्रेष्ठ हैं?,"ये पौधे रोगमुक्त होते हैं, एक समान बढ़ते हैं और इनकी उपज पारंपरिक पुत्तियां (Suckers) की तुलना में अधिक होती है।",Crop,Banana,hi
केले की पुत्तियां (Suckers) से रोपाई कैसे करें?,"हमेशा 3-4 महीने पुरानी, स्वस्थ और तलवार जैसी पत्तियों वाली पुत्तियों (Sword suckers) का चुनाव करें।",Crop,Banana,hi
रोपाई के समय पौधों की दूरी क्या रखें?,किस्म के आधार पर 1.8 x 1.8 मीटर या 1.5 x 1.5 मीटर की दूरी रखनी चाहिए।,Crop,Banana,hi
केले के लिए गड्ढे (Pits) कैसे तैयार करें?,0.5 x 0.5 x 0.5 मीटर के गड्ढे खोदें और उन्हें गोबर की खाद व मिट्टी के मिश्रण से भरें।,Crop,Banana,hi
केले में खाद और उर्वरक की मात्रा?,"केला एक 'Hungry Crop' है। प्रति पौधा 200 ग्राम नाइट्रोजन, 50 ग्राम फास्फोरस और 200 ग्राम पोटाश की आवश्यकता होती है।",Crop,Banana,hi
केले में पोटाश का क्या महत्व है?,"पोटाश फलों का आकार बढ़ाने, गूदे की गुणवत्ता सुधारने और पौधों को बीमारियों से बचाने के लिए सबसे जरूरी है।",Crop,Banana,hi
केले में सिंचाई का सही तरीका?,केले को बहुत अधिक पानी चाहिए। ड्रिप सिंचाई सबसे अच्छी है। मिट्टी में हमेशा नमी बनी रहनी चाहिए।,Crop,Banana,hi
केले का 'पनामा विल्ट' (Panama Wilt) रोग क्या है?,यह एक गंभीर फफूंद रोग है जिससे पत्तियां पीली होकर सूख जाती हैं। प्रभावित पौधों को तुरंत उखाड़कर जला दें।,Crop,Banana,hi
केले का 'सिगाटोका' (Sigatoka) पत्ती धब्बा रोग?,पत्तियों पर भूरे-काले लंबे धब्बे पड़ जाते हैं जिससे पत्तियां जल्दी सूख जाती हैं। कवकनाशी का छिड़काव करें।,Crop,Banana,hi
केले में 'बंच कवरिंग' (Bunch Covering) के लाभ?,केले के गुच्छों को नीले या पारदर्शी प्लास्टिक से ढकने से फल कीटों से बचे रहते हैं और उनकी चमक बढ़ती है।,Crop,Banana,hi
केले की कटाई कब करें?,जब फलों का कोणापन (Angularity) खत्म हो जाए और वे गोल दिखने लगें। आमतौर पर रोपाई के 12-14 महीने बाद।,Crop,Banana,hi
केले की औसत उपज कितनी होती है?,उन्नत किस्मों (जैसे G-9) से प्रति एकड़ 25-30 टन तक पैदावार ली जा सकती है।,Crop,Banana,hi
