Question,Answer,Category,Crop,Language
भिंडी की खेती का परिचय क्या है?,भिंडी (Abelmoschus esculentus) भारत की एक बहुत ही लोकप्रिय सब्जी फसल है। यह साल भर उगाई जा सकती है और फाइबर व विटामिन का अच्छा स्रोत है।,Crop,Okra,hi
भिंडी के लिए उपयुक्त जलवायु?,भिंडी के लिए गर्म और आर्द्र जलवायु सबसे अच्छी है। 25-35°C तापमान इसके विकास के लिए आदर्श है। पाला भिंडी के लिए हानिकारक है।,Crop,Okra,hi
भिंडी की बुआई का समय?,जायद (गर्मी) के लिए फरवरी-मार्च और खरीफ (बरसात) के लिए जून-जुलाई में बुआई की जाती है।,Crop,Okra,hi
जायद में बीज दर अधिक क्यों होती है?,"क्योंकि गर्मी में पौधों का विकास कम होता है और अंकुरण भी कम हो सकता है, इसलिए पौधों की सघनता बढ़ाने के लिए बीज अधिक लगता है।",Crop,Okra,hi
भिंडी के लिए कैसी मिट्टी सबसे अच्छी है?,"अच्छी जल निकासी वाली उपजाऊ दोमट मिट्टी जिसका पीएच 6.0 से 7.0 हो, भिंडी के लिए श्रेष्ठ है।",Crop,Okra,hi
बुआई के समय पौधों की दूरी क्या रखें?,जायद में 30 x 15 सेमी और खरीफ में 45 x 30 सेमी की दूरी रखनी चाहिए।,Crop,Okra,hi
भिंडी में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 40 किग्रा नाइट्रोजन, 20 किग्रा फास्फोरस और 20 किग्रा पोटाश की आवश्यकता होती है।",Crop,Okra,hi
भिंडी में 'पोटाश' का क्या महत्व है?,"पोटाश पौधों को मजबूती देता है, फलों की चमक बढ़ाता है और रोगों से लड़ने की शक्ति देता है।",Crop,Okra,hi
भिंडी में सिंचाई का सही तरीका?,जायद में हर 4-5 दिन में और खरीफ में आवश्यकतानुसार सिंचाई करें। मिट्टी में नमी का संतुलन जरूरी है।,Crop,Okra,hi
भिंडी का 'पीला मोजेक' (Yellow Vein Mosaic) वायरस?,पत्तियों की नसें पीली पड़ जाती हैं और बाद में पूरी पत्ती पीली हो जाती है। इसे सफेद मक्खी (Whitefly) फैलाती है। प्रभावित पौधों को उखाड़ दें।,Crop,Okra,hi
पीला मोजेक वायरस का नियंत्रण?,सफेद मक्खी को नियंत्रित करने के लिए इमिडाक्लोप्रिड या थायोमिथोक्सम का छिड़काव करें और प्रतिरोधी किस्में लगाएं।,Crop,Okra,hi
भिंडी का 'फल व तना छेदक' (Fruit and Shoot Borer) कीट?,इल्ली कोमल तनों और फलों में छेद करके उन्हें खाती है। इसके लिए स्पिनोसाड या इमामेक्टिन बेंजोएट का प्रयोग करें।,Crop,Okra,hi
भिंडी की कटाई कब करें?,जब फल कोमल हों और उनका सिरा आसानी से टूट जाए (बुआई के 45-50 दिन बाद)।,Crop,Okra,hi
भिंडी की औसत उपज कितनी होती है?,हाइब्रिड किस्मों से 40 से 60 क्विंटल प्रति एकड़ तक उपज प्राप्त की जा सकती है।,Crop,Okra,hi
