Question,Answer,Category,Crop,Language
मौसम (Weather) का कृषि पर क्या प्रभाव पड़ता है?,"मौसम कृषि का सबसे महत्वपूर्ण कारक है। तापमान, वर्षा, आर्द्रता और प्रकाश की अवधि फसल की वृद्धि, कीटों के हमले और अंतिम उपज को सीधे प्रभावित करते हैं।",Weather,General,hi
अल नीनो (El Nino) क्या है और इसका भारतीय मानसून पर क्या असर होता है?,अल नीनो प्रशांत महासागर की एक गर्म समुद्री धारा है। इसके कारण अक्सर भारत में कम वर्षा (सूखा) की स्थिति पैदा होती है।,Weather,General,hi
ला नीना (La Nina) भारतीय खेती के लिए कैसी है?,"ला नीना आमतौर पर भारत में अच्छी और अधिक वर्षा लेकर आती है, जो खरीफ फसलों के लिए फायदेमंद होती है।",Weather,General,hi
हीट वेव (Heat Wave/लू) से फसलों को कैसे बचाएं?,"लू की स्थिति में शाम के समय हल्की सिंचाई करें, मल्चिंग (मिट्टी को ढकना) का प्रयोग करें और गर्मी सहन करने वाली किस्मों को चुनें।",Weather,General,hi
कोल्ड वेव (Cold Wave/पाला) का फसलों पर क्या असर होता है?,"पाले से पौधों की कोशिकाएं जम जाती हैं और वे फट जाती हैं, जिससे पत्तियां काली पड़कर सूख जाती हैं। टमाटर और आलू पर इसका बुरा असर होता है।",Weather,General,hi
पाले (Frost) से बचाव के क्या उपाय हैं?,"पाले की रात में खेत के चारों ओर धुंआ करना, हल्की सिंचाई करना और गंधक (Sulfur) के तेजाब का 0.1% छिड़काव करना प्रभावी है।",Weather,General,hi
उच्च आर्द्रता (High Humidity) से कौन से रोग बढ़ते हैं?,"उच्च आर्द्रता से फफूंद जनित रोग जैसे झुलसा (Blight), डाउनी मिल्ड्यू और चूर्णी फफूंद का प्रकोप तेजी से बढ़ता है।",Weather,General,hi
बादल छाए रहने (Cloudy Weather) से कीटों पर क्या प्रभाव पड़ता है?,लगातार बादल छाए रहने से एफिड्स (चेपा) और भूरा फदका जैसे रस चूसने वाले कीटों की आबादी बहुत जल्दी बढ़ती है।,Weather,General,hi
वर्षा आधारित खेती (Rainfed Farming) क्या है?,वह खेती जो पूरी तरह से मानसून की बारिश पर निर्भर होती है और जहाँ सिंचाई के अन्य साधन उपलब्ध नहीं होते।,Weather,General,hi
मानसून की देरी होने पर किसानों को क्या करना चाहिए?,"कम अवधि वाली किस्में बोएं, धान की जगह मोटे अनाज (मिलेट्स) या दलहन उगाएं और जल संचयन तकनीकों का प्रयोग करें।",Weather,General,hi
सूखा (Drought) प्रबंधन के लिए कौन सी तकनीकें श्रेष्ठ हैं?,"सूखे की स्थिति में ड्रिप सिंचाई, जीवन रक्षक सिंचाई के लिए फार्म पॉन्ड और नमी बचाने के लिए मल्चिंग सबसे अच्छी तकनीकें हैं।",Weather,General,hi
बाढ़ (Flood) के बाद फसलों की देखभाल कैसे करें?,"खेत से अतिरिक्त पानी निकालें, यूरिया का हल्का छिड़काव करें ताकि पौधों को ताकत मिले और फफूंद रोगों के लिए दवा छिड़कें।",Weather,General,hi
मैदानी इलाकों में बिजली गिरने (Lightning) से बचाव?,"खुले खेत में न रहें, पेड़ों के नीचे शरण न लें और बिजली के खंभों व मशीनों से दूर रहें।",Weather,General,hi
जलवायु परिवर्तन (Climate Change) का कृषि पर क्या दीर्घकालिक प्रभाव है?,"इसके कारण बुआई के समय में बदलाव, अनिश्चित वर्षा, नए कीटों का उदय और औसत तापमान में वृद्धि हो रही है।",Weather,General,hi
प्रकाश काल (Photoperiod) क्या है?,पौधे को मिलने वाले सूर्य के प्रकाश की अवधि। कुछ पौधे लंबे दिन (गेहूं) और कुछ छोटे दिन (धान) में अच्छे से फूलते हैं।,Weather,General,hi
ओलावृष्टि (Hailstorm) से फसल को नुकसान होने पर क्या करें?,"नुकसान का तुरंत फोटो लें, 72 घंटे के भीतर बीमा कंपनी को सूचित करें और गिरे हुए पौधों में फफूंद न लगे इसके लिए स्प्रे करें।",Weather,General,hi
ग्रीनहाउस (Greenhouse) खेती के क्या लाभ हैं?,यह बेमौसम सब्जियां और फल उगाने में मदद करता है क्योंकि इसके अंदर तापमान और आर्द्रता को नियंत्रित किया जा सकता है।,Weather,General,hi
तापमान का दानों के भराव पर क्या असर होता है?,"यदि गेहूं की फसल के समय मार्च में तापमान अचानक बढ़ जाए (Terminal Heat), तो दाने सिकुड़ जाते हैं और वजन कम हो जाता है।",Weather,General,hi
मिट्टी की नमी (Soil Moisture) को कैसे मापें?,इसके लिए 'टेंसियोमीटर' का उपयोग किया जा सकता है या मिट्टी को हाथ में लेकर लड्डू बनाकर नमी का अंदाजा लगाया जा सकता है।,Weather,General,hi
