Question,Answer,Category,Crop,Language
टमाटर की खेती का परिचय क्या है?,टमाटर (Solanum lycopersicum) दुनिया की सबसे लोकप्रिय सब्जी फसल है। यह विटामिन सी और एंटीऑक्सीडेंट (लायकोपीन) का मुख्य स्रोत है।,Crop,Tomato,hi
टमाटर के लिए उपयुक्त जलवायु?,टमाटर के लिए मध्यम ठंडी और शुष्क जलवायु अच्छी है। 21-24°C तापमान पौधों के विकास और फलों के रंग के लिए आदर्श है।,Crop,Tomato,hi
टमाटर की बुआई का समय?,"खरीफ के लिए जून-जुलाई, रबी के लिए अक्टूबर-नवंबर और जायद (गर्मी) के लिए फरवरी-मार्च में बुआई की जाती है।",Crop,Tomato,hi
टमाटर की प्रति एकड़ बीज दर?,सामान्य किस्मों के लिए 150-200 ग्राम और हाइब्रिड किस्मों के लिए 60-80 ग्राम प्रति एकड़ बीज पर्याप्त है।,Crop,Tomato,hi
टमाटर की नर्सरी कैसे तैयार करें?,बीज को प्रो-ट्रे या ऊँची उठी हुई क्यारियों में बोएं। क्यारियों में गोबर की खाद और ट्राइकोडर्मा मिलाएं।,Crop,Tomato,hi
टमाटर के पौधों की रोपाई कब करें?,जब नर्सरी के पौधे 25-30 दिन के हो जाएं और उनमें 4-5 पत्तियां निकल आएं।,Crop,Tomato,hi
टमाटर में खाद और उर्वरक की मात्रा?,"प्रति एकड़ 40-50 किग्रा नाइट्रोजन, 30 किग्रा फास्फोरस और 30 किग्रा पोटाश की आवश्यकता होती है।",Crop,Tomato,hi
टमाटर में 'स्टेकिंग' (Staking/सहारा देना) क्यों जरूरी है?,"टमाटर के पौधों को लकड़ी या तार का सहारा देने से फल जमीन से ऊपर रहते हैं, जिससे वे सड़ने से बचते हैं और गुणवत्ता बढ़ती है।",Crop,Tomato,hi
टमाटर में 'मल्चिंग' (Mulching) के लाभ?,"मल्चिंग से मिट्टी में नमी बनी रहती है, खरपतवार कम होते हैं और फल सीधे मिट्टी के संपर्क में नहीं आते।",Crop,Tomato,hi
टमाटर में सिंचाई का सही तरीका?,टमाटर में नियमित अंतराल पर सिंचाई करें। फूल आने और फल बनने के समय नमी की कमी नहीं होनी चाहिए।,Crop,Tomato,hi
टमाटर में 'ब्लॉसम एंड रॉट' (Blossom End Rot) रोग?,फल के निचले हिस्से पर काला धब्बा पड़ना। यह कैल्शियम की कमी और नमी के असंतुलन के कारण होता है।,Crop,Tomato,hi
लीफ कर्ल वायरस का नियंत्रण?,सफेद मक्खी को नियंत्रित करने के लिए इमिडाक्लोप्रिड या थायोमिथोक्सम का छिड़काव करें और पीला चिपचिपा ट्रैप लगाएं।,Crop,Tomato,hi
टमाटर का 'फल छेदक' (Fruit Borer) कीट?,यह इल्ली फलों के अंदर घुसकर उन्हें खाती है जिससे फल सड़ जाते हैं। इसके लिए इमामेक्टिन बेंजोएट का प्रयोग करें।,Crop,Tomato,hi
टमाटर का 'अगेती झुलसा' (Early Blight)?,पत्तियों पर छोटे भूरे गोल धब्बे जिनमें छल्ले दिखाई देते हैं। मैंकोज़ेब का छिड़काव करें।,Crop,Tomato,hi
