Question,Answer,Category,Crop,Language
उर्वरक (Fertilizer) क्या हैं?,उर्वरक वे रासायनिक या प्राकृतिक पदार्थ हैं जो पौधों को आवश्यक पोषक तत्व प्रदान करने के लिए मिट्टी में मिलाए जाते हैं।,Fertilizer,General,hi
यूरिया (Urea) का मुख्य कार्य क्या है?,"यूरिया मुख्य रूप से नाइट्रोजन (46%) प्रदान करता है, जो पौधों की वानस्पतिक वृद्धि और पत्तियों के हरे रंग के लिए जिम्मेदार है।",Fertilizer,General,hi
डीएपी (DAP) क्या है और इसमें कौन से तत्व होते हैं?,डीएपी का पूरा नाम डाई-अमोनियम फास्फेट है। इसमें 18% नाइट्रोजन और 46% फास्फोरस होता है।,Fertilizer,General,hi
एनपीके (NPK) उर्वरक क्या होते हैं?,"एनपीके में तीन मुख्य पोषक तत्व होते हैं: नाइट्रोजन (N), फास्फोरस (P) और पोटाश (K)। यह पौधों के संतुलित विकास के लिए जरूरी है।",Fertilizer,General,hi
म्यूरेट ऑफ पोटाश (MOP) का उपयोग क्यों किया जाता है?,"पोटाश पौधों में रोग प्रतिरोधक क्षमता बढ़ाता है, तने को मजबूत करता है और दानों/फलों की गुणवत्ता व चमक में सुधार करता है।",Fertilizer,General,hi
सिंगल सुपर फास्फेट (SSP) के क्या लाभ हैं?,"SSP में फास्फोरस (16%) के साथ-साथ सल्फर (11%) और कैल्शियम (18-21%) भी होता है, जो तिलहन फसलों के लिए बहुत अच्छा है।",Fertilizer,General,hi
नैनो यूरिया (Nano Urea) क्या है?,यह इफको (IFFCO) द्वारा विकसित तरल उर्वरक है। इसकी 500 मिली की एक बोतल सामान्य यूरिया के एक बोरे (45 किग्रा) के बराबर काम करती है।,Fertilizer,General,hi
नैनो यूरिया का प्रयोग कैसे करें?,नैनो यूरिया का 2-4 मिली प्रति लीटर पानी में मिलाकर पत्तियों पर छिड़काव (Foliar spray) किया जाता है।,Fertilizer,General,hi
नैनो डीएपी (Nano DAP) के क्या फायदे हैं?,"यह तरल रूप में होता है, इसका परिवहन आसान है और यह मिट्टी की उर्वरता को नुकसान पहुँचाए बिना सीधे पौधों को मिलता है।",Fertilizer,General,hi
जिंक सल्फेट (Zinc Sulphate) का महत्व क्या है?,जिंक पौधों में एंजाइम को सक्रिय करता है। इसकी कमी से धान में खैरा और मक्का में सफेद कलिका रोग होता है।,Fertilizer,General,hi
बोरॉन (Boron) उर्वरक का क्या कार्य है?,"बोरॉन फलों को फटने से रोकता है, परागण में मदद करता है और जड़ों व कलियों के विकास के लिए आवश्यक है।",Fertilizer,General,hi
सल्फर (Sulphur) का उपयोग किन फसलों में अधिक करना चाहिए?,"सरसों, सूरजमुखी और मूंगफली जैसी तिलहन फसलों में तेल की मात्रा बढ़ाने के लिए सल्फर का प्रयोग अनिवार्य है।",Fertilizer,General,hi
जिप्सम (Gypsum) का उपयोग मिट्टी में क्यों किया जाता है?,जिप्सम का उपयोग क्षारीय (Alkaline) मिट्टी के सुधार के लिए और मिट्टी को कैल्शियम व सल्फर प्रदान करने के लिए किया जाता है।,Fertilizer,General,hi
जैविक खाद (Organic Manure) क्या है?,"गोबर की खाद (FYM), कम्पोस्ट और हरी खाद जैविक खाद के उदाहरण हैं। ये मिट्टी की संरचना और जल धारण क्षमता में सुधार करते हैं।",Fertilizer,General,hi
वर्मीकम्पोस्ट (Vermicompost) कैसे बनाया जाता है?,वर्मीकम्पोस्ट केंचुओं की मदद से जैविक कचरे को सड़ाकर बनाया जाता है। यह पोषक तत्वों से भरपूर और पौधों के लिए बहुत फायदेमंद है।,Fertilizer,General,hi
बायो-फर्टिलाइजर (Bio-Fertilizer) क्या होते हैं?,"ये सूक्ष्मजीवों (जैसे राइजोबियम, पीएसबी) के कल्चर होते हैं जो हवा से नाइट्रोजन लेकर या मिट्टी के फास्फोरस को घोलकर पौधों को उपलब्ध कराते हैं।",Fertilizer,General,hi
खाद और उर्वरक में क्या अंतर है?,"खाद (Manure) प्राकृतिक और जैविक होती है, जबकि उर्वरक (Fertilizer) कारखानों में तैयार रासायनिक पदार्थ होते हैं।",Fertilizer,General,hi
फर्टिगेशन (Fertigation) क्या है?,सिंचाई के पानी (विशेषकर ड्रिप सिंचाई) के साथ उर्वरकों को मिलाकर सीधे पौधों की जड़ों तक पहुँचाना फर्टिगेशन कहलाता है।,Fertilizer,General,hi
