Question,Answer,Category,Crop,Language
मिट्टी (Soil) क्या है और यह खेती के लिए क्यों महत्वपूर्ण है?,"मिट्टी पृथ्वी की ऊपरी सतह है जो पौधों को आधार, पानी और पोषक तत्व प्रदान करती है। मिट्टी का स्वास्थ्य ही सफल खेती की नींव है।",Soil,General,hi
काली मिट्टी (Black Soil) की क्या विशेषताएं हैं?,"काली मिट्टी में नमी सोखने की क्षमता अधिक होती है। यह कपास, सोयाबीन और गेहूं के लिए बहुत अच्छी मानी जाती है। इसमें चूना और मैग्नीशियम प्रचुर मात्रा में होता है।",Soil,General,hi
दोमट मिट्टी (Loamy Soil) को खेती के लिए सर्वश्रेष्ठ क्यों माना जाता है?,"क्योंकि इसमें बालू (Sand), सिल्ट (Silt) और चिकनी मिट्टी (Clay) का सही मिश्रण होता है, जिससे जल निकासी और नमी दोनों का संतुलन बना रहता है।",Soil,General,hi
बलुई मिट्टी (Sandy Soil) के क्या दोष हैं?,इसमें जल धारण क्षमता बहुत कम होती है और पोषक तत्व जल्दी बह जाते हैं। इसमें बार-बार सिंचाई और अधिक जैविक खाद की जरूरत होती है।,Soil,General,hi
मटियार मिट्टी (Clay Soil) में खेती करते समय क्या सावधानी रखें?,यह मिट्टी गीली होने पर बहुत चिपचिपी और सूखने पर बहुत सख्त हो जाती है। इसमें जल निकासी का उचित प्रबंध होना जरूरी है।,Soil,General,hi
मिट्टी का पीएच (pH) मान क्या दर्शाता है?,पीएच मान मिट्टी की अम्लता (Acidity) या क्षारकता (Alkalinity) को मापता है। 6.5 से 7.5 के बीच का पीएच खेती के लिए आदर्श है।,Soil,General,hi
अम्लीय मिट्टी (Acidic Soil) का सुधार कैसे करें?,मिट्टी की अम्लता दूर करने के लिए चूना (Lime) या डोलोमाइट का प्रयोग करना चाहिए।,Soil,General,hi
क्षारीय या ऊसर मिट्टी (Alkaline Soil) को कैसे सुधारें?,ऐसी मिट्टी के सुधार के लिए जिप्सम (Gypsum) या पायराइट्स का उपयोग करें और खेत में हरी खाद (ढेंचा) लगाएं।,Soil,General,hi
मिट्टी में जैविक कार्बन (Organic Carbon) का क्या महत्व है?,"जैविक कार्बन मिट्टी की उर्वरता की आत्मा है। यह मिट्टी को भुरभुरा बनाता है, सूक्ष्मजीवों को भोजन देता है और पौधों की वृद्धि बढ़ाता है।",Soil,General,hi
मिट्टी में कार्बनिक पदार्थ कैसे बढ़ाएं?,"गोबर की खाद डालें, वर्मीकम्पोस्ट का प्रयोग करें, फसल अवशेषों को मिट्टी में मिलाएं और हरी खाद का उपयोग करें।",Soil,General,hi
मिट्टी का नमूना (Soil Sample) लेने का सही तरीका क्या है?,खेत के 8-10 स्थानों से अंग्रेजी के 'V' आकार में 6 इंच गहरा गड्ढा खोदकर किनारे से मिट्टी निकालें और सबको मिलाकर आधा किलो का नमूना तैयार करें।,Soil,General,hi
मिट्टी परीक्षण (Soil Testing) कब करवाना चाहिए?,फसल की कटाई के बाद और अगली फसल की बुआई से कम से कम एक महीना पहले। इसे हर 2-3 साल में एक बार जरूर करवाना चाहिए।,Soil,General,hi
मिट्टी में मुख्य पोषक तत्व (Macronutrients) कौन से हैं?,"नाइट्रोजन (N), फास्फोरस (P) और पोटाश (K) मुख्य पोषक तत्व हैं जिनकी पौधों को अधिक मात्रा में आवश्यकता होती है।",Soil,General,hi
सूक्ष्म पोषक तत्व (Micronutrients) क्या हैं?,"जस्ता (Zinc), लोहा (Iron), बोरॉन (Boron), तांबा, मैंगनीज और मोलिब्डेनम जैसे तत्व जिनकी पौधों को बहुत कम मात्रा में लेकिन अनिवार्य रूप से जरूरत होती है।",Soil,General,hi
मिट्टी के कटाव (Soil Erosion) को कैसे रोकें?,"खेत के चारों ओर मेड़बंदी करें, ढलान के विपरीत जुताई करें, कवर क्रॉप्स (जैसे मूंग, उड़द) लगाएं और पेड़ लगाएं।",Soil,General,hi
मिट्टी में केंचुओं (Earthworms) का क्या कार्य है?,केंचुए मिट्टी में सुरंगें बनाकर वायु संचार बढ़ाते हैं और मिट्टी को उपजाऊ मल (Casting) प्रदान करते हैं। इन्हें 'किसान का मित्र' कहा जाता है।,Soil,General,hi
मृदा स्वास्थ्य कार्ड (Soil Health Card) के 12 मानक कौन से हैं?,"N, P, K, S (द्वितीयक), Zn, Fe, Cu, Mn, B (सूक्ष्म तत्व) और pH, EC (लवणता), OC (जैविक कार्बन)।",Soil,General,hi
