Question,Answer,Category,Crop,Language
अमरूद की खेती का परिचय क्या है?,अमरूद (Psidium guajava) भारत का एक अत्यंत लोकप्रिय और सस्ता फल है। इसे 'गरीबों का सेब' और विटामिन सी का भंडार कहा जाता है।,Crop,Guava,hi
अमरूद के लिए उपयुक्त जलवायु?,अमरूद के लिए उपोष्णकटिबंधीय जलवायु अच्छी है। यह सूखे और अधिक तापमान को भी काफी हद तक सहन कर सकता है।,Crop,Guava,hi
अमरूद के पौधे लगाने का सही समय?,बिहार में अमरूद लगाने का सबसे अच्छा समय मानसून की शुरुआत (जून-जुलाई) या अगस्त-सितंबर है।,Crop,Guava,hi
अमरूद के लिए कैसी मिट्टी सबसे अच्छी है?,"गहरी, उपजाऊ और अच्छी जल निकासी वाली दोमट मिट्टी अमरूद के लिए श्रेष्ठ है। यह ऊसर मिट्टी में भी उग सकता है।",Crop,Guava,hi
अमरूद के पौधे कैसे तैयार किए जाते हैं?,व्यावसायिक खेती के लिए अमरूद को 'एयर लेयरिंग' (गुटी) या 'बडिंग' (Grafting) द्वारा तैयार किया जाता है।,Crop,Guava,hi
बाग लगाने के लिए पौधों की दूरी क्या रखें?,पारंपरिक विधि में 6 x 6 मीटर और सघन बागवानी में 3 x 3 या 3 x 1.5 मीटर की दूरी रखी जा सकती है।,Crop,Guava,hi
अमरूद के लिए गड्ढे (Pits) कैसे तैयार करें?,"0.6 x 0.6 x 0.6 मीटर के गड्ढे खोदें, उन्हें धूप दिखाएं और गोबर की खाद व मिट्टी से भरें।",Crop,Guava,hi
अमरूद में खाद और उर्वरक की मात्रा?,"एक पूर्ण विकसित पेड़ को 50 किग्रा गोबर की खाद, 500 ग्राम नाइट्रोजन, 250 ग्राम फास्फोरस और 500 ग्राम पोटाश प्रति वर्ष दें।",Crop,Guava,hi
अमरूद में 'पोटाश' का क्या महत्व है?,"पोटाश फलों का स्वाद बढ़ाने, दानों में मिठास और छिलके में चमक लाने के लिए बहुत जरूरी है।",Crop,Guava,hi
अमरूद में सिंचाई का सही तरीका?,छोटे पौधों को नियमित सिंचाई चाहिए। बड़े पेड़ों को फूल आने के समय हल्की और फल विकास के समय पर्याप्त सिंचाई दें।,Crop,Guava,hi
अमरूद का 'उकठा' (Wilt) रोग क्या है?,यह अमरूद का सबसे खतरनाक रोग है जिसमें पूरा पेड़ अचानक सूख जाता है। यह मिट्टी के कवक (Fusarium) के कारण होता है।,Crop,Guava,hi
उकठा रोग से बचाव के उपाय?,"हमेशा स्वस्थ पौधे लें, मिट्टी में ट्राइकोडर्मा मिलाएं और जल निकास का पुख्ता इंतजाम रखें।",Crop,Guava,hi
अमरूद का 'फल मक्खी' (Fruit Fly) कीट?,यह कीट फलों के अंदर अंडे देता है जिससे फल सड़ जाते हैं। इसके नियंत्रण के लिए फेरोमोन ट्रैप का प्रयोग करें।,Crop,Guava,hi
अमरूद में 'बहार प्रबंधन' (Crop Regulation) क्या है?,"अमरूद साल में दो बार फल देता है (बरसात और सर्दी)। सर्दियों के फलों की गुणवत्ता बेहतर होती है, इसलिए बरसात के फूलों को तोड़ दिया जाता है।",Crop,Guava,hi
