Question,Answer,Category,Crop,Language
बकरी पालन (Goat Farming) का परिचय क्या है?,"बकरियों को उनके मांस, दूध और खाद के लिए पालना बकरी पालन है। इसे 'गरीब की गाय' और 'एटीएम' भी कहा जाता है क्योंकि इन्हें कभी भी बेचकर नकद आय मिल सकती है।",Business,Livestock,hi
बकरी की प्रमुख नस्लें कौन सी हैं?,"भारत में जमनापारी, बरबरी, सिरोही, बीटल और ब्लैक बंगाल (बिहार के लिए श्रेष्ठ) प्रमुख नस्लें हैं।",Business,Livestock,hi
ब्लैक बंगाल (Black Bengal) बकरी की क्या विशेषता है?,यह नस्ल बिहार और बंगाल के लिए सबसे अच्छी है। इसका मांस बहुत स्वादिष्ट होता है और यह साल में दो बार 2-3 बच्चे देती है।,Business,Livestock,hi
बकरियों के लिए 'आवास' (Shed) कैसा होना चाहिए?,"शेड ऊँचा, हवादार और सूखा होना चाहिए। जमीन पर लकड़ी के फट्टे या प्लास्टिक मैट बिछाना अच्छा है ताकि नमी न रहे।",Business,Livestock,hi
बकरियों को संतुलित आहार में क्या दें?,"आहार में हरी पत्तियां, दाना मिश्रण, सूखा भूसा और खनिज मिश्रण होना चाहिए। बकरियां झाड़ियों और पेड़ों की पत्तियां अधिक पसंद करती हैं।",Business,Livestock,hi
बकरियों में 'टीकाकरण' (Vaccination) क्यों जरूरी है?,"पीपीआर (PPR), ईटी (Enterotoxemia) और खुरपका-मुंहपका जैसी बीमारियों से बचाने के लिए समय पर टीका लगाना अनिवार्य है।",Business,Livestock,hi
बकरियों में 'कीड़े' (Deworming) की दवा?,"हर 3-4 महीने में बकरियों को पेट के कीड़े की दवा जरूर पिलानी चाहिए, विशेषकर बरसात के बाद।",Business,Livestock,hi
बकरी के बच्चों (Kids) की देखभाल?,जन्म के तुरंत बाद उन्हें माँ का पहला दूध (खीस) पिलाएं और उन्हें ठंडी हवा से बचाकर रखें।,Business,Livestock,hi
बकरी पालन में 'मुनाफा' कैसे बढ़ाएं?,"नस्ल सुधार पर ध्यान दें, समय पर टीकाकरण कराएं और बकरों को ईद या त्योहारों के सीजन में बेचें।",Business,Livestock,hi
क्या बकरी पालन के लिए सरकारी 'ऋण' मिलता है?,"हाँ, नाबार्ड और पशुपालन विभाग बकरी पालन के लिए सब्सिडी के साथ बैंक लोन प्रदान करते हैं।",Business,Livestock,hi
सुअर पालन (Pig Farming) का परिचय?,सुअर बहुत तेजी से बढ़ने वाले और अधिक बच्चे देने वाले पशु हैं। यह व्यवसाय मांस उत्पादन के लिए बहुत लाभदायक है।,Business,Livestock,hi
सुअर की प्रमुख नस्लें?,"लार्ज व्हाइट यॉर्कशायर, लैंड्रेस और मध्यम व्हाइट यॉर्कशायर प्रमुख विदेशी नस्लें हैं जिन्हें देशी सुअरों के साथ संकरण के लिए उपयोग किया जाता है।",Business,Livestock,hi
सुअरों का आहार प्रबंधन?,"सुअरों को किचन वेस्ट, होटल का बचा खाना, दाना और खनिज मिश्रण दिया जा सकता है।",Business,Livestock,hi
सुअरों में 'टीकाकरण'?,"स्वाइन फीवर (Swine Fever) सुअरों की सबसे खतरनाक बीमारी है, इससे बचाव के लिए टीका लगवाना बहुत जरूरी है।",Business,Livestock,hi
भेड़ पालन (Sheep Farming) के लाभ?,"भेड़ से ऊन, मांस और खाद प्राप्त होती है। ये बहुत कम खर्च में ऊसर और पथरीली जमीन पर भी पाली जा सकती हैं।",Business,Livestock,hi
पशुओं के लिए 'खनिज मिश्रण' (Mineral Mixture) का महत्व?,"खनिज मिश्रण से पशुओं की हड्डियाँ मजबूत होती हैं, प्रजनन क्षमता बढ़ती है और वे कम बीमार पड़ते हैं।",Business,Livestock,hi
पशुओं में 'बांझपन' का मुख्य कारण?,अक्सर पोषक तत्वों की कमी और पेट के कीड़े बांझपन का मुख्य कारण होते हैं।,Business,Livestock,hi
पशुओं की खाद (Manure) का प्रबंधन?,पशुओं के मलमूत्र से बायोगैस बनाना या वर्मीकम्पोस्ट तैयार करना खेत के लिए बहुत अच्छा है।,Business,Livestock,hi
क्या पशुओं के लिए 'बीमा' जरूरी है?,"हाँ, कीमती पशुओं का बीमा करवाना अचानक होने वाली आर्थिक हानि से बचने का सबसे अच्छा तरीका है।",Business,Livestock,hi
पशुपालन में 'प्रशिक्षण' का महत्व?,वैज्ञानिक तरीके से पशुपालन सीखने के लिए ट्रेनिंग लेना जोखिम कम करता है और मुनाफा बढ़ाता है।,Business,Livestock,hi
बकरियों को 'पानी' पिलाने का नियम?,बकरियों को हमेशा साफ और ताजा पानी दें। गंदा पानी पीने से उन्हें फेफड़ों की बीमारियां हो सकती हैं।,Business,Livestock,hi
