Question,Answer,Category,Crop,Language
'धान का तना छेदक' (Stem Borer) और 'सिल्वर शूट'?,"तना छेदक 'डेड हार्ट' बनाता है, जबकि 'गाल मिज' (Gall Midge) कीट के कारण पत्ती सफेद नली या सिल्वर शूट जैसी बन जाती है।",Pests,Rice,hi
'मक्का का फाल आर्मीवर्म' (Fall Armyworm) की पहचान?,इसके सिर पर उल्टा 'Y' का निशान और शरीर के पिछले हिस्से पर चार वर्गाकार बिंदु होते हैं।,Pests,Maize,hi
'सब्जियों' में 'फल मक्खी' (Fruit Fly) का सबसे प्रभावी नियंत्रण?,मिथाइल यूजेनॉल (Methyl Eugenol) आधारित फेरोमोन ट्रैप का प्रयोग और गिरे फलों को नष्ट करना।,Pests,Vegetables,hi
'कपास' में 'गुलाबी सुंडी' (Pink Bollworm) का हमला कब होता है?,यह कीट मुख्य रूप से फूल आने और टेंडों (Bolls) के बनने की अवस्था में हमला करता है।,Pests,Cotton,hi
'दीमक' के लिए 'मिट्टी का उपचार'?,बुआई के समय 1-2 क्विंटल नीम की खली प्रति एकड़ डालना दीमक को भगाने का सबसे सस्ता और टिकाऊ तरीका है।,Pests,General,hi
'मिली बग' (Mealy Bug) का मोमी आवरण (Waxy coating)?,इसके शरीर पर सफेद पाउडर जैसा आवरण होता है जो इसे कीटनाशकों से बचाता है। इसके लिए साबुन का घोल मिलाना जरूरी है।,Pests,General,hi
'आम का भुनगा' (Mango Hopper) और 'बौर' (Inflorescence)?,यह कीट फूलों का रस चूसता है जिससे वे काले होकर गिर जाते हैं और फल नहीं बनते।,Pests,Mango,hi
'लीची का फल छेदक' और 'दवा का समय'?,बाली (फल) के मटर के दाने के बराबर होने पर ही कीटनाशक का छिड़काव सबसे अधिक प्रभावी होता है।,Pests,Litchi,hi
'केले का तना छेदक' (Pseudostem Borer)?,यह तने के अंदर सुरंग बनाता है। इसके लिए तने में छेद करके कीटनाशक की गोली डालना प्रभावी है।,Pests,Banana,hi
'पपीते का एफिड' (Aphid) और 'वायरस'?,एफिड्स खुद कम नुकसान करते हैं लेकिन वे 'रिंग स्पॉट' वायरस को एक पेड़ से दूसरे तक तेजी से पहुँचाते हैं।,Pests,Papaya,hi
'सरसों का माहू' (Aphids) और 'बादल'?,लगातार 2-3 दिन बादल छाए रहने से माहू की संख्या बहुत तेजी से बढ़ती है क्योंकि यह उनके प्रजनन के लिए अनुकूल है।,Pests,Mustard,hi
