Question,Answer,Category,Crop,Language
'फसल सुरक्षा' में 'आर्थिक देहरी स्तर' (EIL) क्या है?,वह कीट संख्या जब फसल नुकसान की कीमत दवा छिड़कने के खर्च के बराबर हो जाती है।,Plant Protection,General,hi
'कीटनाशक अवशेष' (Pesticide Residues) क्या हैं?,दवा छिड़कने के बाद फसल में रह जाने वाला जहर का हिस्सा जो स्वास्थ्य के लिए हानिकारक हो सकता है।,Plant Protection,General,hi
'नीलगाय' से फसल बचाने का आधुनिक तरीका क्या है?,खेत के चारों ओर 'अल्ट्रासोनिक साउंड' मशीनें लगाना जिनकी आवाज से जानवर दूर भागते हैं।,Plant Protection,General,hi
'दीमक' के लिए सबसे सस्ता जैविक उपाय?,खेत की तैयारी के समय मक्के के डंठलों को गड्ढों में दबाकर उन्हें दीमक के लिए ट्रैप बनाना।,Plant Protection,General,hi
'सफेद मक्खी' और 'पीला मोजेक' का संबंध?,"सफेद मक्खी पीला मोजेक वायरस की मुख्य वाहक (Vector) है, इसे रोकने से बीमारी खुद रुक जाती है।",Plant Protection,General,hi
'पत्ती मोड़क' कीट का यांत्रिक नियंत्रण?,धान के खेत में रस्सी खींचकर पत्ती लपेटक की इल्लियों को पानी में गिरा देना और उन्हें नष्ट करना।,Plant Protection,General,hi
'भंडारण कीट' (Storage Pests) से बचाव के लिए 'हर्मेटिक बैग्स'?,हवा रहित (Airtight) बैग्स जिनमें ऑक्सीजन न होने के कारण कीड़े अपने आप मर जाते हैं।,Plant Protection,General,hi
'कीटनाशकों' का 'प्रतीक्षा काल' (Waiting Period) क्यों बदलता है?,"यह दवा के प्रकार और फसल की प्रकृति पर निर्भर करता है (जैसे- भिंडी में 3 दिन, अनाज में 15 दिन)।",Plant Protection,General,hi
'मित्र कवक' ट्राइकोडर्मा को किसके साथ नहीं मिलाना चाहिए?,इसे कभी भी किसी भी रासायनिक फफूंदनाशक (Fungicide) के साथ न मिलाएं।,Plant Protection,General,hi
'फेरोमोन ट्रैप' के लूअर (Lure) को कब बदलें?,"जब उसकी गंध खत्म हो जाए, आमतौर पर हर 30 से 45 दिनों में एक बार जरूर बदलें।",Plant Protection,General,hi
'कीट निगरानी' के लिए 'पीला चिपचिपा ट्रैप'?,खेत में प्रति एकड़ 10-15 पीले ट्रैप लगाने से कीटों के आने की शुरुआती जानकारी मिल जाती है।,Plant Protection,General,hi
'चूहा' नियंत्रण के लिए 'बाउमा' (Baiting) का सही समय?,शाम के समय चूहों के बिलों में जहरीला चारा रखना सबसे अधिक प्रभावी होता है।,Plant Protection,General,hi
'दशपर्णी अर्क' बनाने में कौन सी सावधानी रखें?,"मिश्रण को प्लास्टिक या मिट्टी के बर्तन में ही सड़ाएं, लोहे या तांबे के बर्तन का प्रयोग न करें।",Plant Protection,General,hi
'बीज उपचार' में 'कार्बेन्डाजिम' की मात्रा?,2 ग्राम दवा प्रति किग्रा बीज के लिए मिट्टी जनित रोगों से सुरक्षा के लिए पर्याप्त है।,Plant Protection,General,hi
'कीटनाशक' छिड़कते समय 'नोजल' की ऊँचाई?,नोजल को फसल से कम से कम 1 फीट ऊपर रखें ताकि दवा समान रूप से पूरे पौधे पर फैले।,Plant Protection,General,hi
'आलू' के पिछेती झुलसा के लिए 'रिडोमिल'?,"जब लक्षण गंभीर हों, तब रिडोमिल गोल्ड का 2.5 ग्राम प्रति लीटर की दर से स्प्रे करें।",Plant Protection,General,hi
'गन्ने' में तना छेदक के लिए 'कोराजन' (Coragen)?,बालियां/पोरी बनते समय 0.4 मिली प्रति लीटर की दर से छिड़काव लंबे समय तक सुरक्षा देता है।,Plant Protection,General,hi
'धान' के हिस्पा कीट की पहचान?,पत्तियों पर काले कांटेदार छोटे भृंग जो हरे भाग को खुरच कर सफेद धारियां बनाते हैं।,Plant Protection,General,hi
'मटर' में चूर्णी फफूंद से बचाव?,"जैसे ही सफेद पाउडर दिखे, तुरंत घुलनशील सल्फर (0.2%) का छिड़काव करें।",Plant Protection,General,hi
